variable,Title,y_var_short,name_df,scenShort,scenYear,lever_position,lever,category,scenYr,scenPl,colorOfScenario,alphaOfScenario,yaxislow,yaxishigh,yaxismedian
NA,NA,NA,base,base,base,1,base,base,base,base,#EAECCC,1,NA,NA,NA
NA,NA,NA,rh_flsz_0p125,rh_flsz_0p125,rh,0.125,flsz,rh,0p125,0p125,#ee7733,0.125,NA,NA,NA
NA,NA,NA,rh_flsz_0p25,rh_flsz_0p25,rh,0.25,flsz,rh,0p25,0p25,#ee7733,0.25,NA,NA,NA
NA,NA,NA,rh_flsz_0p5,rh_flsz_0p5,rh,0.5,flsz,rh,0p5,0p5,#ee7733,0.5,NA,NA,NA
NA,NA,NA,rh_flsz_1p5,rh_flsz_1p5,rh,1.5,flsz,rh,1p5,1p5,#ee7733,1.5,NA,NA,NA
NA,NA,NA,rh_flsz_1p75,rh_flsz_1p75,rh,1.75,flsz,rh,1p75,1p75,#ee7733,1.75,NA,NA,NA
duration_door_to_door,Door-to-door Travel Time,doorDoor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65.1,20.08333333
Potential_INEXUS_in_dollar,Potential INEXUS,potInex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.91912136,2.095647139,-9.499082555
Realized_INEXUS_in_dollar,Realized INEXUS,realInex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.91912136,3.095647139,-8.499082555
Social_INEXUS,Social INEXUS,socInex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.91912136,5.095647139,-6.499082555
ownCarYNLabel,Car Ownership,carOwn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
l_inc_HiLo10,Highest and Lowest 10% Income,Inc10hiLo,NA,ggg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mode_choice_actual_6,Mode Choice,mode,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mode_4categories,Mode Choice,mode,NA,NA,fffff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
incomeXcar,Income and Car,incXcar,NA,NA,fffff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
