mode,length
bike,3528.116144356153
bus,432.6477419165777
bus_empty,475.4415458169802
cable_car,118.05243954498069
cable_car_empty,120.42426183229179
car,7947.899479326402
car_RideHail,8897.084801513389
car_RideHail_Pool,4007.179216783217
car_RideHail_empty,2628.318659516868
car_emer,7478.015687166035
car_hov2,8088.54233952263
car_hov2_emer,8776.768159583333
car_hov3,7582.948421726439
car_hov3_emer,8406.201086206896
ferry,31754.85974344332
ferry_empty,11736.832916123116
rail,7866.1328492291605
rail_empty,6121.270648028851
subway,2361.7130174988615
subway_empty,2410.6941775584773
tram,488.2537886984777
tram_empty,393.38774124079436
walk,1025.0537908764236
