mode,length
bike,3522.0733340193133
bus,539.8294487800628
bus_empty,507.3009144898139
cable_car,118.05243954498069
cable_car_empty,120.42426183229179
car,8247.224551372481
car_RideHail,8867.518923844364
car_RideHail_Pool,3446.14675
car_RideHail_empty,2317.8528473433785
car_emer,8121.617301051051
car_hov2,9368.387342042097
car_hov2_emer,10518.777893098782
car_hov3,9082.215873640167
car_hov3_emer,10033.445197026022
ferry,31754.85974344332
ferry_empty,11736.832916123116
rail,7718.502292929205
rail_empty,2098.0774685827614
subway,2399.954802945185
subway_empty,2485.933832764439
tram,591.6957005143519
tram_empty,424.42753499439243
walk,1208.793304539038
