mode,length
bike,3511.992843336093
bus,433.5928726752724
bus_empty,474.8683208331433
cable_car,118.38208287549223
cable_car_empty,120.12249968979891
car,8520.406211702179
car_RideHail,8785.368424068769
car_RideHail_Pool,4348.596186046512
car_RideHail_empty,2705.0913558382927
car_emer,7927.579729987294
car_hov2,8730.176588805336
car_hov2_emer,7988.405704583333
car_hov3,8273.329071378384
car_hov3_emer,9918.18709435096
ferry,23497.982438377643
ferry_empty,12605.977895603713
rail,7596.072252129616
rail_empty,6863.319422967676
subway,2364.317679563976
subway_empty,2360.3113275698115
tram,485.0546796976275
tram_empty,399.2154890208887
walk,1047.6132628147193
