mode,length
bike,3522.9729345557694
bus,432.52159001036824
bus_empty,475.8373692824362
cable_car,118.64169861883686
cable_car_empty,119.89840424385405
car,8505.102984508143
car_RideHail,8411.888459414069
car_RideHail_Pool,5648.798262295082
car_RideHail_empty,2661.9297901750197
car_emer,8073.80648596435
car_hov2,8686.387304223654
car_hov2_emer,9010.501055166736
car_hov3,8154.778218852728
car_hov3_emer,10172.910070345664
ferry,28763.165121864444
ferry_empty,11444.06024917749
rail,7878.426281717375
rail_empty,5530.19810898358
subway,2359.748500194269
subway_empty,2451.3159181007154
tram,487.0941953163818
tram_empty,395.06221999459876
walk,1036.3893175853275
