mode,length
bike,3513.056350874404
bus,539.8302970980636
bus_empty,507.0636762072274
cable_car,118.64169861883686
cable_car_empty,119.89840424385405
car,8353.579889153578
car_RideHail,8199.292113482055
car_RideHail_Pool,6154.827192307693
car_RideHail_empty,2438.740294117647
car_emer,8857.001030963665
car_hov2,10080.831450335992
car_hov2_emer,9715.15974533107
car_hov3,9650.255486731308
car_hov3_emer,11176.822216666666
ferry,28763.165121864444
ferry_empty,11444.06024917749
rail,7440.855076889156
rail_empty,2098.779759660771
subway,2397.7447676933134
subway_empty,2539.9547886537184
tram,589.211704500277
tram_empty,427.1176844086317
walk,1233.7056001220867
