mode,length
bike,34631988.073
bus,83415349.937
bus_empty,84312901.969
cable_car,1021271.6545036279
cable_car_empty,1106096.8449296001
car,1927039759.858
car_RideHail,45855575.067
car_RideHail_Pool,573026.628
car_RideHail_empty,12621186.203
car_emer,76971215.468
car_hov2,257886995.411
car_hov2_emer,21064243.583
car_hov3,181839103.153
car_hov3_emer,14139230.227
ferry,190529.15846065994
ferry_empty,668999.4762190176
rail,1227116.724479749
rail_empty,238729.55527312518
subway,11865246.19991428
subway_empty,629191.1803427626
tram,13644252.12517896
tram_empty,6596719.03286688
walk,345367273.5448299
