mode,length
bike,22248937.251000002
bus,30975413.771
bus_empty,28761425.347
cable_car,1021271.6545036279
cable_car_empty,1106096.8449296001
car,765845519.0649999
car_RideHail,26664629.404
car_RideHail_Pool,179199.631
car_RideHail_empty,5845624.881
car_emer,32453982.735
car_hov2,101478371.689
car_hov2_emer,7773376.863
car_hov3,75972735.78299999
car_hov3_emer,5397993.516
ferry,190529.15846065994
ferry_empty,668999.4762190176
rail,594324.6765555488
rail_empty,31471.16202874142
subway,7780653.471148289
subway_empty,323171.3982593771
tram,5924649.049250205
tram_empty,2952317.933420994
walk,204174859.48307982
