,mode,length,geo,scenario,Diff wrt baseline
0,bike,22248937.251,cordon,baseline,0.0
1,bus,30975413.771,cordon,baseline,0.0
2,bus_empty,28761425.347,cordon,baseline,0.0
3,cable_car,1021271.654503628,cordon,baseline,0.0
4,cable_car_empty,1106096.8449296,cordon,baseline,0.0
5,car,765845519.0649999,cordon,baseline,0.0
6,car_RideHail,26664629.404,cordon,baseline,0.0
7,car_RideHail_Pool,179199.631,cordon,baseline,0.0
8,car_RideHail_empty,5845624.881,cordon,baseline,0.0
9,car_emer,32453982.735,cordon,baseline,0.0
10,car_hov2,101478371.689,cordon,baseline,0.0
11,car_hov2_emer,7773376.863,cordon,baseline,0.0
12,car_hov3,75972735.78299999,cordon,baseline,0.0
13,car_hov3_emer,5397993.516,cordon,baseline,0.0
14,ferry,190529.15846065996,cordon,baseline,0.0
15,ferry_empty,668999.4762190176,cordon,baseline,0.0
16,rail,594324.6765555488,cordon,baseline,0.0
17,rail_empty,31471.16202874142,cordon,baseline,0.0
18,subway,7780653.471148289,cordon,baseline,0.0
19,subway_empty,323171.3982593771,cordon,baseline,0.0
20,tram,5924649.049250205,cordon,baseline,0.0
21,tram_empty,2952317.933420994,cordon,baseline,0.0
22,walk,204174859.48307985,cordon,baseline,0.0
0,bike,21782411.932,cordon,flat,-0.020968431603582766
1,bus,31523873.073,cordon,flat,0.017706278471523743
2,bus_empty,28212966.045,cordon,flat,-0.01906926709587448
3,cable_car,1029568.974768156,cordon,flat,0.008124498734433883
4,cable_car_empty,1097799.5246650723,cordon,flat,-0.007501441037973195
5,car,625004058.099,cordon,flat,-0.18390322520650051
6,car_RideHail,25926489.496,cordon,flat,-0.027682361409053387
7,car_RideHail_Pool,110591.597,cordon,flat,-0.3828581209522692
8,car_RideHail_empty,5676446.029,cordon,flat,-0.02894110645893153
9,car_emer,25081618.627,cordon,flat,-0.22716361711899455
10,car_hov2,93820415.336,cordon,flat,-0.07546392620951074
11,car_hov2_emer,6307722.821999999,cordon,flat,-0.18854792027082518
12,car_hov3,76191924.208,cordon,flat,0.0028850932211534038
13,car_hov3_emer,6305321.433999999,cordon,flat,0.16808614447398304
14,ferry,140987.89463026586,cordon,flat,-0.26001932843587966
15,ferry_empty,718540.7400494117,cordon,flat,0.07405276923441889
16,rail,591522.9620180918,cordon,flat,-0.004714114436059627
17,rail_empty,34272.87656619839,cordon,flat,0.08902482008444029
18,subway,7808832.520594254,cordon,flat,0.0036216815914572008
19,subway_empty,294992.34881341184,cordon,flat,-0.0871953693852226
20,tram,5843749.9518387,cordon,flat,-0.013654664898968681
21,tram_empty,3033217.030832499,cordon,flat,0.02740189208476041
22,walk,205971325.047668,cordon,flat,0.008798661936814185
0,bike,22097124.447,cordon,income-based,-0.006823373282387873
1,bus,31196253.039,cordon,income-based,0.0071295017923781465
2,bus_empty,28540586.079,cordon,income-based,-0.00767831445540769
3,cable_car,1051640.0165573698,cordon,income-based,0.029735831715119766
4,cable_car_empty,1075728.4828758584,cordon,income-based,-0.027455427789123053
5,car,680290485.433,cordon,income-based,-0.11171317387408859
6,car_RideHail,25360410.507,cordon,income-based,-0.04891194538051041
7,car_RideHail_Pool,160025.507,cordon,income-based,-0.10699868014795177
8,car_RideHail_empty,6508997.845,cordon,income-based,0.11348195915823421
9,car_emer,28032408.263,cordon,income-based,-0.1362413515809125
10,car_hov2,96009838.733,cordon,income-based,-0.05388865494175815
11,car_hov2_emer,5722229.09,cordon,income-based,-0.26386830448979354
12,car_hov3,75638702.505,cordon,income-based,-0.004396752000008166
13,car_hov3_emer,5364874.664,cordon,income-based,-0.006135400478313571
14,ferry,230105.32097491555,cordon,income-based,0.20771709083272513
15,ferry_empty,629423.3137047619,cordon,income-based,-0.059157239909854956
16,rail,602709.2612280217,cordon,income-based,0.014107751206068653
17,rail_empty,23086.57735626848,cordon,income-based,-0.2664211974383283
18,subway,7771090.792094029,cordon,income-based,-0.0012290328941804126
19,subway_empty,332734.0773136371,cordon,income-based,0.029590115665449522
20,tram,5922166.841932285,cordon,income-based,-0.00041896276003631605
21,tram_empty,2954800.1407389143,cordon,income-based,0.0008407655861928623
22,walk,205852415.31957105,cordon,income-based,0.008216270312311482
