mode,length
bike,22097124.447
bus,31196253.039
bus_empty,28540586.079
cable_car,1051640.0165573698
cable_car_empty,1075728.4828758584
car,680290485.433
car_RideHail,25360410.507
car_RideHail_Pool,160025.507
car_RideHail_empty,6508997.845
car_emer,28032408.263
car_hov2,96009838.733
car_hov2_emer,5722229.09
car_hov3,75638702.505
car_hov3_emer,5364874.664
ferry,230105.32097491555
ferry_empty,629423.3137047619
rail,602709.2612280217
rail_empty,23086.57735626848
subway,7771090.792094029
subway_empty,332734.0773136371
tram,5922166.841932285
tram_empty,2954800.1407389143
walk,205852415.31957102
