,Unnamed: 0,1
0,count,1163.0
1,mean,3.64369535446167
2,std,2.1296069622039795
3,min,0.0
4,25%,2.160412549972534
5,50%,3.3611111640930176
6,75%,4.762495517730713
7,max,13.766666412353516
0,count,1162.0
1,mean,3.455185890197754
2,std,2.1270785331726074
3,min,0.0
4,25%,2.0572916865348816
5,50%,3.1742361783981323
6,75%,4.449999809265137
7,max,14.866666793823242
0,count,1167.0
1,mean,3.208558797836304
2,std,2.12926983833313
3,min,0.0
4,25%,1.82083398103714
5,50%,2.857414484024048
6,75%,4.2513861656188965
7,max,14.149999618530272
0,count,1262.0
1,mean,3.020118236541748
2,std,1.8260818719863887
3,min,0.0
4,25%,1.785115897655487
5,50%,2.7173612117767334
6,75%,3.925834059715271
7,max,14.93333339691162
0,count,1297.0
1,mean,2.97540020942688
2,std,1.8489891290664675
3,min,0.0
4,25%,1.690000057220459
5,50%,2.7534713745117188
6,75%,3.877777814865112
7,max,13.75
0,count,1356.0
1,mean,2.5786120891571045
2,std,1.638352870941162
3,min,0.0
4,25%,1.5236110985279083
5,50%,2.3261371850967407
6,75%,3.311111032962799
7,max,13.600000381469728
0,count,1395.0
1,mean,2.280775785446167
2,std,1.599751591682434
3,min,0.0
4,25%,1.2413194179534912
5,50%,2.001851797103882
6,75%,2.9551587104797363
7,max,14.533333778381348
0,count,1260.0
1,mean,3.423697233200073
2,std,2.022820472717285
3,min,0.0
4,25%,2.0940072536468506
5,50%,3.133333444595337
6,75%,4.378473520278931
7,max,14.649999618530272
0,count,1297.0
1,mean,3.265455961227417
2,std,1.9816858768463133
3,min,0.0
4,25%,1.9777777194976809
5,50%,3.039999961853028
6,75%,4.143331050872803
7,max,14.5
0,count,1368.0
1,mean,3.1113669872283936
2,std,1.8223226070404053
3,min,0.0
4,25%,1.9420759081840515
5,50%,2.9312506914138794
6,75%,3.9596429467201233
7,max,13.266666412353516
0,count,1389.0
1,mean,2.7551755905151367
2,std,1.6277941465377808
3,min,0.0
4,25%,1.75
5,50%,2.6214284896850586
6,75%,3.5380964279174805
7,max,13.550000190734863
