,Unnamed: 0,1
0,count,1263.0
1,mean,3.758387804031372
2,std,1.94571852684021
3,min,0.0
4,25%,2.5
5,50%,3.575000047683716
6,75%,4.783339500427246
7,max,14.083333015441896
0,count,1276.0
1,mean,3.5795233249664307
2,std,1.9517664909362795
3,min,0.0
4,25%,2.283333301544189
5,50%,3.397013902664185
6,75%,4.617777824401856
7,max,13.983333587646484
0,count,1262.0
1,mean,3.353900194168091
2,std,1.9743479490280151
3,min,0.0
4,25%,2.033333301544189
5,50%,3.025000095367432
6,75%,4.331666827201843
7,max,13.68333339691162
0,count,1344.0
1,mean,3.2612221240997314
2,std,1.7726458311080933
3,min,0.0
4,25%,2.137291729450226
5,50%,2.9989583492279053
6,75%,4.059027791023254
7,max,14.283333778381348
0,count,1346.0
1,mean,3.140927791595459
2,std,1.6344819068908691
3,min,0.0
4,25%,2.1052380204200745
5,50%,2.936931848526001
6,75%,3.867708921432495
7,max,12.366666793823242
0,count,1393.0
1,mean,2.950662136077881
2,std,1.59952712059021
3,min,0.0
4,25%,2.0047619342803955
5,50%,2.748016357421875
6,75%,3.616670846939087
7,max,14.0
0,count,1401.0
1,mean,2.7580435276031494
2,std,1.4360017776489258
3,min,0.0
4,25%,1.8371795415878296
5,50%,2.6027777194976807
6,75%,3.390275239944458
7,max,14.899999618530272
0,count,1355.0
1,mean,3.6155622005462646
2,std,1.751481056213379
3,min,0.0
4,25%,2.5166680812835693
5,50%,3.472908973693848
6,75%,4.534950494766235
7,max,14.283333778381348
0,count,1372.0
1,mean,3.4742321968078613
2,std,1.6857906579971311
3,min,0.0
4,25%,2.4241607189178467
5,50%,3.323959469795227
6,75%,4.258333206176758
7,max,14.133333206176758
0,count,1393.0
1,mean,3.355701446533203
2,std,1.5926638841629028
3,min,0.0
4,25%,2.382516860961914
5,50%,3.217689275741577
6,75%,4.0333333015441895
7,max,14.266666412353516
0,count,1406.0
1,mean,3.1613245010375977
2,std,1.4600954055786133
3,min,0.0
4,25%,2.315881907939911
5,50%,3.070210695266724
6,75%,3.827751994132996
7,max,12.616666793823242
0,count,1263.0
1,mean,3.939208507537842
2,std,2.1073596477508545
3,min,0.0
4,25%,2.6083333492279053
5,50%,3.642499923706055
6,75%,4.935555696487427
7,max,14.300000190734863
0,count,1238.0
1,mean,3.502967834472656
2,std,1.917659401893616
3,min,0.0
4,25%,2.210416615009308
5,50%,3.262500047683716
6,75%,4.497222185134888
7,max,14.350000381469728
0,count,1325.0
1,mean,3.495765686035156
2,std,1.7473772764205933
3,min,0.0
4,25%,2.355555534362793
5,50%,3.267779588699341
6,75%,4.373339653015137
7,max,13.483333587646484
0,count,1354.0
1,mean,3.404150485992432
2,std,1.6118894815444946
3,min,0.0
4,25%,2.4068862199783325
5,50%,3.2497204542160034
6,75%,4.151231288909912
7,max,14.266666412353516
0,count,1391.0
1,mean,3.287139177322388
2,std,1.408320069313049
3,min,0.0
4,25%,2.4552159309387207
5,50%,3.148810625076294
6,75%,3.9061570167541504
7,max,13.31666660308838
0,count,1404.0
1,mean,3.160164356231689
2,std,1.3687483072280884
3,min,0.0
4,25%,2.34468150138855
5,50%,3.103124976158142
6,75%,3.8113377690315247
7,max,13.783333778381348
0,count,1176.0
1,mean,3.719655990600586
2,std,2.046966075897217
3,min,0.0
4,25%,2.3499999046325684
5,50%,3.479725956916809
6,75%,4.698609709739685
7,max,14.75
0,count,1221.0
1,mean,3.554530620574951
2,std,1.992539882659912
3,min,0.0
4,25%,2.1626665592193604
5,50%,3.299999952316284
6,75%,4.579999923706055
7,max,13.966666221618652
0,count,1309.0
1,mean,3.6579225063323975
2,std,1.8806037902832031
3,min,0.0
4,25%,2.433333396911621
5,50%,3.41333556175232
6,75%,4.576666831970215
7,max,14.899999618530272
0,count,1351.0
1,mean,3.438253879547119
2,std,1.5899289846420288
3,min,0.0
4,25%,2.4260424375534058
5,50%,3.259518384933472
6,75%,4.292083024978638
7,max,12.883333206176758
0,count,1391.0
1,mean,3.3401694297790527
2,std,1.3917876482009888
3,min,0.0
4,25%,2.484736442565918
5,50%,3.2478387355804443
6,75%,4.023038387298584
7,max,13.300000190734863
0,count,1405.0
1,mean,3.1970109939575195
2,std,1.2266041040420532
3,min,0.0
4,25%,2.4437499046325684
5,50%,3.08648943901062
6,75%,3.780558824539185
7,max,10.333333015441896
0,count,1067.0
1,mean,3.672839403152466
2,std,2.1806678771972656
3,min,0.0
4,25%,2.137500047683716
5,50%,3.375
6,75%,4.822908401489258
7,max,14.68333339691162
0,count,1099.0
1,mean,3.60570764541626
2,std,2.0525355339050293
3,min,0.0
4,25%,2.1466667652130127
5,50%,3.3645832538604736
6,75%,4.701667785644531
7,max,14.350000381469728
0,count,1249.0
1,mean,3.587526321411133
2,std,1.952244997024536
3,min,0.0
4,25%,2.27406907081604
5,50%,3.283333301544189
6,75%,4.643747806549072
7,max,12.416666984558104
0,count,1285.0
1,mean,3.4300613403320312
2,std,1.771567702293396
3,min,0.0
4,25%,2.250001907348633
5,50%,3.1694488525390625
6,75%,4.275927543640137
7,max,14.116666793823242
0,count,1382.0
1,mean,3.44202208518982
2,std,1.5198851823806765
3,min,0.0
4,25%,2.5467501878738403
5,50%,3.2838196754455566
6,75%,4.098312139511108
7,max,14.733333587646484
0,count,1406.0
1,mean,3.343789577484131
2,std,1.381493091583252
3,min,0.0
4,25%,2.496465265750885
5,50%,3.263760566711426
6,75%,3.98841655254364
7,max,12.766666412353516
0,count,1021.0
1,mean,3.892913818359375
2,std,2.259765625
3,min,0.0
4,25%,2.275000095367432
5,50%,3.5999999046325684
6,75%,5.188889026641846
7,max,14.899999618530272
0,count,1038.0
1,mean,3.5136501789093018
2,std,2.10085129737854
3,min,0.0
4,25%,2.066666603088379
5,50%,3.222022771835327
6,75%,4.5333333015441895
7,max,13.016666412353516
0,count,1206.0
1,mean,3.502727746963501
2,std,1.9725826978683472
3,min,0.0
4,25%,2.1666667461395264
5,50%,3.266163825988769
6,75%,4.557160973548889
7,max,14.600000381469728
0,count,1253.0
1,mean,3.7037642002105713
2,std,1.976573467254639
3,min,0.0
4,25%,2.418298959732056
5,50%,3.461904764175415
6,75%,4.587500095367432
7,max,14.083333015441896
0,count,1355.0
1,mean,3.5971546173095703
2,std,1.525818109512329
