Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Number of fleets,1,2,5,5,5,5,5,2,2,2,2,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,1,2,5,5,5,5,5,0
Total fleet size,100%,100%,100%,164%,200%,400%,1000%,164%,200%,400%,1000%,100%,100%,164%,200%,400%,1000%,100%,100%,164%,200%,400%,1000%,100%,100%,164%,200%,400%,1000%,100%,100%,164%,200%,400%,1000%,100%,100%,100%,164%,200%,400%,1000%,0
RH Pooled Price,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,47%,47%,47%,47%,47%,47%,27%,27%,27%,27%,27%,27%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,6.25%,6.25%,6.25%,6.25%,6.25%,6.25%,0%,0%,0%,0%,0%,0%,0%,0
RH Solo Price,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,47%,47%,47%,47%,47%,47%,27%,27%,27%,27%,27%,27%,12.50%,12.50%,12.50%,12.50%,12.50%,12.50%,6.25%,6.25%,6.25%,6.25%,6.25%,6.25%,100%,100%,100%,100%,100%,100%,100%,0
Simulated Agents ,1937432,1937360,1937424,1937388,1937426,1937273,1937346,1937567,1937443,1937386,1937321,1937519,1937585,1937609,1937677,1937636,1937315,1937733,1937687,1937917,1937980,1937813,1937526,1938015,1938077,1938343,1938466,1938263,1937714,1938580,1938354,1938700,1938794,1939013,1938132,1938424,1938357,1938354,1938734,1938967,1939035,1938568,0
Trips per Agent AV ,3.837653657,3.839640542,3.839001685,3.839239223,3.839439545,3.842127568,3.842776148,3.839956502,3.838790096,3.842638483,3.843041499,3.838391262,3.836876834,3.838736814,3.840045064,3.84109967,3.844097114,3.838556705,3.83741595,3.838779989,3.838410097,3.839492252,3.844539377,3.836920251,3.838608064,3.838596162,3.836731209,3.838302645,3.844017745,3.837228796,3.838053317,3.835539279,3.835025794,3.837781902,3.842830622,3.838710726,3.837847724,3.836121782,3.838362045,3.838074088,3.836900314,3.842068475,1
Trip Vehicle Total ,17844548,17848430,17855388,17846876,17830954,17807999,17819919,17832089,17815656,17800479,17806091,17847946,17840230,17832076,17827798,17775815,17717993,17843566,17846212,17850615,17822073,17749441,17659135,17865177,17879651,17868356,17849561,17770299,17616836,17871768,17887825,17886185,17879393,17804673,17603198,17864700,17873488,17859926,17876933,17858309,17775858,17637456,2
Trip Est Total ,7435193,7438766,7437774,7438096,7438630,7443250,7444787,7440173,7437437,7444674,7445205,7436956,7434275,7437971,7440767,7442653,7447227,7438098,7435711,7439237,7438762,7440218,7448895,7436009,7439518,7440516,7437373,7439640,7448607,7438775,7439506,7435960,7435325,7441509,7447913,7441049,7439119,7435762,7441563,7441899,7439884,7448111,3
Trip Mode Total ,7604885,7606010,7611958,7608110,7602653,7579169,7548422,7604317,7595005,7575283,7545134,7650461,7655556,7660006,7656072,7624076,7572527,7688302,7692735,7702436,7699344,7669446,7604240,7740360,7748732,7758035,7755214,7730575,7648767,7780743,7786066,7799656,7802824,7792157,7695258,7746524,7742081,7733604,7760118,7763307,7749096,7668580,4
Trip Replanning Total ,169726,167283,174218,170051,164059,135955,103680,164177,157614,130632,99971,213546,221309,222073,215330,181452,125339,250239,257065,263234,260643,229277,155405,304397,309281,317581,317874,290994,200231,342066,346660,363783,367575,350727,247431,305605,303077,297979,318652,321537,309316,220604,5
