run,25%,50%,75%,count,max,mean,min,std,price_solo,price_pooled,size,n_fleets,Type,pc_diff
3,2.5,3.575000047683716,4.783339500427246,1263.0,14.083333015441896,3.758387804031372,0.0,1.94571852684021,1.0,1.0,1.0,1,RH solo,0.0
4,2.283333301544189,3.397013902664185,4.617777824401856,1276.0,13.983333587646484,3.5795233249664307,0.0,1.9517664909362795,1.0,1.0,1.0,2,RH solo,-4.9786333607142215
5,2.033333301544189,3.025000095367432,4.331666827201843,1262.0,13.68333339691162,3.353900194168091,0.0,1.9743479490280151,1.0,1.0,1.0,5,RH solo,-15.384613845603587
6,2.137291729450226,2.9989583492279053,4.059027791023254,1344.0,14.283333778381348,3.2612221240997314,0.0,1.7726458311080933,1.0,1.0,1.64,5,RH solo,-16.11305428734287
7,2.1052380204200745,2.936931848526001,3.867708921432495,1346.0,12.366666793823242,3.140927791595459,0.0,1.6344819068908691,1.0,1.0,2.0,5,RH solo,-17.848061276841847
8,2.0047619342803955,2.748016357421875,3.616670846939087,1393.0,14.0,2.950662136077881,0.0,1.59952712059021,1.0,1.0,4.0,5,RH solo,-23.132410607872668
9,1.8371795415878296,2.6027777194976807,3.390275239944458,1401.0,14.899999618530272,2.7580435276031494,0.0,1.4360017776489258,1.0,1.0,10.0,5,RH solo,-27.19502979631984
10,2.5166680812835693,3.472908973693848,4.534950494766235,1355.0,14.283333778381348,3.6155622005462646,0.0,1.751481056213379,1.0,1.0,1.64,2,RH solo,-2.855694339249414
11,2.4241607189178467,3.323959469795227,4.258333206176758,1372.0,14.133333206176758,3.4742321968078613,0.0,1.6857906579971311,1.0,1.0,2.0,2,RH solo,-7.0221139731491995
12,2.382516860961914,3.217689275741577,4.0333333015441895,1393.0,14.266666412353516,3.355701446533203,0.0,1.5926638841629028,1.0,1.0,4.0,2,RH solo,-9.994706774161989
13,2.315881907939911,3.070210695266724,3.827751994132996,1406.0,12.616666793823242,3.1613245010375977,0.0,1.4600954055786133,1.0,1.0,10.0,2,RH solo,-14.119981697456218
14,2.6083333492279053,3.642499923706055,4.935555696487427,1263.0,14.300000190734863,3.939208507537842,0.0,2.1073596477508545,0.47,0.47,1.0,2,RH solo,1.8881083950215125
15,2.210416615009308,3.262500047683716,4.497222185134888,1238.0,14.350000381469728,3.502967834472656,0.0,1.917659401893616,0.47,0.47,1.0,5,RH solo,-8.741258624666939
16,2.355555534362793,3.267779588699341,4.373339653015137,1325.0,13.483333587646484,3.495765686035156,0.0,1.7473772764205933,0.47,0.47,1.64,5,RH solo,-8.593579157668172
17,2.4068862199783325,3.2497204542160034,4.151231288909912,1354.0,14.266666412353516,3.404150485992432,0.0,1.6118894815444946,0.47,0.47,2.0,5,RH solo,-9.09872976584895
