,endX,endY,vehicle,arrivalTime,departureTime,Parking Time,Cumulative Travel Length
0,-121.9044444,37.3129386,101059,45678.0,60746.0,15068.0,10735.478
1,-121.9854731,37.330365,101059,61817.0,62706.0,889.0,20005.802999999996
2,-121.9930375,37.3357501,101059,62783.0,131644.0,68861.0,21144.503999999997
3,-122.0951355,37.61027,101950,54727.0,57883.0,3156.0,5790.698
4,-122.0700554,37.61765,101950,58381.0,63156.0,4775.0,14965.809
5,-122.0571172,37.58299,101950,63417.0,140839.0,77422.0,20649.140999999996
6,-121.8829897,37.4213176,101974,31131.0,64467.0,33336.0,38504.482
7,-122.2487405,37.4976517,101974,67549.0,115801.0,48252.0,86394.285
8,-121.9764963,37.536569,102726,39413.0,40218.0,805.0,1536.981
9,-121.9616673,37.5406299,102726,41232.0,52673.0,11441.0,14672.597
10,-122.0118246,37.5606516,102726,53418.0,63080.0,9662.0,28460.502999999997
11,-121.9616673,37.5406299,102726,63420.0,71582.0,8162.0,33924.879
12,-121.9590633,37.5324075,102726,71635.0,81676.0,10041.0,34802.421
13,-121.9616673,37.5406299,102726,81755.0,125719.0,43964.0,36103.774000000005
14,-122.5342045,37.936564,10296,32651.0,41801.0,9150.0,264.011
15,-122.2117988,37.7746827,10296,43702.0,44872.0,1170.0,42646.150999999976
16,-122.2308387,37.7540745,10296,45042.0,70339.0,25297.0,45562.996999999974
17,-122.4928822,37.7721779,10296,71957.0,74766.0,2809.0,77194.05099999998
18,-122.5342045,37.936564,10296,76486.0,77559.0,1073.0,100693.61399999999
19,-122.4405732,37.7657726,10296,78781.0,79891.0,1110.0,125431.406
20,-122.533644,37.9505892,10296,81612.0,82692.0,1080.0,152040.629
21,-122.5317175,37.930165,10296,82930.0,119025.0,36095.0,154700.11699999997
22,-122.4248552,37.6005216,10324,21582.0,43103.0,21521.0,4095.5740000000005
23,-122.2513441,37.55136,10324,45004.0,62398.0,17394.0,46922.959
24,-122.3374245,37.5830206,10324,63016.0,66999.0,3983.0,60552.094000000005
25,-122.4252866,37.6156359,10324,67585.0,107765.0,40180.0,70511.39499999999
26,-122.3960285,37.7885423,103672,32358.0,60783.0,28425.0,3981.268
27,-122.2658571,37.7914041,103672,61780.0,62915.0,1135.0,21331.891999999993
28,-122.414368,37.774043,103672,64480.0,78981.0,14501.0,44573.079
29,-122.3931959,37.7581692,103672,79149.0,118501.0,39352.0,47854.049
30,-122.259318,37.5074793,104342,30974.0,64113.0,33139.0,4502.398
31,-122.2517764,37.4619979,104342,64774.0,73692.0,8918.0,18753.748999999996
32,-122.2787944,37.4741883,104342,75418.0,117090.0,41672.0,41489.784
33,-121.8767858,37.2628917,104516,50436.0,53476.0,3040.0,2367.746
34,-121.8945118,37.249482,104516,53589.0,58026.0,4437.0,5179.932000000001
35,-121.8945118,37.249482,104516,58941.0,136742.0,77801.0,18120.034000000003
36,-121.8705718,37.2923235,10712,42062.0,43111.0,1049.0,9513.168000000009
37,-121.8019193,37.3123552,10712,43517.0,128052.0,84535.0,18697.97500000001
38,-122.7467797,38.4739231,108455,32122.0,62528.0,30406.0,7337.984
39,-122.7011517,38.4438674,108455,62925.0,118152.0,55227.0,15245.276
40,-122.0825108,37.6051473,109859,33724.0,36148.0,2424.0,6441.052000000001
41,-122.0217401,37.5865672,109859,36511.0,119768.0,83257.0,14514.877000000002
42,-122.3408404,37.9498375,109971,56629.0,71225.0,14596.0,11431.967999999999
43,-122.2532059,37.8879759,109971,72539.0,142394.0,69855.0,24696.554
44,-122.1195319,37.9938194,110191,41309.0,42983.0,1674.0,13219.933000000005
45,-122.0788665,37.961335,110191,43353.0,53177.0,9824.0,19420.32700000001
46,-122.0547196,37.9291328,110191,53530.0,63310.0,9780.0,26736.63500000001
47,-122.0296563,37.9224695,110191,63653.0,82365.0,18712.0,31003.43800000001
48,-122.0547196,37.9291328,110191,82538.0,127112.0,44574.0,33735.24200000001
49,-121.9897575,37.5494242,110834,20571.0,27108.0,6537.0,5528.278
50,-122.0679101,37.5800532,110834,27664.0,65389.0,37725.0,15359.910999999995
51,-122.0401241,37.5765534,110834,65651.0,106646.0,40995.0,20068.652999999995
52,-122.034713,37.3323339,111171,48814.0,49734.0,920.0,12478.176000000001
53,-122.0102668,37.3229084,111171,49919.0,51458.0,1539.0,16521.282000000003
