last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100286,489426560.424,-121.7513165,37.2329247,0.008291378817506675,0.0397367563523523,POINT (-121.7513165 37.2329247)
100476,1827736225.5449991,-122.3925533,37.7838975,0.030963692308289933,0.10759697223041777,POINT (-122.3925533 37.7838975)
101031,64106275.691999994,-122.2617493,37.7701756,0.0010860248693520377,0.00741237077642196,POINT (-122.2617493 37.7701756)
104611,25098195.58,-122.0605869,37.5848331,0.0004251887086172267,0.00330073036435096,POINT (-122.0605869 37.5848331)
105523,463803041.48399997,-121.9869126,37.5565695,0.007857290602136744,0.03807889303984088,POINT (-121.9869126 37.5565695)
105740,2524730554.4939995,-121.9590461,37.5050608,0.042771478158660454,0.13481072896912463,POINT (-121.9590461 37.5050608)
105776,439183155.684,-121.9764963,37.536569,0.007440204942881333,0.03646337961589249,POINT (-121.9764963 37.536569)
107468,335274175.213,-122.0686624,37.6329296,0.005679882170697519,0.029369675538541033,POINT (-122.0686624 37.6329296)
107976,597891452.2159998,-122.0467525,37.5376082,0.01012888331556301,0.04651552114646627,POINT (-122.0467525 37.5376082)
109273,1212397574.164,-122.1691649,37.7520169,0.020539235868423714,0.07980352244485217,POINT (-122.1691649 37.7520169)
113985,2525696906.577,-122.2773306,37.8040355,0.04278784913612499,0.13484595427763335,POINT (-122.2773306 37.8040355)
114999,145818756.84600002,-122.3308633,37.9437195,0.0024703165898080125,0.01483032075557578,POINT (-122.3308633 37.9437195)
115537,190985822.00599995,-122.3308508,37.9474509,0.0032354921597487463,0.01855093445771556,POINT (-122.3308508 37.9474509)
116189,496061553.05199987,-122.1469933,37.6991044,0.008403782274487947,0.0401622923585073,POINT (-122.1469933 37.6991044)
116671,931034393.1800001,-122.1858918,37.6959035,0.015772660231792947,0.06544829405991075,POINT (-122.1858918 37.6959035)
118758,2475880550.43,-121.904245,37.4253017,0.041943909894730375,0.1330218399459413,POINT (-121.904245 37.4253017)
122304,544147239.396,-122.0600874,37.9501688,0.009218402226524293,0.043202535686812094,POINT (-122.0600874 37.9501688)
125009,1657585859.628,-122.0491676,37.9420487,0.028081173757328933,0.10032437110932155,POINT (-122.0491676 37.9420487)
