last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
101684,68893775.97,-122.308089,37.8958304,0.00047758121754420404,0.0036519567468219533,POINT (-122.308089 37.8958304)
102400,4028106157.6140003,-122.258641,37.8678561,0.027923390989460378,0.09991800623238029,POINT (-122.258641 37.8678561)
103828,3133708151.4400005,-122.2435505,37.8779019,0.021723299867387316,0.08318654994266295,POINT (-122.2435505 37.8779019)
106847,58508966.699999996,-122.0986663,37.6345432,0.0004055922782633813,0.0031677414574618683,POINT (-122.0986663 37.6345432)
107067,238769250.74400002,-122.030038,37.6150649,0.001655181587551426,0.010599525597965754,POINT (-122.030038 37.6150649)
108278,341005856.916,-122.2772663,37.8041389,0.0023638999320717293,0.014295548939195034,POINT (-122.2772663 37.8041389)
108688,219706379.585,-122.2144989,37.785143,0.001523035118732996,0.009880005189974178,POINT (-122.2144989 37.785143)
10931,898503944.0280001,-122.0603839,37.9467903,0.006228554053184983,0.031632403547860115,POINT (-122.0603839 37.9467903)
109520,1619978800.628,-122.2583338,37.8504877,0.011229917900517127,0.050413053450836694,POINT (-122.2583338 37.8504877)
112223,4233918.612,-122.227644,37.8177992,2.9350111490224166e-05,0.0003063040506889561,POINT (-122.227644 37.8177992)
115167,607332479.061,-122.3425647,37.9350269,0.004210113043163661,0.023030437312225715,POINT (-122.3425647 37.9350269)
11573,26194772.4,-122.0674655,37.8930526,0.00018158579813556578,0.0015641405337216594,POINT (-122.0674655 37.8930526)
117636,801000.96,-122.1465774,37.4074499,5.552649834398042e-06,6.719392216516967e-05,POINT (-122.1465774 37.4074499)
118188,609147532.224,-122.111697,37.6934145,0.004222695243620644,0.02308666430970635,POINT (-122.111697 37.6934145)
118758,101945083.65300001,-121.904245,37.4253017,0.0007066974699549986,0.005127025050872105,POINT (-121.904245 37.4253017)
118867,238920882.85000008,-122.0806004,37.7015571,0.0016562327223568958,0.010605205433366814,POINT (-122.0806004 37.7015571)
120083,62238102.660000004,-122.2302079,37.7901311,0.00043144316634564006,0.0033429833439148097,POINT (-122.2302079 37.7901311)
120464,2980039.6499999994,-122.2736972,37.8778342,2.0658048486074345e-05,0.00022284674704160895,POINT (-122.2736972 37.8778342)
121232,248416564.35399997,-121.9684074,37.8160637,0.001722058104552045,0.01095958268672533,POINT (-121.9684074 37.8160637)
121872,113986673.88,-122.1132904,37.8040791,0.0007901714447924827,0.005644400562519912,POINT (-122.1132904 37.8040791)
122299,2558247086.5080004,-122.0609993,37.958155,0.0177341238907478,0.0715086798346439,POINT (-122.0609993 37.958155)
122304,1395663851.5199997,-122.0600874,37.9501688,0.009674935538176959,0.04487444761177483,POINT (-122.0600874 37.9501688)
124757,2549892109.6199994,-122.0357389,37.9624438,0.017676206031281616,0.07133296288006975,POINT (-122.0357389 37.9624438)
125749,61687195.640000015,-122.0268002,37.8452861,0.0004276242024165935,0.003317194592026949,POINT (-122.0268002 37.8452861)
126864,297437865.7,-122.0497084,38.2691114,0.0020618805696847255,0.012750951538529362,POINT (-122.0497084 38.2691114)
128440,877498792.0320001,-122.4937626,37.9460745,0.006082943424014082,0.03103679896689042,POINT (-122.4937626 37.9460745)
130034,490927870.83599997,-122.5385834,38.0038095,0.0034031801418801027,0.019340425714715347,POINT (-122.5385834 38.0038095)
130103,372125938.7520001,-122.6345879,38.2648579,0.002579628658855177,0.015374870104392264,POINT (-122.6345879 38.2648579)
131310,577482594.4599999,-122.5655558,38.0731181,0.00400318949991779,0.02210026359939893,POINT (-122.5655558 38.0731181)
135475,840993404.544,-122.4630251,37.7568139,0.005829883010965539,0.02999333927424995,POINT (-122.4630251 37.7568139)
13688,8997604.038000003,-121.8907069,38.013343,6.237264006722273e-05,0.000603915842195238,POINT (-121.8907069 38.013343)
142281,10257168.96,-122.4051333,37.7863355,7.110411893530907e-05,0.0006791414136638686,POINT (-122.4051333 37.7863355)
143779,39199539.076000005,-122.466849,37.7153895,0.0002717366458073047,0.0022311418752416125,POINT (-122.466849 37.7153895)
145308,542919690.1,-122.4421701,37.7792382,0.0037635946495310087,0.02100981833916292,POINT (-122.4421701 37.7792382)
146415,1394128070.5739996,-122.4083051,37.714899,0.009664289291491462,0.04483570839957562,POINT (-122.4083051 37.714899)
146893,20840211.56,-122.3935757,37.7111015,0.00014446723917466235,0.0012774454651087797,POINT (-122.3935757 37.7111015)
148610,54349330.856,-122.1610703,38.0724537,0.00037675710523145037,0.002970319057272274,POINT (-122.1610703 38.0724537)
148935,773925600.168,-122.1788855,37.4345308,0.005364959681957497,0.02804729255490925,POINT (-122.1788855 37.4345308)
152464,1573773577.7930005,-122.6963442,38.3470557,0.010909616882497017,0.04929085563436663,POINT (-122.6963442 38.3470557)
153910,1548103568.0110002,-122.7319165,38.4579302,0.010731668811666964,0.048663355419098296,POINT (-122.7319165 38.4579302)
154044,639621225.5860001,-122.7343254,38.4577287,0.004433943115783002,0.024025170005358393,POINT (-122.7343254 38.4577287)
154048,28642855.384,-122.7396265,38.4593822,0.00019855624917684825,0.0016925804607997212,POINT (-122.7396265 38.4593822)
154411,270704417.613,-122.7513092,38.4509584,0.0018765605969181893,0.011781637882343089,POINT (-122.7513092 38.4509584)
154819,9741234.388000002,-122.7174457,38.4531961,6.752758887000676e-05,0.0006484657017825463,POINT (-122.7174457 38.4531961)
154887,1864614043.9680004,-122.4827579,37.5851725,0.012925763362949254,0.05620810594066029,POINT (-122.4827579 37.5851725)
155241,28514577.608999997,-122.4754282,37.5857467,0.0001976670098354738,0.0016858874401755473,POINT (-122.4754282 37.5857467)
157673,437035749.7,-122.425646,37.6282254,0.003029592477888827,0.01756959795363567,POINT (-122.425646 37.6282254)
159005,33756472.875,-122.3247371,37.5617862,0.0002340045553993228,0.0019563178581275997,POINT (-122.3247371 37.5617862)
159047,655298.396,-122.3424779,37.5216108,4.54261943709868e-06,5.588333494956602e-05,POINT (-122.3424779 37.5216108)
159270,507439750.768,-122.2843135,37.5268587,0.0035176427854330147,0.019874555724918593,POINT (-122.2843135 37.5268587)
159831,253493322.81,-122.2117652,37.4792293,0.0017572508988278315,0.011148007926821158,POINT (-122.2117652 37.4792293)
164247,769142805.7950001,-122.0266415,37.586654,0.005331804687507556,0.02790701500807118,POINT (-122.0266415 37.586654)
164529,4675663.245000001,-121.9774865,38.370378,3.241234660074598e-05,0.00033504549138606765,POINT (-121.9774865 38.370378)
164689,199395134.91,-121.9745882,38.3607985,0.001382234751426249,0.009100707835632845,POINT (-121.9745882 38.3607985)
164786,890089438.7700001,-121.9705966,38.3353846,0.006170223534795373,0.03139422206018089,POINT (-121.9705966 38.3353846)
165728,3298886127.504,-122.5332841,38.5595355,0.022868336524319625,0.08639662134828523,POINT (-122.5332841 38.5595355)
167718,4213849.095,-121.9381001,37.2511863,2.9210986812712545e-05,0.000304990910169702,POINT (-121.9381001 37.2511863)
168000,12044387.736,-121.9846441,37.4021212,8.349336755816898e-05,0.0007840647869761439,POINT (-121.9846441 37.4021212)
168421,290491809.092,-122.031421,37.3375268,0.0020137295411589537,0.01250076335575004,POINT (-122.031421 37.3375268)
168919,33697007.958,-122.0324396,37.3434813,0.000233592336340893,0.0019532834924975394,POINT (-122.0324396 37.3434813)
16941,7283266.2760000015,-122.4382406,37.7768602,5.048861274936331e-05,0.0004995223554736467,POINT (-122.4382406 37.7768602)
169773,2898020939.305,-121.9965609,37.2876084,0.020089483399263298,0.07850083794173625,POINT (-121.9965609 37.2876084)
169978,429448172.254,-121.9701456,37.2493927,0.0029769943378703504,0.017316703015742257,POINT (-121.9701456 37.2493927)
17009,105414588.24000001,-122.4753877,37.6606881,0.0007307485573225453,0.005277057686234284,POINT (-122.4753877 37.6606881)
170149,1393594436.096,-121.9502041,37.3346782,0.009660590063221007,0.04482224502456993,POINT (-121.9502041 37.3346782)
170976,264594619.22099993,-121.8752028,37.2509035,0.0018342066264191471,0.011557598697926566,POINT (-121.8752028 37.2509035)
172515,386051047.2,-121.8969568,37.4328734,0.0026761594434347126,0.01585188940203294,POINT (-121.8969568 37.4328734)
174349,1607388126.944,-121.8935664,37.3575089,0.011142637602942424,0.0501081772627308,POINT (-121.8935664 37.3575089)
174668,116336357.697,-122.1145806,37.417187,0.0008064597791502253,0.005744297306121974,POINT (-122.1145806 37.417187)
174763,478306.46499999997,-122.1432082,37.4194125,3.315686804762085e-06,4.183350905342736e-05,POINT (-122.1432082 37.4194125)
177014,355784.884,-121.98732,37.3230342,2.4663501991607187e-06,3.184741570316883e-05,POINT (-121.98732 37.3230342)
17775,705634445.6250001,-122.7462476,37.9339087,0.004891555919789673,0.026024275152100245,POINT (-122.7462476 37.9339087)
