last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100083,6277957.884,-121.9225254,37.4487905,1.366089595325658e-06,1.8447070369757996e-05,POINT (-121.9225254 37.4487905)
100095,4297623.444000002,-122.2733273,37.7938597,9.351669412180503e-07,1.2982493194610472e-05,POINT (-122.2733273 37.7938597)
100115,553530666.65,-121.7620338,37.2381789,0.00012044879853868102,0.0010869643827284001,POINT (-121.7620338 37.2381789)
100156,2680092351.792,-122.0459865,37.315569,0.0005831906400050842,0.004343018612245098,POINT (-122.0459865 37.315569)
100163,154767163.348,-122.3229667,37.9663629,3.367748166750354e-05,0.0003468336454173732,POINT (-122.3229667 37.9663629)
100252,451727646.12,-121.9646105,37.3296499,9.829636462809422e-05,0.0009070320159381239,POINT (-121.9646105 37.3296499)
100260,181694008.971,-121.9639013,37.33027,3.9536788837159685e-05,0.0004008349942769616,POINT (-121.9639013 37.33027)
100278,1943736565.8240006,-122.0058385,37.3019303,0.00042295892194395507,0.003285644510320028,POINT (-122.0058385 37.3019303)
100279,290431848.49200004,-122.0049849,37.3017915,6.319824594352425e-05,0.0006110786291287688,POINT (-122.0049849 37.3017915)
100286,5006891345.816,-121.7513165,37.2329247,0.001089504309972736,0.007432633754509616,POINT (-121.7513165 37.2329247)
100287,52760444.894999996,-121.7704925,37.2502061,1.1480722895498199e-05,0.0001305913997867531,POINT (-121.7704925 37.2502061)
100303,347994575.042,-121.8236877,37.3237727,7.572394988603432e-05,0.0007185003428776061,POINT (-121.8236877 37.3237727)
100312,33139427.402000003,-121.9418004,38.0202285,7.211170862471209e-06,8.537939208691014e-05,POINT (-121.9418004 38.0202285)
100313,5078507134.977,-121.9217213,38.0225107,0.0011050879736802,0.007523251427843887,POINT (-121.9217213 38.0225107)
100319,18295663.68,-121.8224241,37.3187124,3.981153785138317e-06,4.950142285586259e-05,POINT (-121.8224241 37.3187124)
100388,316746616.512,-122.0065467,37.3008082,6.892436444571241e-05,0.00066046777896041,POINT (-122.0065467 37.3008082)
100419,7434134045.355001,-121.779063,37.7523735,0.0016176746256132914,0.0103964155990383,POINT (-121.779063 37.7523735)
100476,39336977.404,-122.3925533,37.7838975,8.55976362634116e-06,9.987907101400269e-05,POINT (-122.3925533 37.7838975)
100477,5348114055.287998,-122.3887838,37.786927,0.0011637546954820963,0.00786244739774914,POINT (-122.3887838 37.786927)
