last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100083,111952198.27800003,-121.9225254,37.4487905,2.379653842033647e-05,0.00025333724441610147,POINT (-121.9225254 37.4487905)
100094,14660972.460000003,-122.2744646,37.7942919,3.1163335762067323e-06,3.951153650520651e-05,POINT (-122.2744646 37.7942919)
100221,505089272.292,-122.1432337,37.4857559,0.00010736168167015192,0.0009812113925489648,POINT (-122.1432337 37.4857559)
100286,7491882375.707001,-121.7513165,37.2329247,0.0015924731227826875,0.010259455618407088,POINT (-121.7513165 37.2329247)
100297,73257325.686,-122.1097098,37.8464402,1.5571563507213192e-05,0.00017237820708433007,POINT (-122.1097098 37.8464402)
100318,11321379.608000001,-121.8226921,37.3190073,2.4064703414218546e-06,3.1133347802521695e-05,POINT (-121.8226921 37.3190073)
100328,2248989298.296,-122.2582986,38.0186585,0.00047804474648126044,0.0036550374951136704,POINT (-122.2582986 38.0186585)
100418,3096489053.1829996,-121.8740945,37.9042026,0.000658189136574558,0.004821905610924007,POINT (-121.8740945 37.9042026)
100456,1457149636.656,-121.7471554,37.2315441,0.00030973145544456823,0.002502569734072266,POINT (-121.7471554 37.2315441)
100457,1678721091.0220003,-121.7466581,37.2314464,0.0003568286425277315,0.002832596714417331,POINT (-121.7466581 37.2314464)
10047,2507328890.8200006,-122.1778517,37.7189827,0.0005329573621650163,0.004016936483545114,POINT (-122.1778517 37.7189827)
100476,13529137.28,-122.3925533,37.7838975,2.8757509010950156e-06,3.669227150742942e-05,POINT (-122.3925533 37.7838975)
100505,111138369.75000001,-121.9638674,37.5105095,2.362355117996065e-05,0.00025166798432191165,POINT (-121.9638674 37.5105095)
100539,555679395.564,-122.0883572,38.0114648,0.00011811510885290587,0.0010682154347118444,POINT (-122.0883572 38.0114648)
100553,5358040.421999999,-122.2636437,37.8337412,1.1389040744266894e-06,1.5586408041457606e-05,POINT (-122.2636437 37.8337412)
100608,418391649.6010001,-121.8290882,37.3495118,8.893325113415556e-05,0.0008295359683079069,POINT (-121.8290882 37.3495118)
100718,5719805520.000001,-121.841874,37.3116307,0.0012158007962964693,0.008160883305031697,POINT (-121.841874 37.3116307)
100767,45693402.111,-121.8656753,37.3258599,9.712581044547222e-06,0.00011210346995967952,POINT (-121.8656753 37.3258599)
100787,22744603.161000002,-122.0703904,37.6003418,4.8345886128294435e-06,5.9173984432649436e-05,POINT (-122.0703904 37.6003418)
100857,310074600.38,-121.9820563,37.4106232,6.590939932050582e-05,0.0006345249132398026,POINT (-121.9820563 37.4106232)
100864,75942616.7,-121.9770487,37.5123974,1.6142348465144586e-05,0.00017811571252861937,POINT (-121.9770487 37.5123974)
100896,110750707.125,-122.2860538,37.7716602,2.3541149684573896e-05,0.0002508723968541408,POINT (-122.2860538 37.7716602)
