last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
1,9322650405.418,-122.3543825,37.5874468,0.002034054633993509,0.012606509469237272,POINT (-122.3543825 37.5874468)
100080,4376916.336,-121.9225254,37.4487905,9.549738077348309e-07,1.3237447670519684e-05,POINT (-121.9225254 37.4487905)
100138,18312732.536999997,-122.2518806,38.1010518,3.995548139005693e-06,4.966598102729242e-05,POINT (-122.2518806 38.1010518)
100214,149574948.86400002,-121.9369317,37.3448704,3.263488435534874e-05,0.00033712255776721607,POINT (-121.9369317 37.3448704)
100235,5101454184.903,-122.110354,37.3708399,0.0011130564886222686,0.007569502549947997,POINT (-122.110354 37.3708399)
100286,2551597607.8379974,-121.7513165,37.2329247,0.0005567181769782264,0.004171740609368413,POINT (-121.7513165 37.2329247)
100405,3875732428.0479994,-122.3159453,38.0028531,0.0008456234185085779,0.005983154740738423,POINT (-122.3159453 38.0028531)
100418,346028465.09700006,-121.8740945,37.9042026,7.549792948528527e-05,0.0007165814500277668,POINT (-121.8740945 37.9042026)
100432,1427965.7870000002,-122.305414,38.3066892,3.115595136489844e-07,4.667683520561061e-06,POINT (-122.305414 38.3066892)
10047,271484467.31600004,-122.1778517,37.7189827,5.923361005583151e-05,0.0005765812302370567,POINT (-122.1778517 37.7189827)
100473,467039167.3820001,-121.7466581,37.2314464,0.00010190054773669626,0.00093662023394113,POINT (-121.7466581 37.2314464)
100477,253092331.64000002,-122.3887838,37.786927,5.52207374097583e-05,0.0005413936073950146,POINT (-122.3887838 37.786927)
100505,4616371643.686001,-121.9638674,37.5105095,0.0010072191625483061,0.0069503783289634235,POINT (-121.9638674 37.5105095)
100533,222542380.35,-122.2631892,37.8377285,4.855522199435811e-05,0.0004822897367926917,POINT (-122.2631892 37.8377285)
100538,38572259.668000005,-122.0883572,38.0114648,8.415856018337796e-06,9.834258509155516e-05,POINT (-122.0883572 38.0114648)
100563,19838398.272000004,-121.6969286,37.9330304,4.3284242335976724e-06,5.3457368113430166e-05,POINT (-121.6969286 37.9330304)
100587,249307355.89699998,-122.5523106,38.0865272,5.4394915662208065e-05,0.0005341167246262104,POINT (-122.5523106 38.0865272)
