last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
10000,5188664379.584,-121.9768227,37.7592993,0.0011086792958164497,0.007544103388242456,POINT (-121.9768227 37.7592993)
100083,4681782.976,-121.9225254,37.4487905,1.0003722486697584e-06,1.382028104544581e-05,POINT (-121.9225254 37.4487905)
100088,603827706.825,-121.7728163,37.2431368,0.00012902188845193257,0.0011554591978744724,POINT (-121.7728163 37.2431368)
100108,4562620685.632001,-122.1330652,37.7709628,0.0009749104429894957,0.0067592149073903126,POINT (-122.1330652 37.7709628)
100109,10094394.024,-122.1286448,37.7695187,2.1569029791669374e-06,2.814076196303593e-05,POINT (-122.1286448 37.7695187)
100138,267535851.184,-122.2518806,38.1010518,5.716528135128917e-05,0.0005584798640633562,POINT (-122.2518806 38.1010518)
100142,4896964345.260001,-122.3062644,38.3063268,0.00104635077252316,0.007180526325348888,POINT (-122.3062644 38.3063268)
100155,388223328.9540001,-122.0504774,37.3155604,8.295297893188213e-05,0.0007795287721525494,POINT (-122.0504774 37.3155604)
100297,1384882626.864,-122.1097098,37.8464402,0.00029591250911918,0.0024044213280000363,POINT (-122.1097098 37.8464402)
10032,1205766662.0640001,-121.6023516,37.8900983,0.0002576402010266937,0.0021291248416622477,POINT (-121.6023516 37.8900983)
100388,9980753.860999998,-122.0065467,37.3008082,2.132621104936057e-06,2.7848104982525926e-05,POINT (-122.0065467 37.3008082)
100418,11330035.471,-121.8740945,37.9042026,2.4209266255472827e-06,3.130587418358818e-05,POINT (-121.8740945 37.9042026)
10047,170280286.63,-122.1778517,37.7189827,3.6384359145523985e-05,0.0003718980541434702,POINT (-122.1778517 37.7189827)
100476,49919767.815,-122.3925533,37.7838975,1.0666523979894061e-05,0.00012211463655331537,POINT (-122.3925533 37.7838975)
100477,2263627557.6329994,-122.3887838,37.786927,0.0004836768815616618,0.003692434525185638,POINT (-122.3887838 37.786927)
100608,204947400.8,-121.8290882,37.3495118,4.379179753703266e-05,0.00043949728402505495,POINT (-121.8290882 37.3495118)
100609,121397102.4,-121.8319248,37.352797,2.5939325451953825e-05,0.00027391280189105835,POINT (-121.8319248 37.352797)
100650,23216944.162000004,-121.8327214,37.3470418,4.960842217087032e-06,6.059140453263997e-05,POINT (-121.8327214 37.3470418)
100653,26755655.968000006,-121.8327214,37.3470418,5.716970620498622e-06,6.901567812074198e-05,POINT (-121.8327214 37.3470418)
100677,6213934.892,-121.837517,37.3436085,1.3277522800316817e-06,1.796717447192826e-05,POINT (-121.837517 37.3436085)
100762,200554696.89299998,-121.8432396,37.3399162,4.2853193781217294e-05,0.0004310058690468239,POINT (-121.8432396 37.3399162)
100765,10318771.263,-121.8593776,37.3287731,2.2048464153064137e-06,2.8717799795220384e-05,POINT (-121.8593776 37.3287731)
100770,34074931.982,-121.8547072,37.3321127,7.280904840067154e-06,8.613496389036306e-05,POINT (-121.8547072 37.3321127)
100771,77069016.00000001,-121.8575119,37.3302159,1.646759476761479e-05,0.00018137600002625284,POINT (-121.8575119 37.3302159)
