last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100109,10094394.024,-122.1286448,37.7695187,5.00435611310989e-05,0.0004955622046451067,POINT (-122.1286448 37.7695187)
100388,313682395.0429999,-122.0065467,37.3008082,0.0015550992040494456,0.010055607259281278,POINT (-122.0065467 37.3008082)
100476,1955805643.935,-122.3925533,37.7838975,0.009696023265002818,0.04495114636675258,POINT (-122.3925533 37.7838975)
100608,1692182.1779999998,-121.8290882,37.3495118,8.389094191128344e-06,9.805658185461745e-05,POINT (-121.8290882 37.3495118)
100609,1238423868.912,-121.8319248,37.352797,0.0061395602789786315,0.03126879373275184,POINT (-121.8319248 37.352797)
103699,90798934.12199998,-122.2940871,37.868665,0.00045014113770173227,0.0034687648232526367,POINT (-122.2940871 37.868665)
104783,479280738.812,-121.9897575,37.5494242,0.002376062881503442,0.014356909489788246,POINT (-121.9897575 37.5494242)
105562,303204862.81700003,-121.9941874,37.5605497,0.0015031562124039586,0.009770798334566067,POINT (-121.9941874 37.5605497)
105794,806250997.6150001,-121.9914238,37.5182102,0.003997037463588882,0.02207244758149968,POINT (-121.9914238 37.5182102)
106213,534737062.479,-122.0712692,37.6688405,0.0026509909174942353,0.01572785664792441,POINT (-122.0712692 37.6688405)
107790,610312568.208,-122.0099556,37.529577,0.003025660999915314,0.017550726952573783,POINT (-122.0099556 37.529577)
109906,736057388.0559999,-122.2662986,37.8121688,0.0036490484527947147,0.020483162968514004,POINT (-122.2662986 37.8121688)
109934,468258349.952,-122.2567319,37.8275992,0.0023214187305603848,0.014080743498633787,POINT (-122.2567319 37.8275992)
110001,2255391895.666001,-122.2189346,37.7933711,0.011181239996873192,0.05024310212987224,POINT (-122.2189346 37.7933711)
110824,7991260.0,-122.2291391,37.8368111,3.9617148624641935e-05,0.00040156926282021796,POINT (-122.2291391 37.8368111)
11149,713915206.437,-122.3336411,37.9365195,0.00353927726526312,0.019975088888058833,POINT (-122.3336411 37.9365195)
112821,20217152.688,-122.2173415,37.8110582,0.00010022774165870904,0.0009229036145978269,POINT (-122.2173415 37.8110582)
112861,6001543676.56,-122.2194342,37.8097825,0.02975301114111636,0.10457662551811221,POINT (-122.2194342 37.8097825)
113449,3401219034.5040007,-122.1747691,37.8017645,0.016861746457367943,0.06884158287135006,POINT (-122.1747691 37.8017645)
114897,3594262864.4530015,-122.3232239,37.9255032,0.017818772771385966,0.07176515593494569,POINT (-122.3232239 37.9255032)
117798,77554169.505,-121.8947795,37.433221,0.0003844794262407002,0.00302340021276656,POINT (-121.8947795 37.433221)
117905,152691277.82400003,-122.1132051,37.6951034,0.0007569761273240893,0.005439765829260643,POINT (-122.1132051 37.6951034)
121094,1481259347.2799997,-121.9887852,37.8007678,0.007343431663196023,0.03608524879959336,POINT (-121.9887852 37.8007678)
121947,89734865.187,-122.1250133,37.8507336,0.0004448659524187158,0.0034333586664532846,POINT (-122.1250133 37.8507336)
122879,2160925.389,-121.9802744,37.7849505,1.0712916649286244e-05,0.0001225992649915631,POINT (-121.9802744 37.7849505)
123140,88910760.842,-122.0289875,37.9429383,0.00044078040591940545,0.003405894219260935,POINT (-122.0289875 37.9429383)
123582,4230146729.5900035,-122.0661933,37.906388,0.02097120500274177,0.08104542313387875,POINT (-122.0661933 37.906388)
123795,2667139583.6470003,-121.9101386,37.7667431,0.013222503746343983,0.057198370441529416,POINT (-121.9101386 37.7667431)
124255,3647473072.987999,-122.1164512,37.9967155,0.01808256555748968,0.07256184625790732,POINT (-122.1164512 37.9967155)
125055,59197590.144,-122.0512058,37.9477895,0.0002934755879492704,0.0023870471140133424,POINT (-122.0512058 37.9477895)
125524,701753.7100000001,-121.9693981,37.9459846,3.478985920488619e-06,4.3726572854786666e-05,POINT (-121.9693981 37.9459846)
125735,138966045.29,-122.0331666,37.8513189,0.0006889324674747978,0.005015681412955358,POINT (-122.0331666 37.8513189)
126253,2386620722.625,-122.3025457,37.5575801,0.011831814742466765,0.05249732673200733,POINT (-122.3025457 37.5575801)
126886,171518107.99,-122.0456715,38.2582288,0.0008503112620609535,0.0060116224662849355,POINT (-122.0456715 38.2582288)
128385,114425203.91399999,-122.5317175,37.930165,0.0005672697809689458,0.0042401575695602675,POINT (-122.5317175 37.930165)
128635,2382637236.917,-122.508694,37.9637131,0.011812066374207194,0.05242943582673853,POINT (-122.508694 37.9637131)
128924,5585985.180000001,-122.5420589,38.003911,2.7692855080563923e-05,0.00029061812926513487,POINT (-122.5420589 38.003911)
129240,1890521792.9999995,-122.5789883,38.1062794,0.009372374675758958,0.0437688845864516,POINT (-122.5789883 38.1062794)
130069,485910839.95500004,-122.5374951,38.0335384,0.0024089320038169,0.014522419502108759,POINT (-122.5374951 38.0335384)
130782,1134384871.166,-122.4573519,37.9954276,0.005623780735269371,0.02913540830104836,POINT (-122.4573519 37.9954276)
13332,2937869444.3440003,-122.3225112,37.9996348,0.014564663196588582,0.061596247499829046,POINT (-122.3225112 37.9996348)
13347,1220965.8649999998,-122.3062371,37.9076905,6.053011182131415e-06,7.272665511368549e-05,POINT (-122.3062371 37.9076905)
135123,1713561804.6180005,-122.463851,37.7772437,0.008495084966708751,0.04050683774288971,POINT (-122.463851 37.7772437)
138385,2993912141.564998,-122.4528664,37.7749944,0.014842498214486896,0.06249078710211763,POINT (-122.4528664 37.7749944)
138997,8177718.725000001,-122.408924,37.7155963,4.054152888766507e-05,0.00041000392930574893,POINT (-122.408924 37.7155963)
148240,2437291847.7459993,-122.2366431,38.1289644,0.01208301987093167,0.05335806148260477,POINT (-122.2366431 38.1289644)
14832,983454863.9850003,-121.9097531,37.3616886,0.004875536212327064,0.025955039832834877,POINT (-121.9097531 37.3616886)
148554,272669393.072,-122.2384961,38.1255831,0.0013517747978071463,0.008930279706838217,POINT (-122.2384961 38.1255831)
149582,200545301.70499998,-122.7181974,38.4628702,0.0009942153081767633,0.006873563971640881,POINT (-122.7181974 38.4628702)
15024,5665811090.016,-122.5351736,38.033371,0.028088596796038222,0.1003434670526299,POINT (-122.5351736 38.033371)
152997,1477365043.927,-123.0379096,38.3394831,0.00732412542178663,0.03600965975421871,POINT (-123.0379096 38.3394831)
153474,467924415.8639999,-122.7122962,38.4268627,0.00231976323237923,0.014072356855081795,POINT (-122.7122962 38.4268627)
153986,8520442.593,-122.7193283,38.4606748,4.224060292802518e-05,0.0004254527867251502,POINT (-122.7193283 38.4606748)
154813,15938538.330000004,-122.7174457,38.4531961,7.901625549402252e-05,0.0007463762469838088,POINT (-122.7174457 38.4531961)
154932,2051292876.2619998,-122.4768757,37.5925602,0.010169406921003807,0.04666101574052694,POINT (-122.4768757 37.5925602)
156155,1838022017.2560008,-122.4468182,37.7094004,0.009112103902638028,0.04281004598575773,POINT (-122.4468182 37.7094004)
156615,2131447066.515,-122.4881002,37.6762683,0.010566776105355329,0.0480792595491851,POINT (-122.4881002 37.6762683)
