last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
102441,16577415.998,-122.2742635,37.8630798,9.560435224020567e-05,0.0008848462168576482,POINT (-122.2742635 37.8630798)
102787,4049940367.5500007,-122.2994782,37.8690449,0.02335659100898424,0.0877478177101071,POINT (-122.2994782 37.8690449)
10333,663366.15,-122.0712153,37.988106,3.825728393163359e-06,4.772122422578325e-05,POINT (-122.0712153 37.988106)
104483,1665171.267,-122.2877003,37.8357248,9.603283187786573e-06,0.00011095062498451118,POINT (-122.2877003 37.8357248)
104635,262092326.265,-122.0633977,37.5593186,0.001511524298039997,0.009816801131267044,POINT (-122.0633977 37.5593186)
104947,2937969938.8220005,-121.9874383,37.5482344,0.016943696951090655,0.06909401346942878,POINT (-121.9874383 37.5482344)
105276,676257197.922,-121.9931924,37.5428688,0.0039000729283085807,0.0216327686190016,POINT (-121.9931924 37.5428688)
107229,132186594.67200002,-122.0805262,37.6409998,0.000762339182414187,0.0054729236936950105,POINT (-122.0805262 37.6409998)
107424,836699077.4399998,-122.0960643,37.6310389,0.00482536441917604,0.025737861784460827,POINT (-122.0960643 37.6310389)
108142,302856731.29800004,-122.0120331,37.5157534,0.0017466185092311463,0.011091156155911714,POINT (-122.0120331 37.5157534)
110619,668052213.396,-122.2339582,37.7900955,0.003852753597548963,0.021417330748186972,POINT (-122.2339582 37.7900955)
110712,15097498.640000002,-122.18781,37.7382258,8.706945510076632e-05,0.0008139953069818976,POINT (-122.18781 37.7382258)
111621,189697408.476,-122.2841483,37.8260357,0.0010940123515740755,0.0074588704053638,POINT (-122.2841483 37.8260357)
113738,355050680.20500004,-122.2563703,37.8230363,0.002047628550646174,0.01267701775204901,POINT (-122.2563703 37.8230363)
115838,546026359.0320001,-122.1323886,37.7090156,0.003149012871947616,0.01814041216985526,POINT (-122.1323886 37.7090156)
115889,1371759859.1400003,-122.1438018,37.7160425,0.007911137222955483,0.03828581993365717,POINT (-122.1438018 37.7160425)
116400,2204290332.3600006,-122.1887472,37.6992878,0.012712460699547531,0.0554920852398394,POINT (-122.1887472 37.6992878)
117905,83491987.58,-122.1132051,37.6951034,0.000481510350635842,0.003678056696983248,POINT (-122.1132051 37.6951034)
117952,694458.246,-122.1190342,37.6878666,4.005041001245881e-06,4.9774476305337106e-05,POINT (-122.1190342 37.6878666)
