last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100133,241480102.62,-122.2542987,38.1010844,5.454796596900203e-05,0.0005354662968778665,POINT (-122.2542987 38.1010844)
100154,119308343.17500006,-122.0459865,37.315569,2.695057428217652e-05,0.00028356062771070007,POINT (-122.0459865 37.315569)
100156,2627416924.2779994,-122.0459865,37.315569,0.0005935074874364665,0.004409440569839232,POINT (-122.0459865 37.315569)
100160,1712203591.2019994,-122.0437039,37.975354,0.00038676985064836693,0.0030391140074151274,POINT (-122.0437039 37.975354)
100235,4523675890.22,-122.110354,37.3708399,0.0010218536261880752,0.007036624084688897,POINT (-122.110354 37.3708399)
100267,1271242881.7919998,-121.8145659,37.251409,0.0002871611892738315,0.0023419335639684275,POINT (-121.8145659 37.251409)
100313,164234317.40499997,-121.9217213,38.0225107,3.709890736152204e-05,0.0003784801977687232,POINT (-121.9217213 38.0225107)
100329,5807646692.601999,-122.2613533,38.0216935,0.0013118899267926816,0.008706077396546276,POINT (-122.2613533 38.0216935)
100500,1056604020.1600001,-121.9555097,37.4160836,0.00023867639407581108,0.0019906570561726723,POINT (-121.9555097 37.4160836)
100572,14330645.120000001,-122.2935266,37.5415446,3.2371509446876557e-06,4.092023254123456e-05,POINT (-122.2935266 37.5415446)
100632,322520253.176,-121.8932915,37.706427,7.28541341654262e-05,0.0006940850720026661,POINT (-121.8932915 37.706427)
100639,39389609.34,-121.8269076,37.3509958,8.897723027688701e-06,0.0001034779843271509,POINT (-121.8269076 37.3509958)
100651,179071437.30000004,-121.8363753,37.3509377,4.04504659468025e-05,0.0004091739536491595,POINT (-121.8363753 37.3509377)
100677,60663249.37800001,-121.837517,37.3436085,1.3703227830110105e-05,0.00015344708913583825,POINT (-121.837517 37.3436085)
100777,841903998.117,-121.9961469,37.3937316,0.00019017778334606898,0.001629357900004674,POINT (-121.9961469 37.3937316)
100817,9236069.1,-121.8903702,37.7062146,2.0863366276887795e-06,2.7289493475675117e-05,POINT (-121.8903702 37.7062146)
100824,218178972.54900002,-122.5201127,37.9454194,4.928447122818554e-05,0.0004887985317004811,POINT (-122.5201127 37.9454194)
100865,748916378.3699999,-121.9813411,37.5178311,0.0001691728000680895,0.0014691963874110528,POINT (-121.9813411 37.5178311)
100869,776842660.4399999,-122.1225844,37.4291387,0.0001754810708840592,0.0015175566824252652,POINT (-122.1225844 37.4291387)
100872,279544636.998,-122.1314383,37.4230027,6.314636767311446e-05,0.0006106288629637023,POINT (-122.1314383 37.4230027)
101013,2240694.5579999997,-122.2692076,37.7712198,5.061507311393241e-07,7.337379313751776e-06,POINT (-122.2692076 37.7712198)
101027,369307779.494,-122.2468753,37.7636926,8.342297344318736e-05,0.000783474098339956,POINT (-122.2468753 37.7636926)
101035,34323321.53299999,-122.2538109,37.7667239,7.75329873812192e-06,9.123610679698357e-05,POINT (-122.2538109 37.7667239)
101059,8019982.118000002,-122.2427108,37.7616588,1.8116346104634966e-06,2.3952130291460154e-05,POINT (-122.2427108 37.7616588)
101066,683335905.7839999,-122.2584051,37.7687255,0.0001543588201664762,0.001354688610913956,POINT (-122.2584051 37.7687255)
101067,215305341.18499997,-122.2600169,37.7694244,4.8635346334870414e-05,0.00048300540613447555,POINT (-122.2600169 37.7694244)
