last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100084,791768731.2360001,-121.922388,37.4488089,0.00017043385875520827,0.0014788824177391884,POINT (-121.922388 37.4488089)
100160,7361734285.325003,-122.0437039,37.975354,0.0015846657387186896,0.010216945018006036,POINT (-122.0437039 37.975354)
100257,99795342.15000002,-121.9615401,37.3299542,2.1481658188079058e-05,0.00023089154503043907,POINT (-121.9615401 37.3299542)
100269,2532414531.408,-121.8174451,37.2477274,0.0005451202649564847,0.004096308475820792,POINT (-121.8174451 37.2477274)
100286,759091628.412,-121.7513165,37.2329247,0.00016339987963034306,0.0014247342227923041,POINT (-121.7513165 37.2329247)
100329,83002225.01,-122.2613533,38.0216935,1.7866820115059313e-05,0.0001953301756470161,POINT (-122.2613533 38.0216935)
100418,31414717.797000002,-121.8740945,37.9042026,6.762241756491817e-06,8.049878146942159e-05,POINT (-121.8740945 37.9042026)
100476,246269084.90399998,-122.3925533,37.7838975,5.301117457212653e-05,0.0005218954285096149,POINT (-122.3925533 37.7838975)
100533,24722331.486000005,-122.2631892,37.8377285,5.321657936663897e-06,6.462475404416258e-05,POINT (-122.2631892 37.8377285)
100538,5260801917.419998,-122.0907848,38.0164219,0.0011324250826791446,0.007681685347042539,POINT (-122.0907848 38.0164219)
100587,13018314.905999998,-122.5523106,38.0865272,2.802285006199224e-06,3.582742509639965e-05,POINT (-122.5523106 38.0865272)
100669,4323963.7,-121.8619416,37.3216297,9.307639837683707e-07,1.2925761534408398e-05,POINT (-121.8619416 37.3216297)
100677,518914680.44,-121.837517,37.3436085,0.00011170008092395073,0.0010164364587152116,POINT (-121.837517 37.3436085)
100703,796968108.1570002,-121.846912,37.3113269,0.00017155306166990975,0.0014874710544720534,POINT (-121.846912 37.3113269)
100797,107890808.33400002,-122.2268319,38.0676505,2.3224264943978042e-05,0.00024781017436144895,POINT (-122.2268319 38.0676505)
100817,6869983.0200000005,-121.8903702,37.7062146,1.4788127763691131e-06,1.985198342422343e-05,POINT (-121.8903702 37.7062146)
100865,2435268831.072,-121.9813411,37.5178311,0.000524208961040889,0.003959675382735627,POINT (-121.9813411 37.5178311)
100979,264620589.48799998,-122.2490728,37.7745333,5.6961466642050093e-05,0.0005566921341957967,POINT (-122.2490728 37.7745333)
100989,598162486.482,-122.2433789,37.7720532,0.00012875873561537542,0.0011533654094403093,POINT (-122.2433789 37.7720532)
101004,2711878096.9200006,-122.2692076,37.7712198,0.0005837510756585324,0.004346631469702269,POINT (-122.2692076 37.7712198)
101005,1278478328.534,-122.2649534,37.7710924,0.0002752015661527948,0.002256104299947142,POINT (-122.2649534 37.7710924)
101038,125579262.85000001,-122.2581798,37.7686279,2.7031830764204e-05,0.00028433418941595766,POINT (-122.2581798 37.7686279)
101039,970419905.15,-122.2541137,37.7668558,0.0002088897963795437,0.0017700702478089141,POINT (-122.2541137 37.7668558)
101059,38289648.76,-122.2427108,37.7616588,8.242119612833302e-06,9.648433754756753e-05,POINT (-122.2427108 37.7616588)
101082,46500287.67999999,-122.2264944,37.7635561,1.0009518120471752e-05,0.00011522931341249401,POINT (-122.2264944 37.7635561)
101181,247491800.638,-122.2820141,37.7756882,5.327437284263794e-05,0.0005242227669664347,POINT (-122.2820141 37.7756882)
101259,819273274.8180001,-122.2369614,37.7347544,0.00017635440766178517,0.001524233774470932,POINT (-122.2369614 37.7347544)
101306,56385771.74100001,-122.2670627,37.7646771,1.2137438973760856e-05,0.00013738629042398478,POINT (-122.2670627 37.7646771)
101322,42901338.168,-122.2512946,37.7591942,9.234818604569167e-06,0.00010705490790104476,POINT (-122.2512946 37.7591942)
101357,693530465.304,-122.2395928,37.7680744,0.00014928737231329736,0.00131516762389472,POINT (-122.2395928 37.7680744)
101371,4095659920.3829994,-122.2481811,37.7578468,0.0008816199691167917,0.006201093989483046,POINT (-122.2481811 37.7578468)
101450,1694206287.5500004,-122.2517829,37.7696463,0.00036468997034490834,0.00288705464271653,POINT (-122.2517829 37.7696463)
101459,68277670.34400001,-122.2437633,37.7661524,1.4697254847862157e-05,0.00016354884481119015,POINT (-122.2437633 37.7661524)
101471,1383163594.92,-122.2598418,37.7719255,0.0002977358153610587,0.0024174075937130387,POINT (-122.2598418 37.7719255)
101486,1384934870.1599998,-122.246503,37.7673459,0.00029811709497234046,0.0024201217951424223,POINT (-122.246503 37.7673459)
101497,331228797.25600004,-122.2607063,37.7582297,7.129935777971507e-05,0.0006808107045414297,POINT (-122.2607063 37.7582297)
101526,15062588.850000001,-122.2768662,37.771738,3.2423295329447473e-06,4.0980511399229574e-05,POINT (-122.2768662 37.771738)
101633,145210496.292,-122.2874232,37.7761886,3.1257593585654786e-05,0.0003242427769163305,POINT (-122.2874232 37.7761886)
101648,1427695814.2480001,-122.2489111,37.7373262,0.0003073216927512357,0.0024854996857423123,POINT (-122.2489111 37.7373262)
101676,128699533.38599999,-122.2765308,37.7796674,2.7703491221141328e-05,0.0002907191103164906,POINT (-122.2765308 37.7796674)
101701,193652697.645,-122.3025824,37.8876151,4.168512245548037e-05,0.00042040972790941987,POINT (-122.3025824 37.8876151)
101740,608130962.7119999,-122.2987306,37.8895597,0.00013090452112415177,0.001170422866769258,POINT (-122.2987306 37.8895597)
101829,3905594.02,-122.3011499,37.8827718,8.407069303188474e-07,1.1760668345164998e-05,POINT (-122.3011499 37.8827718)
101959,285329989.62000006,-122.2675259,37.8588702,6.141931252274369e-05,0.000595631363611717,POINT (-122.2675259 37.8588702)
101981,7953129.104,-122.2691989,37.8490398,1.7119676856360318e-06,2.273127950461592e-05,POINT (-122.2691989 37.8490398)
10202,879264.3159999999,-122.0663082,37.9075842,1.8926790656117937e-07,2.929886561456369e-06,POINT (-122.0663082 37.9075842)
10203,989343593.6159999,-122.0664512,37.9076686,0.0002129632551054358,0.001800474609911765,POINT (-122.0664512 37.9076686)
102059,24919601.452,-122.2809577,37.8530049,5.36412170189671e-06,6.509778962508341e-05,POINT (-122.2809577 37.8530049)
102109,3096678491.3739996,-122.2553518,37.8567459,0.0006665821012977264,0.004874946372885262,POINT (-122.2553518 37.8567459)
