last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100160,484623150.305,-122.0437039,37.975354,0.0027250383388625586,0.01609209473146107,POINT (-122.0437039 37.975354)
100533,24722331.486000005,-122.2631892,37.8377285,0.00013901379057731719,0.001234572774212704,POINT (-122.2631892 37.8377285)
100979,393914218.81799996,-122.2490728,37.7745333,0.0022149815745008787,0.013539099668705482,POINT (-122.2490728 37.7745333)
100989,257459647.29600003,-122.2433789,37.7720532,0.0014476968530085378,0.009464725504284703,POINT (-122.2433789 37.7720532)
101486,4876116.336,-122.246503,37.7673459,2.7418425950125175e-05,0.00028801124258499,POINT (-122.246503 37.7673459)
102807,326369157.2800001,-122.270732,37.8836,0.0018351753638895213,0.011562733858251245,POINT (-122.270732 37.8836)
104982,245824504.312,-122.0049447,37.5571507,0.0013822723872363326,0.00910091799550519,POINT (-122.0049447 37.5571507)
105015,1493385.2639999997,-122.0259742,37.5675904,8.397312626380317e-06,9.814442121658725e-05,POINT (-122.0259742 37.5675904)
105018,7729654.016,-122.0118246,37.5606516,4.3463882248477935e-05,0.00043653298968217026,POINT (-122.0118246 37.5606516)
106144,2241362595.7249994,-122.0529681,37.5521644,0.012603192812392786,0.05512390899050073,POINT (-122.0529681 37.5521644)
106421,1353711852.999,-122.1296143,37.6439987,0.007611928354791373,0.037131281413963615,POINT (-122.1296143 37.6439987)
10854,1609501804.89,-121.9568111,37.7626762,0.00905023650239039,0.04258104045352067,POINT (-121.9568111 37.7626762)
108834,27483979.44,-122.2524014,37.8345407,0.00015454255049800002,0.0013561172310500094,POINT (-122.2524014 37.8345407)
110915,14868407.4,-122.2257789,37.784126,8.360512735994599e-05,0.0007850024600262602,POINT (-122.2257789 37.784126)
114586,747142384.9949999,-122.3383033,37.9508256,0.004201185276475594,0.02299051834970532,POINT (-122.3383033 37.9508256)
115548,346718734.12200004,-122.3307415,37.9702826,0.0019496011337669604,0.01216576544718876,POINT (-122.3307415 37.9702826)
117546,2699246737.603002,-122.269172,37.5613037,0.015177877576398512,0.06356368141600521,POINT (-122.269172 37.5613037)
119754,781857926.2799999,-122.3474376,37.9497642,0.00439639093451412,0.02385908749903214,POINT (-122.3474376 37.9497642)
12048,531190346.1719999,-121.8885154,37.330911,0.0029868859084453015,0.01736433272437725,POINT (-121.8885154 37.330911)
120741,566930302.27,-122.4474142,37.7219808,0.0031878518559759145,0.018325073074731465,POINT (-122.4474142 37.7219808)
120777,16952784.92,-122.3967374,37.7929668,9.532559232553527e-05,0.000882544565509758,POINT (-122.3967374 37.7929668)
121270,4650822999.0720005,-121.9277623,37.7148092,0.026151600417270014,0.09529237551751339,POINT (-121.9277623 37.7148092)
123379,113777631.91800001,-122.069638,37.8967558,0.0006397721794479109,0.004705139502233971,POINT (-122.069638 37.8967558)
124600,1505430287.3219998,-121.998112,37.9666344,0.00846504185129309,0.04039357405989854,POINT (-121.998112 37.9666344)
125369,2050155055.3600001,-122.0526107,37.9264016,0.011528031879931533,0.05144930257245161,POINT (-122.0526107 37.9264016)
126301,682113477.0879999,-122.3901308,37.662373,0.003835527410008811,0.021338758556950586,POINT (-122.3901308 37.662373)
126858,258561007.46399996,-122.0497084,38.2691114,0.0014538898066072403,0.009499007500050853,POINT (-122.0497084 38.2691114)
126873,138321467.086,-122.034209,38.2660101,0.000777782284358149,0.005568193084200848,POINT (-122.034209 38.2660101)
127542,271785763.184,-122.0249098,38.2858414,0.00152825267255042,0.009908625242554614,POINT (-122.0249098 38.2858414)
128392,4358610.256,-122.5337141,37.9504837,2.4508486737136808e-05,0.0002601941313918549,POINT (-122.5337141 37.9504837)
131107,3761253836.4239993,-122.5499714,38.1113543,0.021149548675086338,0.08155555110847049,POINT (-122.5499714 38.1113543)
132052,281713613.918,-122.6269817,38.2227675,0.0015840770256702167,0.010213737963900809,POINT (-122.6269817 38.2227675)
132207,121430606.18400002,-122.6264643,38.2607551,0.0006828048910879834,0.0049771706511216735,POINT (-122.6264643 38.2607551)
13256,22588263.0,-121.6411244,37.9255722,0.000127013913067445,0.0011394689856802343,POINT (-121.6411244 37.9255722)
137459,192848364.202,-122.4502687,37.7868224,0.0010843872929030354,0.0074028302798267095,POINT (-122.4502687 37.7868224)
13761,1627460217.334,-121.9550575,37.5189361,0.009151216743190293,0.04295460737735849,POINT (-121.9550575 37.5189361)
139696,3141907221.2040005,-122.4598808,37.7663504,0.017666959635629465,0.07130489269590641,POINT (-122.4598808 37.7663504)
14054,1608236351.1000006,-122.045024,37.92815,0.009043120849554496,0.04255467441512413,POINT (-122.045024 37.92815)
143342,8356310.916000004,-122.4036842,37.788901,4.698757705492299e-05,0.0004682606810903986,POINT (-122.4036842 37.788901)
147228,2057679651.7199993,-122.1535462,38.0495881,0.01157034272197975,0.05159574635276232,POINT (-122.1535462 38.0495881)
