last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100049,12770289805.856998,-121.801007,37.2349802,0.0029493686616857274,0.01718350594569124,POINT (-121.801007 37.2349802)
100080,102955294.884,-121.9225254,37.4487905,2.3778091562668707e-05,0.00025315929942070235,POINT (-121.9225254 37.4487905)
100095,25283691.339000005,-122.2733273,37.7938597,5.8394075640147226e-06,7.037000689531839e-05,POINT (-122.2733273 37.7938597)
100153,196285173.88799998,-122.0458777,37.3157752,4.5333140392263036e-05,0.00045339814414069383,POINT (-122.0458777 37.3157752)
100154,4204189231.327999,-122.0459865,37.315569,0.0009709806241819489,0.006735890713080457,POINT (-122.0459865 37.315569)
100155,192741230.89500004,-122.0504774,37.3155604,4.451464726788924e-05,0.0004460230671702779,POINT (-122.0504774 37.3155604)
100159,24281385.430000003,-122.0436021,37.9753294,5.607919502085916e-06,6.780720958895193e-05,POINT (-122.0436021 37.9753294)
100252,91737926.67199999,-121.9646105,37.3296499,2.1187378683475574e-05,0.00022802079191991008,POINT (-121.9646105 37.3296499)
100256,2901412830.1319995,-121.9636374,37.3299569,0.000670097249623846,0.004897129472751985,POINT (-121.9636374 37.3299569)
100257,716109297.66,-121.9615401,37.3299542,0.00016538938058332042,0.0014400797347348983,POINT (-121.9615401 37.3299542)
100286,1215362065.6709998,-121.7513165,37.2329247,0.00028069455302789215,0.002295588398100052,POINT (-121.7513165 37.2329247)
100418,252963756.001,-121.8740945,37.9042026,5.842337063873669e-05,0.0005694990148403517,POINT (-121.8740945 37.9042026)
100462,3399845233.183999,-122.9700577,38.3885813,0.0007852129542694873,0.005613923672542555,POINT (-122.9700577 38.3885813)
100477,2435453850.535,-122.3887838,37.786927,0.0005624814607148,0.004209134483230201,POINT (-122.3887838 37.786927)
100607,5081776.147,-121.8289975,37.3493902,1.1736641487015974e-06,1.6026829886379308e-05,POINT (-121.8289975 37.3493902)
100609,66745938.168,-121.8319248,37.352797,1.5415341493442445e-05,0.0001708042550984915,POINT (-121.8319248 37.352797)
100677,49716354.047999986,-121.837517,37.3436085,1.1482265385644725e-05,0.0001306074027734586,POINT (-121.837517 37.3436085)
100744,17917531.884,-121.8594779,37.3288776,4.138152527218863e-06,5.129348112591388e-05,POINT (-121.8594779 37.3288776)
100752,847624651.2039999,-121.8432867,37.3034042,0.00019576357476137977,0.0016715474228763978,POINT (-121.8432867 37.3034042)
100776,1020833.1000000001,-121.9964949,37.3937365,2.357670185817244e-07,3.5979041333301594e-06,POINT (-121.9964949 37.3937365)
100797,6787938.101999999,-122.2268319,38.0676505,1.5677116353553079e-06,2.0953866849321352e-05,POINT (-122.2268319 38.0676505)
100840,158685783.19299996,-122.296118,38.24578,3.664935433100622e-05,0.0003743407105384889,POINT (-122.296118 38.24578)
100858,155525268.886,-121.9820649,37.4056957,3.591941617035463e-05,0.00036760765880394656,POINT (-121.9820649 37.4056957)
100879,750629944.2459999,-122.2417241,37.8078237,0.00017336211376085413,0.0015013380968912297,POINT (-122.2417241 37.8078237)
100915,1593175429.2060003,-122.2703976,37.7787872,0.0003679526271449836,0.002909606136468219,POINT (-122.2703976 37.7787872)
100923,1584753568.86,-122.2665586,37.7778756,0.0003660075521815168,0.002896165271415711,POINT (-122.2665586 37.7778756)
100979,2199384789.024,-122.2490728,37.7745333,0.0005079600126819784,0.003852931468848918,POINT (-122.2490728 37.7745333)
100982,3256009506.0030003,-122.2581508,37.7755565,0.0007519933020432826,0.0054089247450152455,POINT (-122.2581508 37.7755565)
101004,11106538.464000002,-122.2692076,37.7712198,2.5651161393772642e-06,3.302204006782619e-05,POINT (-122.2692076 37.7712198)
101012,723313677.9060001,-122.2728167,37.7713279,0.0001670532718220827,0.0014528953487532186,POINT (-122.2728167 37.7713279)
101058,89020600.94200002,-122.2431889,37.7619339,2.0559797362025965e-05,0.00022188488942818336,POINT (-122.2431889 37.7619339)
101071,1039859926.8750001,-122.2386962,37.7591863,0.00024016136888775324,0.002001552758149165,POINT (-122.2386962 37.7591863)
101149,10613313.570000002,-122.2353433,37.7551804,2.4512031375862105e-06,3.166692561673659e-05,POINT (-122.2353433 37.7551804)
101181,801582050.016,-122.2820141,37.7756882,0.0001851297828027902,0.001591089300540223,POINT (-122.2820141 37.7756882)
101243,1549622462.2340007,-122.2414054,37.7360333,0.00035789382990048137,0.002839985667616128,POINT (-122.2414054 37.7360333)
101262,11629406.600000001,-122.2490454,37.7374719,2.6858754109331177e-06,3.4453077162414564e-05,POINT (-122.2490454 37.7374719)
101293,345668205.744,-122.244508,37.7553715,7.983397314091498e-05,0.0007532783566162624,POINT (-122.244508 37.7553715)
101323,1154928.3200000003,-122.2486972,37.7577105,2.667370471059371e-07,4.037599350518109e-06,POINT (-122.2486972 37.7577105)
101497,423144622.368,-122.2607063,37.7582297,9.772757764672109e-05,0.0009023506588624733,POINT (-122.2607063 37.7582297)
101583,15651448.239000002,-122.2768662,37.771738,3.614788046934617e-06,4.5295019695205264e-05,POINT (-122.2768662 37.771738)
101648,9037142.689,-122.2489111,37.7373262,2.087177804366999e-06,2.7299654805220463e-05,POINT (-122.2489111 37.7373262)
101653,3417145.578,-122.2712216,37.7789828,7.892085640490922e-07,1.1090144372789721e-05,POINT (-122.2712216 37.7789828)
101721,3077366217.9,-122.3074566,37.8939415,0.0007107346521957411,0.00515226574412547,POINT (-122.3074566 37.8939415)
101724,1577176949.1240003,-122.3057233,37.8887639,0.0003642576901853844,0.0028840645367042214,POINT (-122.3057233 37.8887639)
101725,2650976168.7870007,-122.3058176,37.8890454,0.000612257525393831,0.004529700098297155,POINT (-122.3058176 37.8890454)
101842,179789804.271,-122.294949,37.862091,4.1523444061879894e-05,0.00041894050653975624,POINT (-122.294949 37.862091)
101894,631651510.162,-122.2986031,37.8708756,0.00014588339007966974,0.001288544650418863,POINT (-122.2986031 37.8708756)
101959,1026297555.86,-122.2675259,37.8588702,0.0002370290647147148,0.001978559298556637,POINT (-122.2675259 37.8588702)
102273,40238708.022,-122.255345,37.897739,9.29335091302139e-06,0.00010767472800545448,POINT (-122.255345 37.897739)
102294,1045829840.4580002,-122.248569,37.8540421,0.0002415401532616675,0.002011661087501773,POINT (-122.248569 37.8540421)
102302,13683421.364000002,-122.2499185,37.8523703,3.1602614168640814e-06,4.0024255156792344e-05,POINT (-122.2499185 37.8523703)
102400,1946298073.014,-122.258641,37.8678561,0.0004495082437529367,0.0034645202233359635,POINT (-122.258641 37.8678561)
102425,963381681.559,-122.286073,37.8615493,0.00022249829753503647,0.001871342202774443,POINT (-122.286073 37.8615493)
102441,169631022.25800002,-122.2742635,37.8630798,3.917721748710812e-05,0.00039754749091682915,POINT (-122.2742635 37.8630798)
102448,300827222.528,-122.2840033,37.8618191,6.947770146133341e-05,0.0006652145791281915,POINT (-122.2840033 37.8618191)
10245,950364926.9380001,-122.009731,38.2878339,0.0002194920064688445,0.0018490434070496363,POINT (-122.009731 38.2878339)
10283,5338766106.072001,-122.3667714,37.968279,0.0012330173930819423,0.008259109243532388,POINT (-122.3667714 37.968279)
102830,1211912683.9680002,-122.2751786,37.8852905,0.00027989789935348977,0.002289868692473196,POINT (-122.2751786 37.8852905)
102866,893555268.5409999,-122.2729766,37.871217,0.00020637150343371863,0.0017512340312698055,POINT (-122.2729766 37.871217)
102867,16378071.813000001,-122.2726713,37.868459,3.7826057574625935e-06,4.722620142877185e-05,POINT (-122.2726713 37.868459)
102900,7036154.950000001,-122.272483,37.866759,1.625038681485291e-06,2.1661731398406007e-05,POINT (-122.272483 37.866759)
102909,8116211.994000001,-122.2717284,37.8599654,1.8744837956396714e-06,2.4719150056802767e-05,POINT (-122.2717284 37.8599654)
102929,5688625.896000001,-122.2732447,37.8736126,1.3138194356420365e-06,1.779249438513858e-05,POINT (-122.2732447 37.8736126)
10295,58200081.05999999,-121.972912,37.7781578,1.3441628795863772e-05,0.00015077682075229198,POINT (-121.972912 37.7781578)
102961,105473835.89599998,-122.2713254,37.8563487,2.4359762460266986e-05,0.00025876347354096687,POINT (-122.2713254 37.8563487)
103016,1818614623.767,-122.2610676,37.8794656,0.0004200190489460715,0.003265736516659753,POINT (-122.2610676 37.8794656)
103024,3122308792.785,-122.2665859,37.8764549,0.0007211143870299879,0.00521705547366066,POINT (-122.2665859 37.8764549)
103029,8949764.408,-122.2698035,37.8807375,2.0669973098276217e-06,2.7055782654501288e-05,POINT (-122.2698035 37.8807375)
10303,4992608.432,-121.9110613,37.6784704,1.1530703745388132e-06,1.5766026108597565e-05,POINT (-121.9110613 37.6784704)
103097,12863287.844,-122.2814428,37.8660887,2.970847070043494e-06,3.780897078337511e-05,POINT (-122.2814428 37.8660887)
10310,53041470.92800001,-121.9146552,37.6775671,1.2250219415773031e-05,0.00013854957377820636,POINT (-121.9146552 37.6775671)
10311,91622795.36999996,-121.9110613,37.6784704,2.116078847610673e-05,0.00022776119883392826,POINT (-121.9110613 37.6784704)
103129,37798598.646000005,-122.2823006,37.8728164,8.72979423309709e-06,0.00010169135433048219,POINT (-122.2823006 37.8728164)
103210,4153686.304000001,-122.2873882,37.8545527,9.593166953714788e-07,1.329329421560871e-05,POINT (-122.2873882 37.8545527)
103228,16140608.783999998,-122.2920629,37.86907,3.7277623649719737e-06,4.6595920204203875e-05,POINT (-122.2920629 37.86907)
103343,79172027.55,-122.2672455,37.8606636,1.828521517428622e-05,0.00019948105077700098,POINT (-122.2672455 37.8606636)
10337,36662776.848000005,-122.0712153,37.988106,8.46746994232459e-06,9.889394220422235e-05,POINT (-122.0712153 37.988106)
103395,363742825.4460001,-122.2668946,37.8584277,8.400840596361543e-05,0.0007883847567762437,POINT (-122.2668946 37.8584277)
103427,419541995.4000001,-122.2661148,37.8522823,9.689553113558479e-05,0.0008954965959571494,POINT (-122.2661148 37.8522823)
10345,446046747.92000014,-121.9565092,37.7703425,0.0001030169494946553,0.0009457591604016475,POINT (-121.9565092 37.7703425)
103484,235244046.92600003,-122.2668442,37.8840929,5.433090637719554e-05,0.0005335521737114573,POINT (-122.2668442 37.8840929)
103563,160637358.53199998,-122.2596706,37.8559848,3.710008138836129e-05,0.0003784910010547685,POINT (-122.2596706 37.8559848)
103651,19193283.34,-122.2383536,37.8549433,4.432794342058541e-06,5.464075255588709e-05,POINT (-122.2383536 37.8549433)
10366,702209274.456,-122.1283858,38.0218222,0.0001621790937802927,0.0014153060264953294,POINT (-122.1283858 38.0218222)
103824,2007598948.088,-122.3057749,37.8784708,0.00046366601797934826,0.0035592608073728143,POINT (-122.3057749 37.8784708)
103856,1501937.7000000004,-122.266115,37.8713181,3.468807718171486e-07,5.159603361512057e-06,POINT (-122.266115 37.8713181)
104036,494997909.8299999,-122.3162705,37.9353146,0.00011432248954780592,0.0010376466184910669,POINT (-122.3162705 37.9353146)
104037,3974451681.6349998,-122.3147925,37.9352038,0.0009179214736240475,0.006419390851099917,POINT (-122.3147925 37.9352038)
104055,562077641.9610001,-122.304803,37.9020314,0.00012981492259272443,0.001161765771357704,POINT (-122.304803 37.9020314)
104075,920009561.0749998,-122.2893751,37.9009001,0.00021248126778151448,0.0017968811421426982,POINT (-122.2893751 37.9009001)
104227,1303758515.5829997,-122.3113248,37.9220851,0.0003011101992769812,0.0024414118086605423,POINT (-122.3113248 37.9220851)
104242,306944249.861,-122.3097311,37.9205016,7.089046256487161e-05,0.0006773140386700432,POINT (-122.3097311 37.9205016)
104259,5532629.294000001,-122.3097311,37.9205016,1.2777911624968771e-06,1.7340108600955787e-05,POINT (-122.3097311 37.9205016)
104263,338955556.72,-122.3097604,37.9205432,7.828364993218085e-05,0.0007401853584490612,POINT (-122.3097604 37.9205432)
10433,760061.9400000001,-122.0325254,37.9713115,1.7554048505210254e-07,2.730601782993979e-06,POINT (-122.0325254 37.9713115)
104404,2701777905.712,-122.3080515,37.9103504,0.0006239904659240511,0.0046046599369297956,POINT (-122.3080515 37.9103504)
104405,455958902.85200006,-122.3085745,37.9111171,0.00010530621618872875,0.0009644615245359223,POINT (-122.3085745 37.9111171)
104452,970530715.0989996,-122.2947671,37.842591,0.00022414940614766515,0.0018835717824269027,POINT (-122.2947671 37.842591)
104519,644833411.1070001,-122.2809106,37.8344519,0.00014892782259762227,0.001312359237649959,POINT (-122.2809106 37.8344519)
104523,3456777.1250000005,-122.2812023,37.8353542,7.983616877849619e-07,1.1209560222439764e-05,POINT (-122.2812023 37.8353542)
104557,615596732.94,-122.2793753,37.8310872,0.00014217545098597784,0.0012594539379247587,POINT (-122.2793753 37.8310872)
104610,176303382.12800005,-122.0578461,37.5833772,4.071823569415318e-05,0.00041161390635083143,POINT (-122.0578461 37.5833772)
104611,73203396.72299999,-122.0605869,37.5848331,1.690672705992476e-05,0.0001857677180796462,POINT (-122.0605869 37.5848331)
10469,901164712.102,-121.8600096,37.3506843,0.00020812894627275167,0.0017643824921966737,POINT (-121.8600096 37.3506843)
104761,3443368628.2380004,-121.9316337,37.5142837,0.0007952649217168951,0.005675674737496606,POINT (-121.9316337 37.5142837)
104791,4099098.962,-121.958661,37.5299127,9.467094485300105e-07,1.3131119074007944e-05,POINT (-121.958661 37.5299127)
104802,1357111.3140000002,-121.9827169,37.5456267,3.1343232148850425e-07,4.693862894425451e-06,POINT (-121.9827169 37.5456267)
104878,25161907.135,-121.9947593,37.5518242,5.811280832340926e-06,7.00591138765688e-05,POINT (-121.9947593 37.5518242)
104882,70165539.411,-121.9946811,37.5519349,1.6205117206828375e-05,0.0001787454162462318,POINT (-121.9946811 37.5519349)
104931,2733859268.6670003,-121.9565247,37.5212844,0.0006313998331320096,0.004651883255390223,POINT (-121.9565247 37.5212844)
104943,431431082.824,-121.9875249,37.5480927,9.964138126095193e-05,0.0009180890114791997,POINT (-121.9875249 37.5480927)
104983,4952036697.024,-122.0062433,37.5578237,0.0011437001092192626,0.0077468373215331034,POINT (-122.0062433 37.5578237)
104995,47587043.55,-121.9737029,37.5411686,1.0990489415852773e-05,0.00012549468641743784,POINT (-121.9737029 37.5411686)
104998,63440075.695999995,-121.965882,37.5366186,1.4651834374732589e-05,0.00016308876282403352,POINT (-121.965882 37.5366186)
105098,233806084.56200004,-121.9691641,37.5224635,5.3998801061064026e-05,0.0005306218491359862,POINT (-121.9691641 37.5224635)
105099,3365712185.282,-121.9679786,37.519788,0.0007773297391396473,0.0055654056975964206,POINT (-121.9679786 37.519788)
105127,151783365.29999998,-121.9663744,37.5709337,3.505520295833056e-05,0.000359616832230108,POINT (-121.9663744 37.5709337)
105160,450293141.43500006,-121.9528563,37.5579479,0.00010399767743025642,0.0009537774664963566,POINT (-121.9528563 37.5579479)
105161,2697523954.1400003,-121.9468507,37.5541284,0.0006230079924136199,0.004598391595659787,POINT (-121.9468507 37.5541284)
105192,4025090450.411,-121.9570902,37.5608093,0.0009296167757640025,0.006489411268969944,POINT (-121.9570902 37.5608093)
10523,35739021.296000004,-122.3291944,37.9629906,8.25412351733763e-06,9.661284564926736e-05,POINT (-122.3291944 37.9629906)
105272,2709088.8749999995,-121.990484,37.5461847,6.256789744882563e-07,8.937466523531135e-06,POINT (-121.990484 37.5461847)
105276,576470979.237,-121.9931924,37.5428688,0.0001331391429936927,0.0011881491280830965,POINT (-121.9931924 37.5428688)
105298,5624065.545,-121.9967598,37.5385013,1.2989088675248195e-06,1.7605392577919556e-05,POINT (-121.9967598 37.5385013)
105302,700467131.4229999,-121.9804427,37.5591313,0.00016177673626579465,0.0014121965871770315,POINT (-121.9804427 37.5591313)
105303,141466249.46899998,-121.9790818,37.5623633,3.267240831752475e-05,0.00033747263960178225,POINT (-121.9790818 37.5623633)
105315,1154063291.6780002,-121.9729221,37.5673492,0.00026653726405769277,0.0021936007493881015,POINT (-121.9729221 37.5673492)
10534,22476282.090000004,-121.9473606,37.2710942,5.1910209584319994e-06,6.316735466397987e-05,POINT (-121.9473606 37.2710942)
105406,2104656.84,-121.9827379,37.577784,4.860820718924898e-07,7.0661208105150925e-06,POINT (-121.9827379 37.577784)
105407,4046747735.969001,-121.9874499,37.5789009,0.0009346186449692457,0.006519312706439246,POINT (-121.9874499 37.5789009)
105446,1350716344.3849998,-121.9559161,37.4924399,0.00031195536808637674,0.0025183066367577786,POINT (-121.9559161 37.4924399)
105510,4181827.5100000007,-122.0375446,37.5766683,9.658160616615353e-07,1.3376834890716278e-05,POINT (-122.0375446 37.5766683)
105514,10017616.432,-121.9406516,37.5362023,2.3136236074907166e-06,3.002318929025694e-05,POINT (-121.9406516 37.5362023)
105522,408295174.96,-121.9907084,37.5586463,9.429801610236063e-05,0.0008740530645043219,POINT (-121.9907084 37.5586463)
105523,7163028.180000002,-121.9869126,37.5565695,1.6543407517012091e-06,2.2022762698924315e-05,POINT (-121.9869126 37.5565695)
105550,4323578.805,-122.061539,37.5623135,9.985543028120705e-07,1.3796982164864605e-05,POINT (-122.061539 37.5623135)
105563,5769284315.568001,-121.9912445,37.5589396,0.0013324479412273875,0.008821788012887124,POINT (-121.9912445 37.5589396)
105602,115440505.12599997,-121.9658541,37.5450517,2.6661619531268413e-05,0.00028080778872768944,POINT (-121.9658541 37.5450517)
105603,93482392.73800005,-121.9652313,37.5446491,2.159027271522065e-05,0.00023195007910623502,POINT (-121.9652313 37.5446491)
105615,1803526737.7199998,-121.9328769,37.5256655,0.0004165344186867255,0.0032421129181433787,POINT (-121.9328769 37.5256655)
105748,71300932.164,-121.9235946,37.506945,1.6467342407298566e-05,0.00018137347285882314,POINT (-121.9235946 37.506945)
10575,2647255757.608,-122.565182,38.0879355,0.0006113982759714023,0.004524201710027289,POINT (-122.565182 38.0879355)
105768,1004519649.496,-121.9237872,37.5069609,0.00023199933747096435,0.0019415504971939889,POINT (-121.9237872 37.5069609)
105776,1070922639.4019998,-121.9764963,37.536569,0.000247335473177232,0.0020540629689896474,POINT (-121.9764963 37.536569)
105819,818735732.19,-121.9623996,37.5574988,0.00018909152003864437,0.001621134438586169,POINT (-121.9623996 37.5574988)
