last_link,Charging Opportunity,endX,endY,Probability,Entropy
105646,521202178.06800014,-121.9318972,37.5190831,0.008432087916137613,0.040269213839902104
105777,402010414.65000015,-121.9775809,37.5352272,0.006503785483201644,0.032748972094109326
106455,725473227.27,-122.1200048,37.6462156,0.011736815943134103,0.052170436951454596
107468,228948687.39600003,-122.0686624,37.6329296,0.0037039666019114555,0.020736105051999566
107557,257360261.041,-122.062512,37.6364336,0.004163613351083717,0.02282231359027706
107972,1204262.8199999998,-122.0339174,37.5329957,1.9482746618627858e-05,0.00021130950496911537
111222,1793663975.4280002,-122.2596806,37.8102595,0.02901816793797925,0.10271947324083991
116046,3169419.92,-122.1640063,37.7356153,5.12753563457118e-05,0.0005065133681946286
117220,1412821377.95,-122.0772832,37.5910908,0.022856838612671376,0.08636467723563143
122959,118569894.36,-121.961151,37.7688193,0.0019182417409626187,0.012001184565675818
123785,585723376.238,-122.069638,37.8967558,0.00947592164960485,0.044148330914817985
125840,30313592.54,-122.0018219,37.9678265,0.0004904178994392168,0.0037371083097440484
12770,2100426356.7150002,-122.2075036,37.7296435,0.033981016285935,0.11492220863063729
129060,1516289.892,-122.4994824,37.9679178,2.4530767931723247e-05,0.000260408388176269
132191,315196925.5799999,-122.5604902,37.9699227,0.005099303685258374,0.026917445929762376
135875,187829398.972,-122.4630251,37.7568139,0.003038732514967652,0.017613450208335876
139661,693968691.0310001,-122.3810756,37.7387849,0.011227130775836642,0.05040332834247242
140817,837537385.1520001,-122.4260675,37.7755433,0.013549806892273359,0.05828290879275797
14534,707942307.8399999,-122.47912,37.6638346,0.01145319806871839,0.05118991163792456
147296,107519950.814,-122.3908372,37.7112363,0.0017394740777237417,0.011052918289341438
148601,1614364599.68,-122.2373211,38.1223034,0.026117435432946475,0.09520202627168856
148712,797887732.3120002,-122.1467333,38.0634919,0.012908348792787835,0.05614978094490016
15074,108550480.50000001,-122.3408404,37.9498375,0.0017561461433408738,0.01114210376098431
150825,54936722.147,-123.021428,38.4677919,0.000888774626163384,0.006244234444570589
153729,341462326.27,-122.6611477,38.4788241,0.005524229322736747,0.028718322253782045
157703,348567339.468,-122.4424942,37.6643962,0.0056391753042614795,0.029199748111099662
160038,471406762.947,-122.2787944,37.4741883,0.007626490135105201,0.037187738642545355
160673,27305668.18,-122.2231211,37.4714496,0.00044175524276608436,0.0034124508342045453
161135,180233868.64,-122.1867865,37.4465997,0.0029158508728254003,0.017021552414607864
163496,419341302.3999999,-121.7819058,37.970528,0.006784167214748523,0.033874457691191434
168846,435114409.67800003,-122.0870906,37.3736219,0.00703934693746529,0.03488869200428776
168879,284479324.59800005,-122.0489771,37.3375215,0.004602349675946338,0.02476611025992335
17022,497635896.53899986,-122.4707495,37.6853013,0.008050829037969505,0.03882093826918777
172728,203559771.84000003,-121.5809652,37.0313912,0.0032932208739155622,0.018823685639831937
176442,441302071.81200004,-121.851823,37.37882,0.0071394518742916215,0.035284022712903707
177626,2910991156.7850003,-122.0486579,37.4012488,0.04709445660433872,0.14390182061413795
177829,1253603015.008,-122.0314634,37.3899761,0.020280979779603924,0.07905671512855214
178002,114351231.73400001,-121.8766272,37.2320526,0.001849991576922984,0.011641209254059157
179124,900640489.213,-122.0142407,37.3455626,0.014570698484084994,0.061615735140498666
20711,530121655.8720001,-122.413139,37.765454,0.008576388581357692,0.04081282368384471
22122,800056.968,-122.5384914,37.975176,1.2943443016875385e-05,0.0001456774315842727
22123,280806880.08,-122.5524743,37.9849817,0.00454293631133282,0.024505423966556614
25307,30133945.275,-121.8543702,37.2802911,0.0004875115387290818,0.0037178588384430547
28795,2112588805.686,-122.0129396,37.3952811,0.03417778223073431,0.11539032732636655
34492,369580952.96000004,-122.3716612,37.9169252,0.00597913673162367,0.030610065418196254
34923,2573502230.985,-121.8908156,37.394288,0.04163450955726946,0.13234885727038584
36251,529936315.497,-122.1617617,37.7246263,0.008573390116650188,0.04080155270329703
36930,1141778604.8900003,-121.793546,37.2300525,0.01847186750616638,0.07373057699473654
39945,1187466905.6910002,-122.4887244,37.9455433,0.019211019768578277,0.0759271605057835
41769,167264708.58,-121.9768847,37.2371688,0.002706033833630079,0.015998806025605664
44114,965504991.6409996,-122.0686009,37.3140033,0.015620086245925957,0.06496702543015424
44900,177652650.96699998,-121.9554828,37.3598933,0.0028740915416765873,0.016819237275447926
45894,1580852611.6499999,-122.2734561,37.8112718,0.025575273405993765,0.09376225859690507
46641,1019821651.1000003,-121.9308571,37.3424146,0.016498829403843934,0.06771888178398776
48504,123147932.06999998,-122.7108365,38.4443117,0.0019923059296373573,0.012389079816526944
50559,189178945.02400002,-122.6383064,38.2562691,0.003060565675756661,0.0177180906722858
52773,1760217142.5,-122.05028755604114,37.58132990061224,0.028477060000152352,0.10134007262289478
53881,70105510.344,-121.5648886,37.0231254,0.0011341775830974725,0.007691819391838312
5402,866111634.6400001,-121.8659016,38.0121703,0.014012085435915651,0.059801269715882725
54213,1115435462.664,-122.269615,37.8250873,0.018045684154323265,0.07245069206957311
5475,540671553.806,-121.946667,37.3933149,0.008747066430816255,0.04145267058130556
54927,1727004264.8500009,-121.9192217,37.4497003,0.027939737026309797,0.09996014628133658
55962,2191602029.1900005,-122.0838418,38.2283675,0.035456070148856246,0.11840415671683849
56041,771985378.32,-122.1365499,37.4920375,0.012489296579872931,0.05473912909763505
60573,117579417.004,-122.159072,38.060575,0.001902217648017163,0.011916889268423363
60981,569663681.804,-122.1087878,37.6327256,0.009216105476395908,0.04319406830833157
61080,761797389.8879999,-121.8952013,37.421354,0.012324473757248405,0.05418046031763929
61221,534928014.2879999,-121.9132621,37.2652335,0.008654146577056035,0.04110474451982705
62064,1969745205.5839999,-122.2921499,37.8466453,0.031866836795351794,0.10981915545740197
65579,1568485626.2280004,-121.9128982,37.3770377,0.02537519843945691,0.09322804823062668
67715,268482157.24,-122.0490621,37.8813588,0.004343545075259837,0.023624821504538335
68088,368882118.878,-121.9924933,37.5617426,0.005967830887814535,0.030563480535381292
