last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100049,868837464.0399996,-121.801007,37.2349802,6.751475025415365e-05,0.000648355250279521,POINT (-121.801007 37.2349802)
100081,282494727.7379999,-121.9220987,37.4326509,2.1951816974674256e-05,0.00023546969120607963,POINT (-121.9220987 37.4326509)
100083,117513908.33300002,-121.9225254,37.4487905,9.131652928040335e-06,0.00010596154401063886,POINT (-121.9225254 37.4487905)
100090,269574130.572,-121.7658976,37.2398894,2.0947796168825523e-05,0.00022568060257032048,POINT (-121.7658976 37.2398894)
100108,232591828.47899997,-122.1330652,37.7709628,1.8074012529222234e-05,0.00019738693107220298,POINT (-122.1330652 37.7709628)
100109,3538118251.647,-122.1286448,37.7695187,0.0002749365445394889,0.0022541965449326697,POINT (-122.1286448 37.7695187)
100143,622246943.8,-122.306301,38.3065473,4.835294142557057e-05,0.0004804823812100061,POINT (-122.306301 38.3065473)
100153,516487373.44399995,-122.0458777,37.3157752,4.0134682804021066e-05,0.00040629421793318395,POINT (-122.0458777 37.3157752)
100155,15698301.401999999,-122.0504774,37.3155604,1.2198678607183837e-06,1.6610657669541942e-05,POINT (-122.0504774 37.3155604)
100156,3893553253.050001,-122.0459865,37.315569,0.00030255633114459736,0.0024516874964065536,POINT (-122.0459865 37.315569)
100160,1106783117.2520003,-122.0437039,37.975354,8.600479242610364e-05,0.0008051001106306696,POINT (-122.0437039 37.975354)
100161,6739511.687999997,-122.0460411,37.971134,5.237072148506262e-07,7.57402816660745e-06,POINT (-122.0460411 37.971134)
100175,379530566.24999994,-122.0313125,37.968419,2.949218059156642e-05,0.00030764430187325977,POINT (-122.0313125 37.968419)
100217,1276190724.8430002,-121.9350601,37.343056,9.916894888924329e-05,0.0009142073618760701,POINT (-121.9350601 37.343056)
100219,123401397.39200002,-121.9378954,37.3465735,9.58915202297364e-06,0.0001108014826697221,POINT (-121.9378954 37.3465735)
100235,345456181.074,-122.110354,37.3708399,2.6844362443250982e-05,0.0002825491214890634,POINT (-122.110354 37.3708399)
100253,50792998.617,-121.9660383,37.327939,3.9469713936373825e-06,4.911043631281179e-05,POINT (-121.9660383 37.327939)
