last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
1,120356758.55999999,-122.3543825,37.5874468,9.330861747672231e-06,0.00010807175002869042,POINT (-122.3543825 37.5874468)
100007,64142633.34800002,-121.7936619,37.2365289,4.97276639104112e-06,6.072510712528852e-05,POINT (-121.7936619 37.2365289)
100049,582883189.3600001,-121.801007,37.2349802,4.5189007414561394e-05,0.0004521005057736932,POINT (-121.801007 37.2349802)
100080,3755197.6800000016,-121.9225254,37.4487905,2.911280663128846e-07,4.381332583969407e-06,POINT (-121.9225254 37.4487905)
100083,1142741159.5740004,-121.9225254,37.4487905,8.859294568027165e-05,0.0008267013803613272,POINT (-121.9225254 37.4487905)
100084,117046733.55999999,-121.922388,37.4488089,9.074246448075724e-06,0.00010535263843111501,POINT (-121.922388 37.4488089)
100102,254817720.06599998,-121.772553,37.2419147,1.975517573952924e-05,0.00021398994110669877,POINT (-121.772553 37.2419147)
100108,87867996.282,-122.1330652,37.7709628,6.812115374007791e-06,8.10424277140278e-05,POINT (-122.1330652 37.7709628)
100109,2287061447.699,-122.1286448,37.7695187,0.00017730831597854952,0.0015315219347307406,POINT (-122.1286448 37.7695187)
100138,12741733.576000001,-122.2518806,38.1010518,9.87824496486916e-07,1.3659400840034138e-05,POINT (-122.2518806 38.1010518)
100143,127577959.81399998,-122.306301,38.3065473,9.890697616960794e-06,0.00011397956730475314,POINT (-122.306301 38.3065473)
100144,15706682.16,-122.3062644,38.3063268,1.217687161926421e-06,1.6583142348443627e-05,POINT (-122.3062644 38.3063268)
100155,33851378.878000006,-122.0504774,37.3155604,2.6243855356176517e-06,3.3725096123675995e-05,POINT (-122.0504774 37.3155604)
100156,350260689.59800017,-122.0459865,37.315569,2.715455375656369e-05,0.0002855020495055708,POINT (-122.0459865 37.315569)
100160,379811442.95299995,-122.0437039,37.975354,2.944552600767833e-05,0.0003072042475905616,POINT (-122.0437039 37.975354)
100174,86828512.70099999,-122.0319011,37.9685942,6.731527647158607e-06,8.01638001691118e-05,POINT (-122.0319011 37.9685942)
100175,406774903.68000007,-122.0313125,37.968419,3.153591401158095e-05,0.00032685030791860186,POINT (-122.0313125 37.968419)
100199,1991946273.4859996,-122.1899048,37.7311503,0.000154429011790169,0.0013552344212138133,POINT (-122.1899048 37.7311503)
100215,57351842.406,-121.938305,37.3443777,4.446298810863153e-06,5.479369010729307e-05,POINT (-121.938305 37.3443777)
100218,266629764.02400002,-121.9369317,37.3448704,2.0670924472281798e-05,0.0002229727655286585,POINT (-121.9369317 37.3448704)
100223,96814150.02,-121.7725908,37.243253,7.505681108923168e-06,8.856591380739805e-05,POINT (-121.7725908 37.243253)
100235,19628978.735999998,-122.110354,37.3708399,1.5217698534337632e-06,2.0385075828574938e-05,POINT (-122.110354 37.3708399)
100257,2707535.293000001,-121.9615401,37.3299542,2.099062636630569e-07,3.2276456549657845e-06,POINT (-121.9615401 37.3299542)
100286,1482361664.3209996,-121.7513165,37.2329247,0.00011492260106800072,0.001042491839201141,POINT (-121.7513165 37.2329247)
100303,70702596.01099999,-121.8236877,37.3237727,5.481338617567395e-06,6.640181967929879e-05,POINT (-121.8236877 37.3237727)
