last_link,Charging Opportunity,endX,endY,Probability,Entropy
100653,322132571.336,-121.8327214,37.3470418,0.004807628719462441,0.025660964951005807
104675,312034663.44,-121.9194994,37.5310191,0.0046569237106334534,0.025004887088222374
105777,3125086.8180000004,-121.9775809,37.5352272,4.6639981404920586e-05,0.00046514297916798523
107081,2242140847.2000003,-122.0386178,37.622543,0.033462560725767615,0.1136832963590562
107764,1215250759.2,-122.0304883,37.5454139,0.018136863425662314,0.07272535381640328
109076,543114111.9450002,-122.293566,37.8050678,0.00810564107722167,0.03903024263333678
111052,255182333.14199996,-122.2264815,37.7763839,0.003808437962124842,0.02121504137200846
112430,1325196069.353,-122.268529,37.8294098,0.01977772895028024,0.07759196198676555
113549,132361177.549,-122.2666431,37.820977,0.001975408434754964,0.012300829011805384
11630,1072305169.8840004,-121.9364157,37.4099656,0.016003489213716297,0.06617360379360136
118471,340830611.14,-122.0931081,37.6907289,0.005086685359983275,0.026863440891123514
1215,402718827.92800003,-122.0174156,37.9263946,0.00601032858920508,0.03073847840353047
122345,514470251.4640001,-122.0639282,37.945224,0.007678149235233752,0.037387801337287765
122426,992843085.6499996,-122.0638511,37.9478899,0.014817566918782464,0.06241073019243797
128981,170581790.27399996,-122.5392662,37.9969284,0.002545827360882433,0.015206989528745222
130532,155376960.23900002,-122.5040082,37.922557,0.002318904708361944,0.014068007164420752
131372,560190161.377,-122.5757836,38.1086766,0.008360490518008622,0.039998577933128686
140977,176179126.26600003,-122.4693228,37.7620301,0.002629364126990918,0.015621087088170154
144629,361199508.93299997,-122.4186367,37.7733087,0.005390678519095646,0.028155966814842247
147383,1543833603.759,-122.2234552,38.1317886,0.02304075847009358,0.08687496147696948
150375,54936722.147,-123.021428,38.4677919,0.0008198964856352892,0.005826457011927533
151437,1172388080.292,-122.7049261,38.3358688,0.017497164542508215,0.07078856619616558
151990,1462111761.738,-122.6942107,38.3310602,0.021821110692540124,0.08346307307347435
156459,2373813.2440000004,-122.4702461,37.6935035,3.542768953528453e-05,0.00036306355943155935
157253,348567339.468,-122.4424942,37.6643962,0.005202151229051122,0.027356464445186933
159349,232100704.98,-122.2768318,37.5198445,0.0034639589857103793,0.019624516237117227
160894,210825542.788,-122.1777479,37.4413103,0.003146440392848826,0.018128164404396817
16139,389264076.23899996,-122.3919485,37.9303091,0.005809524769942102,0.029908923697424417
162189,557756629.235,-121.7722961,37.9805122,0.0083241715609808,0.039861059347918226
163444,731306729.8250002,-121.7906183,37.9890584,0.010914299111267534,0.049307327228392546
164049,345146276.244,-122.0721204,37.5869645,0.005151093983462492,0.027138776441267227
165075,1251334201.6339998,-122.2600064,38.2799589,0.018675386411473094,0.07433828803048582
1656,905353959.192,-122.2537352,38.1750648,0.013511846000044824,0.058157532124125534
167173,311798552.086,-122.1128195,37.4224359,0.004653399895200032,0.02498948879483202
168433,259212703.952,-122.0459741,37.3375284,0.0038685887453128874,0.021489490169498585
172278,247417657.088,-121.5809652,37.0313912,0.0036925549905901323,0.02068361286071702
175624,1725220405.848,-122.0490838,37.404858,0.025747843926984385,0.09422177300594914
1769,790687440.0000004,-122.0951355,37.61027,0.011800519360388622,0.05238972423014058
177555,30532189.345,-121.876599,37.2296809,0.00045567397843163354,0.003505833908575788
1808,233591635.67399997,-121.9731208,37.9691286,0.0034862102010825933,0.019728254477524968
18909,816811330.032,-122.1345064,37.7769223,0.01219040220725827,0.05372439886914575
20416,3312579.7210000013,-122.4038463,37.7897065,4.943819662860869e-05,0.0004901692001843016
22154,337396201.93200004,-122.5502168,37.97591,0.005035428933865642,0.02664374640894327
24090,860006075.9289998,-122.4202674,37.7797052,0.012835056984150406,0.05590405364361711
25658,1722871.32,-122.1608437,37.7129316,2.5712785278489174e-05,0.00027174614224814865
26531,94301726.95,-122.0696738,37.9092833,0.0014073947533447047,0.009240975028090782
2777,1530560638.1779997,-122.0419029,37.3933936,0.02284266769568041,0.08632529887920799
32161,2526342052.4420004,-121.88974,37.3917981,0.03770408734557076,0.12359349959741212
3398,1758679668.1999998,-121.9211913,37.4545352,0.026247202653574372,0.09554495846764896
34396,1681183404.296,-122.395417,37.7841241,0.02509061900712498,0.09246548590124988
35695,632983203.708,-122.0678991,37.9045387,0.009446881501187202,0.04404202843102517
35775,762451242.4060003,-121.900614,37.4198597,0.011379111634003394,0.05093262963209799
37266,2015809654.1599998,-122.0227064,37.3975357,0.03008470812534136,0.10540894326143337
38852,122352160.17499998,-122.3157344,37.5631533,0.0018260300618035065,0.011514235305657724
40197,756171262.7629999,-122.2972566,37.8385132,0.011285386835035964,0.05060645743870725
42589,754086928.626,-122.1492238,38.0585015,0.011254279441528884,0.050498028696794664
46114,327735243.99,-122.644814,38.2345728,0.00489124513193947,0.02602293246262017
48484,128995215.22600001,-122.0142304,37.9269574,0.0019251735359194647,0.012037607970884148
48504,94275072.38100001,-122.7108365,38.4443117,0.0014069969504435643,0.009238760794960216
50477,461781749.925,-122.71074,38.4419398,0.006891806046981216,0.03430342774420639
51801,804686220.5039998,-122.1384602,37.7792298,0.012009442472104266,0.05310649998899032
51909,1768610191.3200006,-122.3735436,37.9677598,0.026395409548496538,0.09593583605262909
52966,718556980.968,-122.2094826,37.753375,0.010724017021764351,0.04863630700905411
54664,337458802.563,-122.0691526,37.9714255,0.005036363209434871,0.026647755538446602
54779,2105656511.9540007,-122.2049442,37.7327901,0.03142561672111745,0.10873677887894126
56485,19929308.126000002,-121.9039354,37.2400998,0.00029743255613117267,0.0024152484445726006
60573,117579417.004,-122.159072,38.060575,0.001754799831825972,0.01113490770308448
61939,323553219.561,-122.0198473,38.2562568,0.004828831012600439,0.025752884301386093
62099,1101620444.6400006,-121.9378954,37.3465735,0.01644100149709504,0.06753925556139477
63040,895593642.5760001,-122.422192,37.6982253,0.013366179331568808,0.05767543396515315
63818,1247469.741,-122.1495569,37.7446519,1.8617711734701985e-05,0.0002027728932071543
6382,739969971.174,-122.3380824,37.9251355,0.011043592612202103,0.049761377770040756
63939,1699507975.06,-122.4164231,37.7777453,0.02536410185398972,0.09319837372286754
6443,2295201.96,-122.1300819,37.6924506,3.4254464905856984e-05,0.00035219391394831546
68088,364860395.44200003,-121.9924933,37.5617426,0.0054453149783843385,0.028386425223483277
68247,373024584.50400007,-121.9947901,37.5140008,0.005567160433635284,0.028898406923614634
68467,214868771.864,-122.2462112,37.7894322,0.00320678307767739,0.018414910138016986
7291,1584007071.0600004,-122.1299357,37.6924401,0.023640322538873264,0.08852831395090681
