last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
10,79420765.68,-121.5563563,37.0015403,6.137995665942254e-06,7.366216153262311e-05,POINT (-121.5563563 37.0015403)
100049,521309811.533,-121.801007,37.2349802,4.0289177980167855e-05,0.0004077034221134716,POINT (-121.801007 37.2349802)
100078,35326417.646,-122.3960668,37.6621448,2.730185192095392e-06,3.497678776638816e-05,POINT (-122.3960668 37.6621448)
100080,24338058.464999996,-121.9225254,37.4487905,1.8809551393337709e-06,2.4798006311632507e-05,POINT (-121.9225254 37.4487905)
100084,4112767537.6480002,-121.922388,37.4488089,0.00031785326047880806,0.002559964962625109,POINT (-121.922388 37.4488089)
100109,2088558598.042,-122.1286448,37.7695187,0.00016141324643608278,0.0014093866589937189,POINT (-122.1286448 37.7695187)
100154,169831585.00300002,-122.0459865,37.315569,1.3125352340326588e-05,0.0001475416250216598,POINT (-122.0459865 37.315569)
100155,42176200.975999996,-122.0504774,37.3155604,3.2595674012972754e-06,4.118110097373484e-05,POINT (-122.0504774 37.3155604)
100156,373750694.67600006,-122.0459865,37.315569,2.88851426251346e-05,0.0003019128022176482,POINT (-122.0459865 37.315569)
100161,3579667.8299999996,-122.0460411,37.971134,2.7665290604955687e-07,4.1775978062655e-06,POINT (-122.0460411 37.971134)
100175,285530464.173,-122.0313125,37.968419,2.2067084553803233e-05,0.0002365905577285107,POINT (-122.0313125 37.968419)
100279,2170570162.1800003,-122.0049849,37.3017915,0.00016775147071440848,0.0014582680667014917,POINT (-122.0049849 37.3017915)
100286,1650141860.997,-121.7513165,37.2329247,0.0001275304198375423,0.0011435851228625367,POINT (-121.7513165 37.2329247)
100312,408773348.30200005,-121.9418004,38.0202285,3.159185156108633e-05,0.0003273740790051872,POINT (-121.9418004 38.0202285)
100313,1684886271.5719998,-121.9217213,38.0225107,0.0001302156248931613,0.0011649504967505063,POINT (-121.9217213 38.0225107)
10032,4416355326.457999,-121.6023516,37.8900983,0.0003413158966797333,0.0027246231341597872,POINT (-121.6023516 37.8900983)
100325,6358486831.236,-121.824389,37.3208259,0.000491412595659547,0.003743692441985649,POINT (-121.824389 37.3208259)
100343,1203057792.7550004,-122.176037,37.794607,9.297774271732817e-05,0.000863126371270928,POINT (-122.176037 37.794607)
100418,3128724481.392,-121.8740945,37.9042026,0.00024180196630297108,0.0020135796359433177,POINT (-121.8740945 37.9042026)
10046,17283682.009999994,-122.1781653,37.7188929,1.3357610488968037e-06,1.8067516442704887e-05,POINT (-122.1781653 37.7188929)
100462,20008834.916,-122.9700577,38.3885813,1.5463731801554454e-06,2.0689851899090256e-05,POINT (-122.9700577 38.3885813)
10047,147039541.884,-122.1778517,37.7189827,1.1363880253214482e-05,0.00012937857932970702,POINT (-122.1778517 37.7189827)
100473,46021140.77600001,-121.7466581,37.2314464,3.556721723924916e-06,4.462501838071348e-05,POINT (-121.7466581 37.2314464)
100477,596840097.6159999,-122.3887838,37.786927,4.612649980218069e-05,0.00046053264482127574,POINT (-122.3887838 37.786927)
100501,573183785.37,-121.9538526,37.414966,4.429823309139161e-05,0.00044407055097675133,POINT (-121.9538526 37.414966)
100533,49258166.21999999,-122.2631892,37.8377285,3.806893678019034e-06,4.750507275338663e-05,POINT (-122.2631892 37.8377285)
100538,1656461409.643,-122.0907848,38.0164219,0.0001280188231142892,0.0011474753737534763,POINT (-122.0907848 38.0164219)
100553,310413145.394,-122.2636437,37.8337412,2.3990130600814355e-05,0.00025520384352566275,POINT (-122.2636437 37.8337412)
100572,6131015.541,-122.2935266,37.5415446,4.738325864309724e-07,6.9001452340415866e-06,POINT (-122.2935266 37.5415446)
100587,1770609531.6239986,-122.5523106,38.0865272,0.00013684070580448915,0.0012174297549176778,POINT (-122.5523106 38.0865272)
10059,2016551110.7580004,-122.1242758,37.6753554,0.0001558481824244186,0.001366263073167189,POINT (-122.1242758 37.6753554)
100592,1485664363.56,-121.9038479,37.3993911,0.00011481885557888186,0.0010416544364049048,POINT (-121.9038479 37.3993911)
100604,1157793691.775,-121.8215711,37.343396,8.947952844982233e-05,0.0008340834862978261,POINT (-121.8215711 37.343396)
100609,1116150159.9059997,-121.8319248,37.352797,8.626112812419034e-05,0.0008072429793450824,POINT (-121.8319248 37.352797)
100615,923913003.604,-121.8549678,37.320115,7.140417198542729e-05,0.000681706644692274,POINT (-121.8549678 37.320115)
100632,5959986281.976,-121.8932915,37.706427,0.00046061467243013835,0.0035388789061399284,POINT (-121.8932915 37.706427)
100633,4735756835.354001,-121.899895,37.7059673,0.0003660006886294635,0.002896117824600311,POINT (-121.899895 37.7059673)
100650,134608671.23200005,-121.8327214,37.3470418,1.040316639541446e-05,0.00011935969282762163,POINT (-121.8327214 37.3470418)
100655,226688917.67000002,-121.735241,37.2020372,1.7519543941213746e-05,0.00019187743533807572,POINT (-121.735241 37.2020372)
100671,33451794.799999997,-121.8652439,37.3252873,2.5853058673305604e-06,3.326168369216329e-05,POINT (-121.8652439 37.3252873)
100675,4035923453.65,-121.7468139,37.2303841,0.0003119144024170077,0.0025180168982087392,POINT (-121.7468139 37.2303841)
100676,571350908.6880001,-121.8376258,37.3437215,4.4156580098827287e-05,0.00044279196750475925,POINT (-121.8376258 37.3437215)
100677,360553259.40500003,-121.837517,37.3436085,2.7865185189552348e-05,0.0002922537541545344,POINT (-121.837517 37.3436085)
100687,288880576.398,-121.8353616,37.3452544,2.2325996365360454e-05,0.0002391060360911403,POINT (-121.8353616 37.3452544)
100697,1315432876.568,-121.8494189,37.3138638,0.00010166259700572981,0.000934670779338249,POINT (-121.8494189 37.3138638)
100766,941393445.3000003,-121.8594779,37.3288776,7.275513951199479e-05,0.0006932408722288549,POINT (-121.8594779 37.3288776)
100769,7813333.215999999,-121.8536031,37.3326836,6.038496985738283e-07,8.647091762611182e-06,POINT (-121.8536031 37.3326836)
100777,1214769243.572,-121.9961469,37.3937316,9.388285655929584e-05,0.0008706191740742321,POINT (-121.9961469 37.3937316)
100797,104250119.922,-122.2268319,38.0676505,8.056920363037178e-06,9.449945105934518e-05,POINT (-122.2268319 38.0676505)
100818,30308714.35,-121.8932387,37.7047325,2.342394406900432e-06,3.03675902459506e-05,POINT (-121.8932387 37.7047325)
100856,729781170.802,-121.9820649,37.4056957,5.64007866848979e-05,0.0005517704444100988,POINT (-121.9820649 37.4056957)
100865,3123478407.1610003,-121.9813411,37.5178311,0.0002413965259799348,0.002010608475871231,POINT (-121.9813411 37.5178311)
100868,1023900589.8599998,-122.1268478,37.4261839,7.913166448480903e-05,0.0007473508905713841,POINT (-122.1268478 37.4261839)
100869,3034551404.4959993,-122.1225844,37.4291387,0.000234523845362094,0.0019601393447560176,POINT (-122.1225844 37.4291387)
100871,86215252.78100002,-122.1265439,37.4199332,6.663104332689103e-06,7.941704124820085e-05,POINT (-122.1265439 37.4199332)
100872,105248804.19300006,-122.1314383,37.4230027,8.134103196450565e-06,9.532717555173536e-05,POINT (-122.1314383 37.4230027)
100877,91749934.041,-121.9922735,37.9472021,7.09084951111171e-06,8.407411373427815e-05,POINT (-121.9922735 37.9472021)
100923,2531212331.708,-122.2665586,37.7778756,0.00019562352728004186,0.0016704916104242217,POINT (-122.2665586 37.7778756)
100937,4175853.7289999994,-122.2518074,37.7384831,3.2272884642643744e-07,4.823651648146498e-06,POINT (-122.2518074 37.7384831)
100982,23119325.267,-122.2581508,37.7755565,1.786765930463581e-06,2.3648031689403456e-05,POINT (-122.2581508 37.7755565)
100983,4424208253.84,-122.2627543,37.7767946,0.0003419228063943776,0.002728860464646999,POINT (-122.2627543 37.7767946)
