last_link,Charging Opportunity,endX,endY,Probability,Entropy
101031,14991424.896000002,-122.2617493,37.7701756,0.00020607893054720198,0.0017490436721300684
107077,2198419872.08,-122.034088,37.6185949,0.030220477324530027,0.10574856790518969
107468,276654949.82,-122.0686624,37.6329296,0.003803024501340598,0.02119029510448093
107480,1285704522.5699997,-122.1246437,37.6530531,0.017673877890127837,0.07132589557083967
107697,1287226973.7450004,-122.0876649,37.615925,0.01769480619495083,0.07138941456066113
113549,142401809.041,-122.2666431,37.820977,0.0019575198967902133,0.012207244738395458
115537,170928526.947,-122.3308508,37.9474509,0.002349661108107542,0.014223636324065234
115823,634703309.2259998,-122.1337757,37.7106417,0.008724919751621726,0.04136983527033024
117983,237236931.225,-122.1336039,37.6709029,0.0032611665276856216,0.018672364386465277
119788,753918013.814,-122.1932836,37.762151,0.010363699187027548,0.04735636422544134
119796,740208231.45,-122.1499149,37.7205975,0.010175238296404546,0.046681939209558695
1215,1310765.526,-122.0174156,37.9263946,1.8018377817327702e-05,0.0001968348914104545
12185,308922049.9559999,-121.9472784,37.3576639,0.004246582704381096,0.023193308887623505
123187,209349125.293,-122.0556099,37.8870394,0.0028778080903360203,0.0168372676368818
123513,375191446.5360001,-122.069638,37.8967558,0.005157551906438647,0.027166338337151215
127064,1351200263.14,-122.0341902,38.2681635,0.018574212065544615,0.07403645839594099
128519,93691140.921,-122.5317175,37.930165,0.0012879209452530797,0.008570761040365284
128788,274632944.76,-122.4994824,37.9679178,0.003775229102089589,0.021063113866285163
135388,747825159.2499999,-122.4432589,37.8019265,0.01027994404292088,0.04705706540517707
139331,1456615790.7210002,-122.410318,37.8081288,0.020023301750992588,0.07830830177449878
143051,192087464.63400003,-122.4569704,37.7638101,0.0026405214686337315,0.01567619202203488
147025,64823805.35100001,-122.3935757,37.7111015,0.0008910974489355218,0.006258227968068749
147811,248637138.84500006,-122.2291584,38.1171365,0.003417878955666535,0.019409229222849583
151137,30747633.630000003,-122.4880822,38.3127014,0.00042267092683219627,0.0032836951935112627
151756,610046156.79,-122.6707402,38.2680139,0.008385971343475013,0.040094964655277295
157009,411660354.2099999,-122.4702821,37.6896757,0.005658870062906069,0.029281998804429908
162301,554249174.2199999,-121.7722961,37.9805122,0.00761896069735194,0.037158549863414804
162723,638582964.8879999,-121.862938,37.9979705,0.008778251259151052,0.041569216281415036
162830,814449111.537,-121.7844757,37.9879211,0.011195787128643582,0.0502939133361553
163181,1725858225.61,-121.9730736,38.0366921,0.023724430457887836,0.08875902404523889
165080,2725654314.864,-122.303611,38.2877595,0.03746808126280324,0.12305514068486212
170600,1004825089.096,-121.8830835,37.3572309,0.013812781719178123,0.05914855385270904
170867,507340340.487,-121.9025621,37.2634278,0.006974130579069291,0.03463037740924002
174065,466458092.4809999,-121.8392082,37.3726678,0.0064121446433834895,0.03237851863554018
176612,43482515.076,-122.0686995,37.3234384,0.000597730386973128,0.00443657654877575
177664,90707290.047,-121.8766272,37.2320526,0.0012469035769047032,0.008338158858238522
179954,1808520078.8849998,-122.3326762,37.9846419,0.02486073780946633,0.0918471385085952
1809,944035024.568,-121.9836228,37.9749296,0.01297713390232729,0.05638001993132502
19536,2920874.418,-122.3982588,37.7867729,4.015166540204778e-05,0.00040644915116250897
20568,850731633.4320002,-122.3950981,37.7771831,0.011694543141600837,0.05202472988627094
20996,446197767.9659999,-122.38322,37.9112626,0.006133637027359313,0.03124454699290696
21440,3001561.453,-122.4936394,37.9512773,4.126082600533782e-05,0.0004165526725162177
22245,602629649.9459997,-122.5783154,38.1091954,0.008284020674381819,0.03970884704163854
22347,401918256.2010001,-122.4036842,37.788901,0.005524950762178599,0.028721351250634772
23530,680373559.8870003,-122.3782667,37.74619,0.009352723744860077,0.04369674527518472
25307,30133945.275,-121.8543702,37.2802911,0.0004142348881790982,0.0032265075984658186
266,872054431.864,-121.8963139,37.4037318,0.011987656006296742,0.05303192557730138
29265,1818040003.0519996,-121.9071531,37.4443611,0.024991603007727056,0.09219940644250184
38852,102349673.10000001,-122.3157344,37.5631533,0.0014069450583000624,0.009238471946885898
4092,608263833.8100001,-122.0778986,37.3735845,0.008361470722876494,0.04000228720435453
41769,34740146.112,-121.9768847,37.2371688,0.000477553815429827,0.003651774610310762
45820,3577977566.193001,-121.9088519,37.3261424,0.04918450350637931,0.14815241420777994
4851,309156374.725,-122.0385487,38.2435553,0.00424980383900514,0.02320767921158193
48796,1018387333.6090002,-121.9413135,37.3464794,0.013999214487540554,0.05975920366613371
52178,45631602.14300001,-121.9671983,37.3351856,0.0006272727131691092,0.004625590007122019
52966,659811758.112,-122.2094826,37.753375,0.0090700718855931,0.04265450812120395
53526,656240649.295,-122.0592328,37.3970895,0.00902098180303054,0.042472605500559105
56946,148434672.47700003,-122.7257013,38.4702421,0.002040450375624145,0.012639742725141848
59249,1112414904.8700001,-121.9528894,37.5151483,0.015291760156937721,0.06392630337759546
59368,402291252.00299996,-121.9847981,38.3502446,0.00553007813175874,0.028742876035643256
61787,425330756.50799996,-121.91923,37.2801189,0.005846789617269013,0.03006338858098397
62766,405199771.3400001,-121.8238306,37.3239041,0.005570059958609954,0.028910557701340787
63312,3410937582.611,-122.193858,38.115875,0.04688829608020025,0.14347758514135106
64755,1701629503.644,-122.2449156,38.1288936,0.023391371449426872,0.08784367719083898
64874,763501929.026,-122.0363335,37.7020508,0.010495444035235474,0.0478257864984645
65321,2449466495.017,-122.1118973,38.2714586,0.03367147814208058,0.11418348912649624
66127,392409242.268,-122.1161713,37.6836026,0.005394235540946095,0.028170987243680973
67205,1576925390.954,-122.5126521,37.9024513,0.021677132118857974,0.08305587521198701
67380,2179754359.0499997,-122.1163176,38.2596597,0.029963892710991147,0.10510621017152211
67873,1985105452.560001,-122.2711889,37.8043196,0.02728816050008275,0.09827291659544453
67960,522015084.096,-121.9829904,37.5285347,0.00717585626491814,0.03542744050637568
68088,369074495.23200005,-121.9924933,37.5617426,0.005073465517607524,0.02680682784881573
6869,1111165211.2719998,-122.0515314,37.8926918,0.015274581301560453,0.06387165738605663
68846,720210959.0400001,-121.8884137,37.4171652,0.009900346714003102,0.045691936607739826
69309,2419719831.1200004,-121.89608,37.4121905,0.0332625669994929,0.11320324694855279
70082,682543753.32,-121.9451646,37.5258038,0.00938255620874231,0.0438062451699999
71194,516387090.8149999,-121.8953446,37.3398454,0.00709849131498701,0.03512243357751024
72116,530251884.96299994,-122.1199183,37.6530768,0.007289083067945684,0.03587232955421484
76261,515717951.621,-122.007868,37.5249001,0.007089293023934402,0.03508611393034922
78437,868879415.7,-122.034105,37.9484603,0.011944010793110785,0.052882410150358564
80771,297091004.15999997,-122.2385607,37.7831338,0.00408394777929501,0.022464535469596234
85023,85608500.37900001,-122.1246971,38.0071085,0.0011768133000193536,0.007937541086151146
87201,156997737.056,-121.9060092,37.4041627,0.0021581621477131203,0.013247874625247397
88289,557827999.3339999,-121.8761747,37.2946034,0.007668156851635138,0.037349130535662974
91958,3630067848.1759996,-122.0964714,37.630667,0.04990056016393044,0.14958805943915077
93872,319899606.056,-122.2527952,37.7885657,0.004397485172745763,0.023863931524133634
95674,290697156.096,-122.0679702,37.5416175,0.003996055041930066,0.022068004751736568
95692,3173273547.806999,-122.0462882,37.9115092,0.04362125839287477,0.136630970961127
98282,861345002.2080002,-121.9227301,37.3409985,0.011840439325721716,0.05252696596476303
