last_link,Charging Opportunity,endX,endY,Probability,Entropy
100477,1837564926.8899996,-122.3887838,37.786927,0.031880256634807126,0.10985198010124488
10055,122067094.35900001,-122.1508694,37.7534953,0.0021177647863666986,0.013039912385017454
101030,14991424.896000002,-122.2600169,37.7694244,0.00026008902652206896,0.0021469013779542127
10131,461248560.195,-121.8060329,38.0111881,0.008002287296775412,0.03863526606113325
102441,70524802.634,-122.2742635,37.8630798,0.001223547954246317,0.008205113170354592
104611,25098195.58,-122.0605869,37.5848331,0.0004354332760993537,0.003369891705678179
106076,434952148.554,-121.9296127,37.5322085,0.007546065946758432,0.0368755786805036
10748,194217881.40800002,-121.9490613,37.5025208,0.0033695222474858576,0.019182637290476614
107972,648483672.244,-122.0339174,37.5329957,0.011250664176318625,0.050485421661585435
109272,580164462.778,-122.169015,37.7520862,0.01006538146930187,0.04628719991119513
112038,1400394501.456,-122.1569362,37.7474514,0.024295705388734056,0.09031820792962421
113548,31637959.439999994,-122.2662854,37.8223288,0.0005488928590163481,0.004120872030943153
114999,171824716.66799998,-122.3308633,37.9437195,0.0029810190559360706,0.017336086723769035
115671,187433073.42900002,-122.3470528,37.9436217,0.003251811348445959,0.018628141462356446
118576,629675.912,-122.104303,37.6715986,1.0924364836071948e-05,0.0001248055694681313
121959,1328525919.12,-122.1261487,37.8376123,0.023048843949813807,0.08689736080340096
123395,681512801.2260001,-122.0648285,37.9077835,0.01182369269518159,0.05246940876592853
124606,1046124364.0319998,-121.998112,37.9666344,0.0181494067008066,0.07276310233939028
12664,201553.862,-122.332735,37.9436753,3.4967955429860843e-06,4.3932562768145106e-05
128650,3265620.968,-122.4995717,37.9680104,5.665586723406124e-05,0.0005540102479243367
128961,438917497.54300004,-122.5392662,37.9969284,0.007614861525932796,0.037142655800226465
130094,155374967.76100004,-122.6347778,38.2649462,0.0026956292941599474,0.01594767607743361
137229,1595358503.07,-122.4804436,37.7282723,0.02767817221483023,0.09928468107997668
146893,64823805.35100001,-122.3935757,37.7111015,0.001124640289109292,0.007636636000154998
150355,54936722.147,-123.021428,38.4677919,0.0009531074385957164,0.006629608445566893
150860,174171913.25,-122.4773122,38.299311,0.003021741007205106,0.017531905994395407
154063,652523240.034,-122.7593308,38.4525692,0.011320747391313842,0.05072960699642965
158202,777041786.052,-122.3662869,37.5842004,0.01348104286972472,0.05805571763739683
161397,939451575.44,-122.1395103,37.4754155,0.01629872059633294,0.06709643236295568
162881,576416148.1140001,-121.79544,37.9971305,0.010000351259110292,0.04605296820258382
164972,62295777.77999999,-122.3026073,38.2812385,0.0010807810672859024,0.00738181173713375
173692,1526887342.064,-121.8825798,37.3880391,0.026490253272206034,0.09618553783116211
175851,305009227.0680001,-121.7817568,37.3249701,0.005291661966670791,0.027736896602086874
176480,43482515.076,-122.0686995,37.3234384,0.0007543862638344385,0.005423740035092808
176806,1178336297.3379998,-121.9412041,37.4180803,0.020443176190145358,0.0795261251123116
181037,262147992.91799998,-121.9082618,37.6797793,0.004548054421494588,0.024527910990655443
