last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100049,680671734.382,-121.801007,37.2349802,5.252978072571167e-05,0.0005176353037584441,POINT (-121.801007 37.2349802)
100080,40179432.99999999,-121.9225254,37.4487905,3.100785148790861e-06,3.9329909848265464e-05,POINT (-121.9225254 37.4487905)
100083,26095797.572000004,-121.9225254,37.4487905,2.0139025246351842e-06,2.6413210001826122e-05,POINT (-121.9225254 37.4487905)
100093,59496506.605,-121.7728163,37.2431368,4.59155021141591e-06,5.643608830336917e-05,POINT (-121.7728163 37.2431368)
100108,240558056.01099995,-122.1330652,37.7709628,1.8564693222547688e-05,0.00020224839048180903,POINT (-122.1330652 37.7709628)
100109,1917711910.7730002,-122.1286448,37.7695187,0.00014799642923244498,0.001305080228692699,POINT (-122.1286448 37.7695187)
100117,165301849.035,-122.4035081,37.6428305,1.2756912686035092e-05,0.0001437632271698895,POINT (-122.4035081 37.6428305)
100153,128810043.32800005,-122.0458777,37.3157752,9.940714428861402e-06,0.0001145058137719008,POINT (-122.0458777 37.3157752)
100154,49302525.05,-122.0459865,37.315569,3.8048455654645357e-06,4.748156253889114e-05,POINT (-122.0459865 37.315569)
100156,15162547.334999999,-122.0459865,37.315569,1.1701459698101377e-06,1.5982300717441197e-05,POINT (-122.0459865 37.315569)
100160,220945481.41100004,-122.0437039,37.975354,1.7051123330975732e-05,0.00018720930412730212,POINT (-122.0437039 37.975354)
100163,34003992.40399999,-122.3229667,37.9663629,2.6242051411208425e-06,3.372295832294807e-05,POINT (-122.3229667 37.9663629)
100165,58418821.12,-122.3216155,37.9660898,4.508381512968735e-06,5.549624834839421e-05,POINT (-122.3216155 37.9660898)
100175,4194466950.655999,-122.0313125,37.968419,0.0003237014526234906,0.0026011641728295246,POINT (-122.0313125 37.968419)
100230,27329562.685000002,-121.7722024,37.2401629,2.10911642522673e-06,2.756455181587644e-05,POINT (-121.7722024 37.2401629)
100286,729652123.495,-121.7513165,37.2329247,5.630976595207333e-05,0.0005509709333299754,POINT (-121.7513165 37.2329247)
100313,1316922131.735,-121.9217213,38.0225107,0.000101631413967387,0.0009344152653823273,POINT (-121.9217213 38.0225107)
10032,208150045.75200003,-121.6023516,37.8900983,1.6063655517188113e-05,0.00017732591029693995,POINT (-121.6023516 37.8900983)
100325,6802041283.047999,-121.824389,37.3208259,0.0005249369395515754,0.003964445772143758,POINT (-121.824389 37.3208259)
100333,609192955.28,-121.8325724,37.3176455,4.7013517300760305e-05,0.0004684932445078371,POINT (-121.8325724 37.3176455)
100418,736300002.2969999,-121.8740945,37.9042026,5.682280564230995e-05,0.000555475473542624,POINT (-121.8740945 37.9042026)
100433,496377884.11200005,-122.3036746,38.3069744,3.8307189930796714e-05,0.00038957925477281616,POINT (-122.3036746 38.3069744)
10046,2786804.062,-122.1781653,37.7188929,2.1506726209998152e-07,3.30178035626243e-06,POINT (-122.1781653 37.7188929)
100462,18582251.608,-122.9700577,38.3885813,1.434056319739044e-06,1.929523286149355e-05,POINT (-122.9700577 38.3885813)
10047,1232230813.9210002,-122.1778517,37.7189827,9.509549345031109e-05,0.0008806440822299034,POINT (-122.1778517 37.7189827)
100477,32824922.138999995,-122.3887838,37.786927,2.5332122302180706e-06,3.2643029553548355e-05,POINT (-122.3887838 37.786927)
100504,2539086278.3469996,-121.9648456,37.5127173,0.00019595002805034695,0.001672952931412511,POINT (-121.9648456 37.5127173)
100505,119434613.562,-121.9638674,37.5105095,9.21718024205631e-06,0.00010686805616903078,POINT (-121.9638674 37.5105095)
100538,1870593827.686,-122.0907848,38.0164219,0.00014436016457247173,0.0012766056973702417,POINT (-122.0907848 38.0164219)
100551,145152147.795,-122.2629903,37.8374935,1.1201890882776573e-05,0.00012769514819105333,POINT (-122.2629903 37.8374935)
100553,52189410.440000005,-122.2636437,37.8337412,4.02763644814258e-06,5.003263247557207e-05,POINT (-122.2636437 37.8337412)
100572,99118173.105,-122.2935266,37.5415446,7.64929059947824e-06,9.011550962094125e-05,POINT (-122.2935266 37.5415446)
100592,1870381618.9680004,-121.9038479,37.3993911,0.00014434378769524655,0.0012764772493302967,POINT (-121.9038479 37.3993911)
