last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100049,486134622.62,-121.801007,37.2349802,3.7802729320108465e-05,0.00038495007880966437,POINT (-121.801007 37.2349802)
100095,148226815.269,-122.2733273,37.7938597,1.1526391898187748e-05,0.00013106511772454407,POINT (-122.2733273 37.7938597)
100109,2092900676.35,-122.1286448,37.7695187,0.00016274783584746883,0.0014196995919080917,POINT (-122.1286448 37.7695187)
100153,10320920.008000001,-122.0458777,37.3157752,8.025738699584328e-07,1.1264478951462291e-05,POINT (-122.0458777 37.3157752)
100154,30061257.963999994,-122.0459865,37.315569,2.3376191387284543e-06,3.0310452457942646e-05,POINT (-122.0459865 37.315569)
100155,17821373.538,-122.0504774,37.3155604,1.385823038767947e-06,1.869366678306096e-05,POINT (-122.0504774 37.3155604)
100156,20889225.902999997,-122.0459865,37.315569,1.6243849250271842e-06,2.1653670463525225e-05,POINT (-122.0459865 37.315569)
100160,835626.2199999996,-122.0437039,37.975354,6.497984372558819e-08,1.0753636962695885e-06,POINT (-122.0437039 37.975354)
100161,312470783.514,-122.0460411,37.971134,2.4298307300065125e-05,0.00025817203889137865,POINT (-122.0460411 37.971134)
100163,8171701.980000002,-122.3229667,37.9663629,6.354466924607511e-07,9.067149223606667e-06,POINT (-122.3229667 37.9663629)
100165,1115924936.0800009,-122.3216155,37.9660898,8.677639143008878e-05,0.0008115480819517754,POINT (-122.3216155 37.9660898)
100175,3717009594.395,-122.0313125,37.968419,0.00028904155564948543,0.002355382320223095,POINT (-122.0313125 37.968419)
100219,960157493.8799996,-121.9378954,37.3465735,7.466362640496704e-05,0.0007094924175269267,POINT (-121.9378954 37.3465735)
100252,848292508.3290001,-121.9646105,37.3296499,6.59647977833985e-05,0.0006350028252175737,POINT (-121.9646105 37.3296499)
100286,280377917.34400004,-121.7513165,37.2329247,2.1802706541591064e-05,0.00023401883704890586,POINT (-121.7513165 37.2329247)
100312,452644672.4100001,-121.9418004,38.0202285,3.519848871714662e-05,0.0003609431633867577,POINT (-121.9418004 38.0202285)
100313,1463449822.272,-121.9217213,38.0225107,0.00011380057072823112,0.0010334301546199934,POINT (-121.9217213 38.0225107)
10032,4230298208.883999,-121.6023516,37.8900983,0.0003289558297080697,0.002638089919323553,POINT (-121.6023516 37.8900983)
100325,6902945957.517999,-121.824389,37.3208259,0.000536785872475017,0.004041950001835303,POINT (-121.824389 37.3208259)
100418,2261702476.2320004,-121.8740945,37.9042026,0.0001758741766855177,0.0015205627075069526,POINT (-121.8740945 37.9042026)
100419,2171580151.677,-121.779063,37.7523735,0.00016886609768367562,0.0014668392271849587,POINT (-121.779063 37.7523735)
100432,33621063.96,-122.305414,38.3066892,2.6144362511851366e-06,3.360717161590513e-05,POINT (-122.305414 38.3066892)
10046,32355110.619999997,-122.1781653,37.7188929,2.5159933729840594e-06,3.243830717727078e-05,POINT (-122.1781653 37.7188929)
100462,13329910.616,-122.9700577,38.3885813,1.0365585568913088e-06,1.4283366863666186e-05,POINT (-122.9700577 38.3885813)
10047,7704582.731999998,-122.1778517,37.7189827,5.991226339166636e-07,8.584108991868232e-06,POINT (-122.1778517 37.7189827)
100473,8549238607.63,-121.7466581,37.2314464,0.0006648046404007797,0.004863722273096392,POINT (-121.7466581 37.2314464)
100504,1163233940.9050002,-121.9648456,37.5127173,9.045522733394727e-05,0.0008421974648797753,POINT (-121.9648456 37.5127173)
100533,193993275.79900002,-122.2631892,37.8377285,1.5085276698514746e-05,0.00016747359425675227,POINT (-122.2631892 37.8377285)
100538,1445956474.764,-122.0907848,38.0164219,0.00011244025560156209,0.0010224291994993162,POINT (-122.0907848 38.0164219)
100572,46157718.684999995,-122.2935266,37.5415446,3.589309759668579e-06,4.500115287970143e-05,POINT (-122.2935266 37.5415446)
100592,1766221643.3400002,-121.9038479,37.3993911,0.00013734466873117603,0.0012214084685820644,POINT (-121.9038479 37.3993911)
100604,1587079132.2960005,-121.8215711,37.343396,0.00012341421502635026,0.0011107235242186543,POINT (-121.8215711 37.343396)
100609,1352678426.0640001,-121.8319248,37.352797,0.00010518678164097503,0.0009634870335284562,POINT (-121.8319248 37.352797)
10063,662917984.5040001,-122.1240433,37.6752841,5.154973121349859e-05,0.0005089486178815601,POINT (-122.1240433 37.6752841)
100632,5413864069.219001,-121.8932915,37.706427,0.00042099210478271947,0.003272328048507397,POINT (-121.8932915 37.706427)
100633,5880401659.960001,-121.899895,37.7059673,0.0004572709325802276,0.0035165206981238903,POINT (-121.899895 37.7059673)
100635,80058993.04399998,-121.8932011,37.7090324,6.225535690858376e-06,7.462456912341973e-05,POINT (-121.8932011 37.7090324)
100669,290601645.896,-121.8619416,37.3216297,2.259772262378364e-05,0.00024174278561937135,POINT (-121.8619416 37.3216297)
100675,3990831919.199999,-121.7468139,37.2303841,0.0003103344871642554,0.002506838494345637,POINT (-121.7468139 37.2303841)
