last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
10000,2624703585.296,-121.9768227,37.7592993,0.0002033796302664339,0.0017288155766552523,POINT (-121.9768227 37.7592993)
100007,882877562.7720001,-121.7936619,37.2365289,6.841127253112276e-05,0.0006560622526262914,POINT (-121.7936619 37.2365289)
100049,725705142.6240001,-121.801007,37.2349802,5.6232499706314074e-05,0.0005502921239426065,POINT (-121.801007 37.2349802)
100080,986416941.363,-121.9225254,37.4487905,7.643419773068548e-05,0.0007245259015984967,POINT (-121.9225254 37.4487905)
100081,2869324256.198999,-121.9220987,37.4326509,0.000222334479828301,0.0018701281564121634,POINT (-121.9220987 37.4326509)
100083,167223073.04900002,-121.9225254,37.4487905,1.2957564792935297e-05,0.00014582224158448732,POINT (-121.9225254 37.4487905)
100084,1935513739.1340003,-121.922388,37.4488089,0.00014997658053501035,0.001320548501748879,POINT (-121.922388 37.4488089)
1001,9890336.03,-122.3191276,37.5108612,7.663695421688329e-07,1.0791710381525917e-05,POINT (-122.3191276 37.5108612)
100108,553818780.192,-122.1330652,37.7709628,4.291359198846599e-05,0.0004315528971803419,POINT (-122.1330652 37.7709628)
100109,2252531951.864,-122.1286448,37.7695187,0.0001745412770035763,0.0015103666371557268,POINT (-122.1286448 37.7695187)
100115,37898639.453999996,-121.7620338,37.2381789,2.936640664087087e-06,3.7407646086447474e-05,POINT (-121.7620338 37.2381789)
100143,627112701.996,-122.306301,38.3065473,4.859289642527285e-05,0.00048262626066889017,POINT (-122.306301 38.3065473)
100154,10049925535.335997,-122.0459865,37.315569,0.0007787356069585748,0.005574064075024629,POINT (-122.0459865 37.315569)
100155,8388697.486,-122.0504774,37.3155604,6.500125205289571e-07,9.260256608617303e-06,POINT (-122.0504774 37.3155604)
100156,46824479.62399999,-122.0459865,37.315569,3.628274600872051e-06,4.545050097219143e-05,POINT (-122.0459865 37.315569)
100163,31272954.429,-122.3229667,37.9663629,2.4232381685841977e-06,3.133345293295182e-05,POINT (-122.3229667 37.9663629)
100175,4068134503.537999,-122.0313125,37.968419,0.00031522633482834744,0.002541423952076277,POINT (-122.0313125 37.968419)
100180,172974925.58400005,-121.8810551,37.2743795,1.340325688878521e-05,0.00015038471424439875,POINT (-121.8810551 37.2743795)
100215,167955509.561,-121.938305,37.3443777,1.3014318884269152e-05,0.0001464040643231667,POINT (-121.938305 37.3443777)
100269,1923909377.0520003,-121.8174451,37.2477274,0.00014907739676319834,0.001313527643241365,POINT (-121.8174451 37.2477274)
100297,1442990651.104,-122.1097098,37.8464402,0.00011181258971243251,0.0010173476887333898,POINT (-122.1097098 37.8464402)
100302,26138122.591000002,-121.8252972,37.3226833,2.0253569729538805e-06,2.6551953126143603e-05,POINT (-121.8252972 37.3226833)
100313,2287294497.412,-121.9217213,38.0225107,0.00017723491208689754,0.0015309612884709563,POINT (-121.9217213 38.0225107)
10032,429181981.92899996,-121.6023516,37.8900983,3.3255897271878636e-05,0.000342910816709616,POINT (-121.6023516 37.8900983)
100325,6968901523.311998,-121.824389,37.3208259,0.0005399972107762954,0.00406291016919996,POINT (-121.824389 37.3208259)
100418,301394480.28300005,-121.8740945,37.9042026,2.3354064934302954e-05,0.00024906501883429835,POINT (-121.8740945 37.9042026)
100457,206127656.65500003,-121.7466581,37.2314464,1.5972152753947104e-05,0.0001764070574086614,POINT (-121.7466581 37.2314464)
100462,13652943.556,-122.9700577,38.3885813,1.0579215984705665e-06,1.4556159439321969e-05,POINT (-122.9700577 38.3885813)
10047,311207815.718,-122.1778517,37.7189827,2.4114467954145556e-05,0.0002564018688731805,POINT (-122.1778517 37.7189827)
100477,23328349.968000002,-122.3887838,37.786927,1.8076369529105342e-06,2.390326938110263e-05,POINT (-122.3887838 37.786927)
100538,1763396337.1839998,-122.0907848,38.0164219,0.00013663977032637775,0.001215842881528138,POINT (-122.0907848 38.0164219)
100552,184670828.80399996,-122.2641666,37.8377758,1.4309533881677463e-05,0.00015961690538018628,POINT (-122.2641666 37.8377758)
100553,757155294.3529999,-122.2636437,37.8337412,5.8669468309664346e-05,0.0005716513091145288,POINT (-122.2636437 37.8337412)
100573,1679219131.6890001,-122.2934017,37.5436848,0.00013011715610573084,0.0011641679951305897,POINT (-122.2934017 37.5436848)
10058,377812971.525,-122.123559,37.6742151,2.9275481958832954e-05,0.0003055997354820772,POINT (-122.123559 37.6742151)
100592,2627820563.1319995,-121.9038479,37.3993911,0.00020362115460593861,0.0017306269712057355,POINT (-121.9038479 37.3993911)
100604,1519314047.862,-121.8215711,37.343396,0.00011772663817881192,0.0010650899950012222,POINT (-121.8215711 37.343396)
100609,1479492920.6139998,-121.8319248,37.352797,0.00011464103027174704,0.0010402188652168672,POINT (-121.8319248 37.352797)
10061,266995553.13,-122.1242758,37.6753554,2.0688605441988444e-05,0.00022314579777326442,POINT (-122.1242758 37.6753554)
100614,143488610.35000002,-121.8585513,37.3183496,1.1118459502975206e-05,0.00012682719809521193,POINT (-121.8585513 37.3183496)
100632,4454100220.733999,-121.8932915,37.706427,0.0003451335461792204,0.002751259372217745,POINT (-121.8932915 37.706427)
100633,5812785265.730001,-121.899895,37.7059673,0.0004504135723306905,0.0034705916736602824,POINT (-121.899895 37.7059673)
