last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100027,2617723255.2119994,-122.7105477,38.3311766,0.0005632311931150318,0.004213994613189614,POINT (-122.7105477 38.3311766)
100061,2102944316.882,-121.8011545,37.2383606,0.0004524709914593324,0.003484382685538448,POINT (-121.8011545 37.2383606)
100108,1025694449.2969999,-122.1330652,37.7709628,0.00022068914553850682,0.001857927941877451,POINT (-122.1330652 37.7709628)
100143,22985554.676,-122.306301,38.3065473,4.94558825452533e-06,6.042032411144848e-05,POINT (-122.306301 38.3065473)
100155,228677870.89500007,-122.0504774,37.3155604,4.9202492970466885e-05,0.00048806738945416284,POINT (-122.0504774 37.3155604)
100217,380085362.19200003,-121.9350601,37.343056,8.177943623594466e-05,0.0007696659159120082,POINT (-121.9350601 37.343056)
100312,153191832.192,-121.9418004,38.0202285,3.2960863318605545e-05,0.00034016236081678934,POINT (-121.9418004 38.0202285)
100325,1441433086.597,-121.824389,37.3208259,0.0003101397657460784,0.0025054602223353296,POINT (-121.824389 37.3208259)
100418,885649826.88,-121.8740945,37.9042026,0.00019055704520428603,0.0016322276056229285,POINT (-121.8740945 37.9042026)
100476,35529248.20899999,-122.3925533,37.7838975,7.644498256029185e-06,9.006384235519513e-05,POINT (-122.3925533 37.7838975)
100533,59258409.18,-122.2631892,37.8377285,1.2750081368646108e-05,0.00014369307155513838,POINT (-122.2631892 37.8377285)
100552,2053419859.168,-122.2641666,37.8377758,0.00044181527399527517,0.0034128545254091965,POINT (-122.2641666 37.8377758)
100614,17188493.547999997,-121.8585513,37.3183496,3.698288468658628e-06,4.625686234049455e-05,POINT (-121.8585513 37.3183496)
100636,14442002.610000005,-121.8698228,37.3271854,3.1073515295420138e-06,3.9406623542432316e-05,POINT (-121.8698228 37.3271854)
100643,21757564.101000004,-121.8478162,37.3079469,4.681372931032225e-06,5.7449430025711476e-05,POINT (-121.8478162 37.3079469)
100650,42905531.958,-121.8327214,37.3470418,9.231584701638896e-06,0.00010702065212227576,POINT (-121.8327214 37.3470418)
100705,9118604.704,-121.8511565,37.3113868,1.9619654586299366e-06,2.578329425221862e-05,POINT (-121.8511565 37.3113868)
100753,711293964.7319999,-121.8426737,37.3027654,0.00015304251418245536,0.0013444470834878199,POINT (-121.8426737 37.3027654)
100766,15598663.080000002,-121.8594779,37.3288776,3.3562194170278252e-06,4.230412341691385e-05,POINT (-121.8594779 37.3288776)
100769,49287690.996,-121.8536031,37.3326836,1.0604774569003813e-05,0.00012146927490656649,POINT (-121.8536031 37.3326836)
100786,1567156813.2480001,-122.068798,37.6056955,0.00033719057198524906,0.0026957921891622282,POINT (-122.068798 37.6056955)
100787,350629401.69399995,-122.0703904,37.6003418,7.544167087338946e-05,0.0007161037143848183,POINT (-122.0703904 37.6003418)
10101,5732961.45,-121.9109087,37.3165457,1.2335080536634036e-06,1.6782676842030393e-05,POINT (-121.9109087 37.3165457)
101012,1713024168.2800004,-122.2728167,37.7713279,0.0003685754956006959,0.0029139081085329346,POINT (-122.2728167 37.7713279)
101035,267544429.81200004,-122.2538109,37.7667239,5.75650493665687e-05,0.0005619842606028887,POINT (-122.2538109 37.7667239)
101039,341150766.93899995,-122.2541137,37.7668558,7.34022410935108e-05,0.0006987567512361164,POINT (-122.2541137 37.7668558)
101074,1570956297.7599998,-122.2510715,37.7655301,0.0003380080717689465,0.0027015094973814064,POINT (-122.2510715 37.7655301)
101177,370595732.33000004,-122.2364616,37.7454969,7.973764074104181e-05,0.0007524656805972472,POINT (-122.2364616 37.7454969)
101263,1822923666.2620003,-122.2452085,37.7367494,0.00039222154957064924,0.00307646177529344,POINT (-122.2452085 37.7367494)
101293,85622703.166,-122.244508,37.7553715,1.8422641570647924e-05,0.00020084235120724673,POINT (-122.244508 37.7553715)
