last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
10001,46746869.260000005,-121.9706649,37.759414,0.0003252568917535143,0.002612104027566006,POINT (-121.9706649 37.759414)
100862,1568602198.0640008,-121.9719897,37.5059932,0.010914071539258996,0.049306526700174644,POINT (-121.9719897 37.5059932)
101993,13878342.83,-122.2737222,37.8484406,9.656318643434798e-05,0.0008927568811433284,POINT (-122.2737222 37.8484406)
107597,121694938.72199999,-122.0652587,37.6414122,0.0008467330141554832,0.0059898952908864645,POINT (-122.0652587 37.6414122)
108143,679090549.362,-122.0112192,37.5176455,0.004724998375317307,0.025301837392411153,POINT (-122.0112192 37.5176455)
108421,698589680.4479998,-122.2697672,37.803765,0.004860670065621357,0.02589074298561741,POINT (-122.2697672 37.803765)
109914,1188730713.2360003,-122.2625245,37.8183161,0.00827098933125601,0.03965940333988194,POINT (-122.2625245 37.8183161)
110898,556440218.8799999,-122.2318523,37.7849026,0.0038716179052105766,0.021503286399793698,POINT (-122.2318523 37.7849026)
110990,913303345.8360002,-122.1970855,37.7725227,0.0063546118103119005,0.03214527700903798,POINT (-122.1970855 37.7725227)
112085,4171986.624,-122.1631935,37.7592965,2.902798461672805e-05,0.00030326261828123144,POINT (-122.1631935 37.7592965)
113664,615726616.505,-122.1808358,37.7844113,0.004284122736443642,0.023360633580922843,POINT (-122.1808358 37.7844113)
11412,2763297421.350999,-121.9653661,37.388876,0.019226560933101662,0.07597303595402098,POINT (-121.9653661 37.388876)
114621,890217815.0399998,-122.3637286,37.9457437,0.006193986551122359,0.03149132005131475,POINT (-122.3637286 37.9457437)
114646,1576634.4579999994,-122.362607,37.9425939,1.0969958659442565e-05,0.00012528076794893626,POINT (-122.362607 37.9425939)
11585,153066301.533,-121.881937,37.6914832,0.0010650097056110266,0.007289747938130746,POINT (-121.881937 37.6914832)
116003,207768703.207,-122.1534625,37.7328843,0.001445619860292805,0.0094532220821024,POINT (-122.1534625 37.7328843)
11844,384482070.336,-121.9076176,37.3592688,0.0026751618902412766,0.01584697789007265,POINT (-121.9076176 37.3592688)
119437,4097920799.0319996,-122.2749976,37.957939,0.028512647003843993,0.10143110531185097,POINT (-122.2749976 37.957939)
12031,2470542096.2620006,-122.1010407,37.656643,0.017189618382935742,0.06984914896987739,POINT (-122.1010407 37.656643)
121640,137939101.04,-122.130565,37.9962114,0.0009597571765930993,0.00666918969804994,POINT (-122.130565 37.9962114)
121766,133662470.994,-122.1124908,38.0041085,0.0009300011005614604,0.006491709735505418,POINT (-122.1124908 38.0041085)
12182,26940402.181,-122.1774966,38.0155271,0.00018744680905250546,0.001608671409064947,POINT (-122.1774966 38.0155271)
122568,2592853296.617,-121.9335531,37.7283653,0.018040639242382885,0.07243548171797573,POINT (-121.9335531 37.7283653)
123895,513550942.88400006,-121.9251593,37.7775645,0.00357320150169852,0.02013246530154298,POINT (-121.9251593 37.7775645)
124381,637491231.993,-122.0322411,38.0084177,0.004435557288016803,0.0240323018767035,POINT (-122.0322411 38.0084177)
124825,320728586.04800004,-122.0383805,37.9861624,0.002231575817714387,0.013623875917002544,POINT (-122.0383805 37.9861624)
125676,1962791828.7540004,-122.0885502,37.9836726,0.013656777009578121,0.058635636982120695,POINT (-122.0885502 37.9836726)
125685,867128670.8999999,-122.0792469,37.9835472,0.006033336150890075,0.030833093878691393,POINT (-122.0792469 37.9835472)
127230,158118698.308,-122.0484715,38.2582061,0.0011001634366941077,0.007494639563766272,POINT (-122.0484715 38.2582061)
127242,120670762.52000001,-122.0150695,38.2488788,0.000839606967570039,0.005946580721634827,POINT (-122.0150695 38.2488788)
128132,120281318.85000001,-122.5537355,37.8841745,0.0008368972836998151,0.005930094484513419,POINT (-122.5537355 37.8841745)
12846,234218005.737,-122.3456146,37.9635437,0.0016296496801746117,0.01046135719840607,POINT (-122.3456146 37.9635437)
128479,227890417.218,-122.5552202,37.9632217,0.0015856233783801896,0.010222161357553548,POINT (-122.5552202 37.9632217)
129209,833681957.12,-122.6030444,38.1156343,0.005800619514767432,0.029871975585906457,POINT (-122.6030444 38.1156343)
130171,793006298.6040002,-122.29428,37.8751801,0.005517605091162768,0.028690505705492114,POINT (-122.29428 37.8751801)
130639,2283383.1909999996,-122.5627443,37.9766003,1.58873980470469e-05,0.00017555549960176145,POINT (-122.5627443 37.9766003)
132086,111836071.54800001,-122.6439694,38.2328868,0.0007781366665500224,0.005570375666048658,POINT (-122.6439694 38.2328868)
132559,94130321.57999998,-122.6306544,38.2216769,0.0006549430218863291,0.004801362612313437,POINT (-122.6306544 38.2216769)
136063,89251515.387,-122.4762208,37.7502054,0.0006209971050169654,0.004585556972517103,POINT (-122.4762208 37.7502054)
136922,28760099.678999998,-122.4393453,37.7347756,0.00020010795966003014,0.0017042501627715946,POINT (-122.4393453 37.7347756)
13857,963824302.5840001,-122.1150377,37.8955393,0.0067061281710947785,0.03356238443537508,POINT (-122.1150377 37.8955393)
139747,34656617.386,-122.4638486,37.7736477,0.000241134942897803,0.0020086911734654186,POINT (-122.4638486 37.7736477)
141829,601084594.95,-122.4603022,37.7370833,0.004182246001266377,0.02290577179728544,POINT (-122.4603022 37.7370833)
142110,2392427.4,-122.454546,37.7081784,1.6646109401293874e-05,0.00018316270218276599,POINT (-122.454546 37.7081784)
144814,271602770.03999996,-122.4949555,37.7481914,0.0018897666126797834,0.011851297029707648,POINT (-122.4949555 37.7481914)
144914,293492208.006,-122.427464,37.7111946,0.0020420696581619044,0.012648153583121,POINT (-122.427464 37.7111946)
147416,182722138.49799997,-122.2089981,38.1090637,0.0012713500553772619,0.008476950134115563,POINT (-122.2089981 38.1090637)
148278,1582955706.4859998,-122.1707975,38.082198,0.01101394084834858,0.0496573816638559,POINT (-122.1707975 38.082198)
149532,2001123484.21,-122.7932968,38.5110765,0.013923482252233875,0.059511448397999954,POINT (-122.7932968 38.5110765)
150194,741683904.5439999,-122.7935232,38.5110756,0.00516051246370871,0.027178971053649907,POINT (-122.7935232 38.5110756)
15077,12814588.099999996,-122.3473291,37.9568401,8.916175907578995e-05,0.0008314386033145528,POINT (-122.3473291 37.9568401)
150829,24863992.290000003,-122.4867794,38.3246605,0.00017299949658337277,0.0014985600233905435,POINT (-122.4867794 38.3246605)
151964,2563314909.4559994,-122.6942107,38.3310602,0.017835116088693963,0.07181462787994287,POINT (-122.6942107 38.3310602)
153738,669855402.6299999,-122.6735841,38.4421169,0.0046607417701480655,0.025021568153493275,POINT (-122.6735841 38.4421169)
153840,4711349.28,-122.7001703,38.4410978,3.2780779697886395e-05,0.0003384834544698376,POINT (-122.7001703 38.4410978)
153875,726901.9499999998,-122.698248,38.4416247,5.057662098216166e-06,6.167619766822323e-05,POINT (-122.698248 38.4416247)
154732,591458123.3399999,-122.7380249,38.4408862,0.004115266623096527,0.02260537213055264,POINT (-122.7380249 38.4408862)
15603,1486095298.1600003,-121.9449188,37.4812582,0.010340002339849394,0.047271752495707836,POINT (-121.9449188 37.4812582)
156339,7060504.872,-122.4751347,37.6628671,4.912581110201313e-05,0.0004873833606618747,POINT (-122.4751347 37.6628671)
156374,3790048.0160000003,-122.4616205,37.6962859,2.6370519711692315e-05,0.00027803134716481435,POINT (-122.4616205 37.6962859)
156375,1071145620.2720001,-122.4617931,37.6986979,0.007452851935972852,0.03651270298325381,POINT (-122.4617931 37.6986979)
159307,413581465.006,-122.304551,37.5121515,0.0028776306076570054,0.016836406711500218,POINT (-122.304551 37.5121515)
159915,5977152.608,-122.2089372,37.4750554,4.158802738214626e-05,0.0004195274704380648,POINT (-122.2089372 37.4750554)
160496,2072314667.7749999,-122.1538262,37.4521656,0.01441881859139743,0.06112455970629716,POINT (-122.1538262 37.4521656)
160548,694340684.352,-122.1848536,37.4412777,0.004831106261988409,0.02576274276430217,POINT (-122.1848536 37.4412777)
160635,3375864.62,-122.1872281,37.4457925,2.3488700968931123e-05,0.0002503658536922398,POINT (-122.1872281 37.4457925)
16107,699109737.1439999,-122.2641675,37.8156864,0.004864288533064295,0.025906397224256725,POINT (-122.2641675 37.8156864)
161654,3669322.779,-121.8734325,38.020329,2.5530533719808452e-05,0.00027000161673281046,POINT (-121.8734325 38.020329)
