last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
10000,1942927090.5329998,-121.9768227,37.7592993,0.0004328259277492863,0.00335231252259192,POINT (-121.9768227 37.7592993)
100090,336879795.6480001,-121.7658976,37.2398894,7.504672244357648e-05,0.0007127487171560449,POINT (-121.7658976 37.2398894)
100109,2629267328.28,-122.1286448,37.7695187,0.0005857219636334829,0.004359332560991616,POINT (-122.1286448 37.7695187)
100117,572738849.0879998,-122.4035081,37.6428305,0.0001275890510366846,0.0011440522332755894,POINT (-122.4035081 37.6428305)
100164,358320758.13,-122.3228845,37.9663591,7.982312631551149e-05,0.0007531868568175102,POINT (-122.3228845 37.9663591)
100286,6117826121.400001,-121.7513165,37.2329247,0.0013628683133330363,0.008992428295939955,POINT (-121.7513165 37.2329247)
100433,36686782.404,-122.3036746,38.3069744,8.172715645130789e-06,9.574098807248538e-05,POINT (-122.3036746 38.3069744)
10047,37907198.386,-122.1778517,37.7189827,8.444587750997766e-06,9.86495459575412e-05,POINT (-122.1778517 37.7189827)
100533,298821530.82,-122.2631892,37.8377285,6.656848161664547e-05,0.0006402076830424533,POINT (-122.2631892 37.8377285)
100538,209771082.255,-122.0907848,38.0164219,4.6730710449399704e-05,0.000465957007448906,POINT (-122.0907848 38.0164219)
100677,63057372.31199999,-121.837517,37.3436085,1.404729277045921e-05,0.00015695153807450616,POINT (-121.837517 37.3436085)
100687,13318426.770000001,-121.8353616,37.3452544,2.9669463414115036e-06,3.776322568959441e-05,POINT (-121.8353616 37.3452544)
100704,35846865.918,-121.8490215,37.3093943,7.985607423697147e-06,9.373401948335417e-05,POINT (-121.8490215 37.3093943)
100777,12667600.752000002,-121.9961469,37.3937316,2.821961809353254e-06,3.605924878402706e-05,POINT (-121.9961469 37.3937316)
100786,70389099.36199999,-122.068798,37.6056955,1.568058183101281e-05,0.00017347564786204895,POINT (-122.068798 37.6056955)
100787,43462541.88000001,-122.0703904,37.6003418,9.68215179211518e-06,0.00011178263437074611,POINT (-122.0703904 37.6003418)
100796,152086470.146,-122.2285192,38.0714093,3.388030763470305e-05,0.00034871904986675823,POINT (-122.2285192 38.0714093)
100803,3355865917.231,-122.00265,37.5820673,0.0007475863536542969,0.0053816205308866785,POINT (-122.00265 37.5820673)
100824,585521008.4610001,-122.5201127,37.9454194,0.00013043653307356348,0.001166705716306551,POINT (-122.5201127 37.9454194)
100861,481282950.18999994,-121.9842927,37.4056455,0.0001072154176247316,0.0009800208048713096,POINT (-121.9842927 37.4056455)
100870,525611935.4400002,-122.1314383,37.4230027,0.00011709058703304548,0.0010599698777219177,POINT (-122.1314383 37.4230027)
100900,22758556.55,-122.2715891,37.7664704,5.06992434301077e-06,6.18134538172012e-05,POINT (-122.2715891 37.7664704)
100922,8672255761.999996,-122.2703979,37.7787872,0.0019319186829790046,0.012073026666465793,POINT (-122.2703979 37.7787872)
100952,190666750.65399998,-122.250192,37.7417657,4.247483791073205e-05,0.00042757714837196885,POINT (-122.250192 37.7417657)
100970,7417448.089999998,-122.2346555,37.7679363,1.6523851392723645e-06,2.1998683831231012e-05,POINT (-122.2346555 37.7679363)
100975,312290455.96799994,-122.2495726,37.7747511,6.956895448635541e-05,0.0006659969687197477,POINT (-122.2495726 37.7747511)
100982,10817548.17,-122.2581507,37.7755565,2.4098255387279654e-06,3.117339762742547e-05,POINT (-122.2581507 37.7755565)
100983,6268077577.488,-122.2627543,37.7767946,0.0013963398348295682,0.009179399654409295,POINT (-122.2627543 37.7767946)
100994,589213220.5189999,-122.2433785,37.7720531,0.0001312590472673475,0.0011732376942401664,POINT (-122.2433785 37.7720531)
101059,115996655.76699999,-122.2427107,37.7616587,2.5840578574872487e-05,0.0002729686181992305,POINT (-122.2427107 37.7616587)
101067,22247387.849999994,-122.2600168,37.7694244,4.956051275981166e-06,6.053767691617263e-05,POINT (-122.2600168 37.7694244)
101078,4046690589.1379995,-122.2287951,37.7649461,0.0009014813870743195,0.006320710748687971,POINT (-122.2287951 37.7649461)
101119,1258766.5199999998,-122.2378281,37.7529271,2.8041545639742924e-07,4.230626184969827e-06,POINT (-122.2378281 37.7529271)
101130,4289819618.07,-122.2310134,37.7590958,0.0009556432483315055,0.006644707807525492,POINT (-122.2310134 37.7590958)
101243,2484935796.296,-122.2414049,37.7360332,0.0005535692238117774,0.004151284112466375,POINT (-122.2414049 37.7360332)
10130,2127814450.6319993,-121.8060332,38.0087669,0.0004740132906482271,0.0036282281738087806,POINT (-121.8060332 38.0087669)
101311,8168468.511999999,-122.267063,37.7646771,1.8196899817930571e-06,2.4050559365721922e-05,POINT (-122.267063 37.7646771)
101326,327460189.45500004,-122.2536576,37.760544,7.294831648208478e-05,0.0006948881085953214,POINT (-122.2536576 37.760544)
101330,1091457848.112,-122.2674421,37.7648028,0.0002431440984122159,0.002023410245427952,POINT (-122.2674421 37.7648028)
101331,254792682.27000004,-122.2711145,37.7660198,5.676017367022699e-05,0.0005549258075814846,POINT (-122.2711145 37.7660198)
101403,2048502639.206,-122.2395418,37.7430509,0.0004563449959761314,0.003510325027010616,POINT (-122.2395418 37.7430509)
101450,103286528.70300004,-122.2517831,37.7696464,2.300914317768631e-05,0.00024572888015912897,POINT (-122.2517831 37.7696464)
101475,865418115.408,-122.2597325,37.773875,0.00019278922020164426,0.0016491022341333654,POINT (-122.2597325 37.773875)
101478,3336494.7699999996,-122.2437638,37.7661526,7.432710425895231e-07,1.0489193371066213e-05,POINT (-122.2437638 37.7661526)
101486,464880321.797,-122.246503,37.7673459,0.0001035614035928518,0.0009502116946495692,POINT (-122.246503 37.7673459)
101496,13306845.845,-122.2567392,37.7567618,2.9643664583928645e-06,3.773296775812718e-05,POINT (-122.2567392 37.7567618)
101503,81543112.585,-122.2565965,37.7570461,1.8165361699951897e-05,0.0001982929789716148,POINT (-122.2565965 37.7570461)
101537,3648946646.2899995,-122.2559175,37.7583992,0.000812875956685978,0.005783557184591866,POINT (-122.2559175 37.7583992)
101633,224650588.646,-122.2874237,37.7761887,5.0045418546021734e-05,0.0004955787404637653,POINT (-122.2874237 37.7761887)
101676,106379.71500000001,-122.2765308,37.7796674,2.369821238425809e-08,4.1609004265980215e-07,POINT (-122.2765308 37.7796674)
101685,1448565577.3290002,-122.3082355,37.8962679,0.0003226969982394489,0.0025940955842205992,POINT (-122.3082355 37.8962679)
10171,223443974.92000002,-122.3283809,37.9764464,4.977662116914863e-05,0.0004931850272610574,POINT (-122.3283809 37.9764464)
101725,13924754.016,-122.3058175,37.8890452,3.102017880661917e-06,3.93443126639464e-05,POINT (-122.3058175 37.8890452)
101741,1967974.585,-122.2982719,37.8881657,4.3840575886250653e-07,6.418313341634482e-06,POINT (-122.2982719 37.8881657)
101744,1021817998.9460001,-122.3012788,37.897529,0.0002276304270704233,0.0019093155775144772,POINT (-122.3012788 37.897529)
101745,2224635684.7139997,-122.300259,37.8943461,0.0004955821599442316,0.003771269923432089,POINT (-122.300259 37.8943461)
101792,3285818535.5450015,-122.2792844,37.8897015,0.0007319818962804828,0.005284729791738108,POINT (-122.2792844 37.8897015)
101843,91127704.92,-122.2964623,37.8653474,2.0300521629374178e-05,0.0002193443748516672,POINT (-122.2964623 37.8653474)
101919,891403791.1559999,-122.266115,37.8713176,0.0001985780499877042,0.0016927444984553368,POINT (-122.266115 37.8713176)
102022,378894889.13400006,-122.276509,37.8988519,8.440642611241679e-05,0.0007917210526091206,POINT (-122.276509 37.8988519)
10217,2174981487.084,-121.8598069,37.3939927,0.0004845206928101483,0.0036980317122638213,POINT (-121.8598069 37.3939927)
102252,1542141960.992,-122.2884303,37.8759527,0.00034354301210775634,0.0027401671674876925,POINT (-122.2884303 37.8759527)
102316,3790041.954000001,-122.2532322,37.8588012,8.443077627265737e-07,1.1807431938725215e-05,POINT (-122.2532322 37.8588012)
102409,326299637.41100013,-122.2672398,37.8667501,7.268978026752832e-05,0.0006926834323624767,POINT (-122.2672398 37.8667501)
102441,1509907.097,-122.2742631,37.8630799,3.3636205046426924e-07,5.013502506233057e-06,POINT (-122.2742631 37.8630799)
102535,36733458.83799999,-122.2610171,37.8792241,8.18311375576938e-06,9.585239419344009e-05,POINT (-122.2610171 37.8792241)
102543,2734161108.1830006,-122.2630675,37.8911933,0.0006090891542104545,0.004509419514369525,POINT (-122.2630675 37.8911933)
102661,1762806147.9999995,-122.2898648,37.8814029,0.00039270037983820397,0.003079738446027827,POINT (-122.2898648 37.8814029)
102700,202471699.24800003,-122.2488559,37.8829632,4.5104626672300567e-05,0.0004513406073270695,POINT (-122.2488559 37.8829632)
102787,68064693.90000002,-122.2994786,37.8690448,1.516277395471229e-05,0.00016825625664604896,POINT (-122.2994786 37.8690448)
102807,344856531.7499998,-122.2707322,37.8836007,7.682370019049344e-05,0.0007278275334958909,POINT (-122.2707322 37.8836007)
102866,35346150.864,-122.2729766,37.8712166,7.874063115708661e-06,9.25354885498312e-05,POINT (-122.2729766 37.8712166)
102867,293306488.34200007,-122.2726712,37.8684587,6.53398954341026e-05,0.0006296092049366866,POINT (-122.2726712 37.8684587)
102878,1455608558.796,-122.2726712,37.8684587,0.00032426596343759176,0.0026051354033574175,POINT (-122.2726712 37.8684587)
102900,17806373.58,-122.272483,37.8667592,3.966726390386381e-06,4.933643473248052e-05,POINT (-122.272483 37.8667592)
102933,327947837.904,-122.2718784,37.8613117,7.305694994207529e-05,0.0006958142104862699,POINT (-122.2718784 37.8613117)
102945,12917309.850000003,-122.2708671,37.8526828,2.8775895127992123e-06,3.671389151654494e-05,POINT (-122.2708671 37.8526828)
102985,74583294.33600001,-122.2734813,37.8758203,1.6614922774442115e-05,0.00018285070270436965,POINT (-122.2734813 37.8758203)
10302,1320701160.704,-121.9083574,37.6797345,0.00029421263821302363,0.002392304096584908,POINT (-121.9083574 37.6797345)
103029,1185793398.4320002,-122.2698037,37.8807381,0.0002641592318600657,0.0021763969448976763,POINT (-122.2698037 37.8807381)
103048,99283368.163,-122.2668745,37.8787098,2.211735898099804e-05,0.00023707923949827607,POINT (-122.2668745 37.8787098)
10311,49128445.3,-121.9110613,37.6784704,1.0944345271349955e-05,0.00012501383755376911,POINT (-121.9110613 37.6784704)
103186,386533216.698,-122.2822128,37.873319,8.610801657890941e-05,0.0008059631169519664,POINT (-122.2822128 37.873319)
103187,85880257.22,-122.2824145,37.8751201,1.913154754376127e-05,0.000207848420876664,POINT (-122.2824145 37.8751201)
103210,17227935.402,-122.2873884,37.8545531,3.8378676996725805e-06,4.78604884965208e-05,POINT (-122.2873884 37.8545531)
103267,134584729.69,-122.2860675,37.8504401,2.998144437472487e-05,0.00031225470108183737,POINT (-122.2860675 37.8504401)
103335,5742700.349999998,-122.2686925,37.8752495,1.2793015336942122e-06,1.735909364496929e-05,POINT (-122.2686925 37.8752495)
103342,56203433.47200001,-122.267319,37.8619232,1.252044060415067e-05,0.00014133258657596446,POINT (-122.267319 37.8619232)
103359,2615246.986,-122.2673065,37.8638994,5.825986515523081e-07,8.363650675032481e-06,POINT (-122.2673065 37.8638994)
103415,42150981.236,-122.2695457,37.8799428,9.389975387089591e-06,0.0001086971145330906,POINT (-122.2695457 37.8799428)
103427,3300467981.8459997,-122.2661149,37.8522823,0.0007352453538837754,0.005305020433664048,POINT (-122.2661149 37.8522823)
103480,2761196.52,-122.2668342,37.8858827,6.151118337329099e-07,8.796998357307706e-06,POINT (-122.2668342 37.8858827)
103526,5265821698.102001,-122.2668745,37.8787098,0.0011730672617355272,0.007916014333376405,POINT (-122.2668745 37.8787098)
103527,18302089.494999994,-122.2668523,37.8826296,4.077157040025993e-06,5.0597969866928587e-05,POINT (-122.2668523 37.8826296)
103569,11474605.548,-122.2589844,37.8611269,2.5561982310451776e-06,3.291613770254619e-05,POINT (-122.2589844 37.8611269)
103621,2394642728.967,-122.259176,37.8596798,0.0005334546344242353,0.00402018695476538,POINT (-122.259176 37.8596798)
10364,1532080154.756,-122.7207513,38.4767889,0.0003413015432229226,0.0027245229079445863,POINT (-122.7207513 38.4767889)
103659,43007291.419999994,-122.236757,37.8540334,9.580735633131189e-06,0.00011071264500631657,POINT (-122.236757 37.8540334)
103706,363972275.47200006,-122.3159532,37.8633075,8.108211500770751e-05,0.0007637974275800514,POINT (-122.3159532 37.8633075)
103794,1080069136.962,-122.291419,37.8666313,0.00024060703487885647,0.002004820948179624,POINT (-122.291419 37.8666313)
10399,12384420.660000002,-121.5516064,36.9610288,2.7588777715438865e-06,3.531552962587723e-05,POINT (-121.5516064 36.9610288)
104037,3260225389.1760006,-122.3147929,37.935204,0.0007262805102762622,0.005249246307067274,POINT (-122.3147929 37.935204)
104074,887935101.6380001,-122.2914065,37.9020003,0.00019780532991703464,0.001686928793547992,POINT (-122.2914065 37.9020003)
104075,878960803.9820001,-122.2893753,37.9009002,0.00019580612535203426,0.0016718681902575686,POINT (-122.2893753 37.9009002)
104166,1921002650.5140002,-122.2941535,37.9032066,0.0004279418195715554,0.003319340697633645,POINT (-122.2941535 37.9032066)
104219,4920632704.027002,-122.3010929,37.9182398,0.0010961694989026626,0.00747141835458322,POINT (-122.3010929 37.9182398)
104242,1531196.52,-122.3097308,37.9205013,3.4110469588113565e-07,5.079416080195543e-06,POINT (-122.3097308 37.9205013)
10437,1021987479.0440004,-122.0303999,37.9758528,0.00022766818215707037,0.001909594500928633,POINT (-122.0303999 37.9758528)
104391,1124322015.8539996,-122.302346,37.9176773,0.0002504652500714565,0.0020769055344948156,POINT (-122.302346 37.9176773)
10440,1388713185.897999,-122.0365169,37.9740322,0.00030936367915847924,0.002499965731280777,POINT (-122.0365169 37.9740322)
104405,28842183.840000007,-122.3085745,37.9111172,6.425174181620403e-06,7.681480019412156e-05,POINT (-122.3085745 37.9111172)
104424,738813045.2319996,-122.2834534,37.8302469,0.00016458540482241756,0.0014338813690523353,POINT (-122.2834534 37.8302469)
10445,55436253.05400001,-122.0359927,37.9768979,1.2349535798823754e-05,0.0001395731208701969,POINT (-122.0359927 37.9768979)
104464,314320909.48800004,-122.29467,37.8444936,7.002127867949062e-05,0.0006698733636533118,POINT (-122.29467 37.8444936)
104465,73986126.31999998,-122.2946182,37.8455078,1.6481891637140657e-05,0.00018151916433265552,POINT (-122.2946182 37.8455078)
104472,574916609.5350001,-122.2854219,37.8299408,0.0001280741907984808,0.0011479162731024976,POINT (-122.2854219 37.8299408)
104518,266527567.5350001,-122.2812025,37.8353544,5.937435442183806e-05,0.0005778103274689465,POINT (-122.2812025 37.8353544)
104545,547126263.2619997,-122.2934352,37.8340164,0.00012188333450402994,0.0010984670004167518,POINT (-122.2934352 37.8340164)
10457,32280225.599999998,-122.1569365,37.4346622,7.19106685029721e-06,8.516143897294241e-05,POINT (-122.1569365 37.4346622)
104647,1036738772.4849999,-121.9436913,37.5134418,0.0002309543282508752,0.0019338477011971592,POINT (-121.9436913 37.5134418)
104678,778509182.99,-121.9187567,37.5279968,0.0001734285146523683,0.001501846723505307,POINT (-121.9187567 37.5279968)
104810,1759498520.468,-121.9808402,37.5446303,0.0003919635395511121,0.003074695951447899,POINT (-121.9808402 37.5446303)
104830,8526081217.016002,-122.0000979,37.5545806,0.001899355375094574,0.011901818005785854,POINT (-122.0000979 37.5545806)
104878,987547600.5419998,-121.9947593,37.5518242,0.00021999600936333378,0.0018527846444799485,POINT (-121.9947593 37.5518242)
104883,169881909.07500002,-121.9965334,37.5528835,3.784459811254967e-05,0.0003853345421648032,POINT (-121.9965334 37.5528835)
104902,1900601695.1759994,-122.0222113,37.5657403,0.00042339709812309407,0.0032886099629965628,POINT (-122.0222113 37.5657403)
104921,159280336.13600007,-121.9483165,37.4965025,3.5482885382677964e-05,0.00036357396858361794,POINT (-121.9483165 37.4965025)
104931,14270025.438000001,-121.9565247,37.5212844,3.178934005966171e-06,4.0242013160495634e-05,POINT (-121.9565247 37.5212844)
104947,38491331.0,-121.9874386,37.5482345,8.574714991394527e-06,0.00010003856567461858,POINT (-121.9874386 37.5482345)
104962,1604970472.3870006,-121.9965334,37.5528835,0.00035753932152469265,0.0028375268791954278,POINT (-121.9965334 37.5528835)
104963,1983138690.7200003,-121.9995068,37.5544063,0.00044178386716040816,0.003412643325303969,POINT (-121.9995068 37.5544063)
104982,1567086861.3719997,-122.0049449,37.5571508,0.00034909998833305826,0.0027788890322154917,POINT (-122.0049449 37.5571508)
104995,22384354.110999998,-121.9737029,37.5411686,4.986563254159109e-06,6.087977200682966e-05,POINT (-121.9737029 37.5411686)
105018,13333968.094000004,-122.0118246,37.5606516,2.97040848263725e-06,3.780382758409834e-05,POINT (-122.0118246 37.5606516)
105078,4704702516.405001,-121.9669021,37.5317141,0.001048066724361117,0.0071905845951465265,POINT (-121.9669021 37.5317141)
105091,33158427.124999996,-121.9664429,37.5163222,7.386703831047058e-06,8.728002899771935e-05,POINT (-121.9664429 37.5163222)
105114,190564899.89400005,-121.92651,37.4686169,4.245214861379253e-05,0.00042737142756049787,POINT (-121.92651 37.4686169)
105126,608449326.6579999,-121.9615154,37.5655616,0.00013554427522390058,0.0012071860798889148,POINT (-121.9615154 37.5655616)
105127,10686995725.108,-121.9663741,37.5709333,0.0023807423665617796,0.014380500301090587,POINT (-121.9663741 37.5709333)
105189,71003133.22200002,-121.9528562,37.5579478,1.5817370172901173e-05,0.00017485156600296055,POINT (-121.9528562 37.5579478)
10520,87629707.341,-122.2829716,37.8028314,1.952127260105367e-05,0.00021168879300425167,POINT (-122.2829716 37.8028314)
105294,188888915.24400002,-121.9890212,37.5479756,4.207878946173561e-05,0.00042398448381199136,POINT (-121.9890212 37.5479756)
105295,56079787.81500005,-121.9904841,37.5461846,1.2492896057335743e-05,0.00014104917388093534,POINT (-121.9904841 37.5461846)
105338,3497676884.993999,-121.9783435,37.5640886,0.0007791775873069225,0.005576785593435986,POINT (-121.9783435 37.5640886)
