last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
1,133965715.76599996,-122.3543825,37.5874468,2.863999094528315e-05,0.00029959454035855177,POINT (-122.3543825 37.5874468)
10000,1004848724.9999999,-121.9768227,37.7592993,0.00021482256277903077,0.0018143265231840276,POINT (-121.9768227 37.7592993)
100080,19425381.664,-121.9225254,37.4487905,4.1528741274178095e-06,5.1461211449006485e-05,POINT (-121.9225254 37.4487905)
100102,2096034.288,-121.772553,37.2419147,4.481027305088943e-07,6.550474747673482e-06,POINT (-121.772553 37.2419147)
100160,4828651.03,-122.0437039,37.975354,1.0322978605861361e-06,1.4228908081708044e-05,POINT (-122.0437039 37.975354)
100286,1691128243.1829998,-121.7513165,37.2329247,0.00036153949758812903,0.0028652508671220224,POINT (-121.7513165 37.2329247)
10047,671281166.9999998,-122.1778517,37.7189827,0.00014351049770226708,0.001269939085440431,POINT (-122.1778517 37.7189827)
100476,41967765.36,-122.3925533,37.7838975,8.972119568290475e-06,0.00010426848819947607,POINT (-122.3925533 37.7838975)
100477,120451675.09399995,-122.3887838,37.786927,2.5750878605852063e-05,0.000272110610893415,POINT (-122.3887838 37.786927)
100538,1639519834.1040003,-122.0907848,38.0164219,0.0003505063436183121,0.0027886746500492892,POINT (-122.0907848 38.0164219)
100578,14963504691.599998,-121.6961722,37.9270464,0.003198987415748139,0.01837792982937364,POINT (-121.6961722 37.9270464)
100609,547098161.7599999,-121.8319248,37.352797,0.00011696191304913076,0.0010589336516742967,POINT (-121.8319248 37.352797)
10061,6398022.6099999985,-122.1242758,37.6753554,1.3678074914195498e-06,1.846854910386686e-05,POINT (-122.1242758 37.6753554)
100615,243347183.05699998,-121.8549678,37.320115,5.202421440039413e-05,0.0005131565129173746,POINT (-121.8549678 37.320115)
10062,3243479362.9610004,-122.1266537,37.6794012,0.0006934103927655183,0.005043789907166571,POINT (-122.1266537 37.6794012)
10063,3528124030.595,-122.1240433,37.6752841,0.0007542634301045678,0.005422979732696306,POINT (-122.1240433 37.6752841)
100632,525042189.644,-121.8932915,37.706427,0.00011224665558135428,0.0010208622106283479,POINT (-121.8932915 37.706427)
100766,719828640.128,-121.8594779,37.3288776,0.00015388926650032982,0.0013510365383890591,POINT (-121.8594779 37.3288776)
100797,15529092.842999995,-122.2268319,38.0676505,3.3199022292303393e-06,4.188247631082901e-05,POINT (-122.2268319 38.0676505)
100801,64502921.114999965,-121.9908872,37.5797157,1.3789819776760876e-05,0.00015432987032596343,POINT (-121.9908872 37.5797157)
100824,335544638.104,-122.5201127,37.9454194,7.173473707125787e-05,0.000684531271477314,POINT (-122.5201127 37.9454194)
100876,41928450.300000004,-121.9927367,37.9476339,8.963714559919676e-06,0.00010417921140115959,POINT (-121.9927367 37.9476339)
100979,29795187.681000005,-122.2490722,37.7745331,6.369793200578155e-06,7.620784629915079e-05,POINT (-122.2490722 37.7745331)
100989,43878978.160000004,-122.2433785,37.7720531,9.380710057084783e-06,0.00010859912105436637,POINT (-122.2433785 37.7720531)
100999,4532464215.452999,-122.2732555,37.7713405,0.0009689772741343354,0.0067239943469732145,POINT (-122.2732555 37.7713405)
101019,1907475.284,-122.2763956,37.7714309,4.077914602982052e-07,5.999635904900951e-06,POINT (-122.2763956 37.7714309)
101035,1014444.2949999999,-122.2538107,37.7667238,2.1687396105166687e-07,3.327703101209536e-06,POINT (-122.2538107 37.7667238)
101039,3255155112.3049994,-122.2541137,37.7668558,0.0006959065042040271,0.005059445744786308,POINT (-122.2541137 37.7668558)
101059,22975986.68700001,-122.2427107,37.7616587,4.911943678366348e-06,6.004281770656198e-05,POINT (-122.2427107 37.7616587)
101070,1801827.0780000004,-122.2341807,37.7562349,3.852053557420921e-07,5.689286361955457e-06,POINT (-122.2341807 37.7562349)
101071,1625405319.6480002,-122.2386962,37.7591863,0.0003474888584064762,0.0027676715992570513,POINT (-122.2386962 37.7591863)
101181,2051570482.4439995,-122.2820145,37.7756882,0.0004385969925576933,0.0033912010599811307,POINT (-122.2820145 37.7756882)
101210,1165424711.513,-122.2752047,37.7825117,0.00024915145635800583,0.0020673216488943497,POINT (-122.2752047 37.7825117)
101283,199001040.16400006,-122.2512946,37.7591942,4.25436310761337e-05,0.00042820081271702015,POINT (-122.2512946 37.7591942)
101293,480907568.628,-122.2445078,37.7553714,0.00010281129266746055,0.0009440765552425906,POINT (-122.2445078 37.7553714)
10130,11200875.557999998,-121.8060332,38.0087669,2.394590083933844e-06,3.0991499643470805e-05,POINT (-121.8060332 38.0087669)
101326,15237056.384,-122.2536576,37.760544,3.25746893057905e-06,4.115668686589261e-05,POINT (-122.2536576 37.760544)
101410,17374953.200000003,-122.2377188,37.7431747,3.7145212823847915e-06,4.644362815073056e-05,POINT (-122.2377188 37.7431747)
101442,2296620135.0399995,-122.2649599,37.772445,0.0004909851710656412,0.0037408634632878097,POINT (-122.2649599 37.772445)
101443,87999903.47199997,-122.2682325,37.7727773,1.8813145021567662e-05,0.00020470497929321761,POINT (-122.2682325 37.7727773)
101447,889060062.4080001,-122.2517831,37.7696464,0.0001900685708398263,0.0016285313974051744,POINT (-122.2517831 37.7696464)
101486,72606685.857,-122.246503,37.7673459,1.5522291010214246e-05,0.0001718819518403815,POINT (-122.246503 37.7673459)
101496,51861748.427999996,-122.2567392,37.7567618,1.1087314369139823e-05,0.00012650303002034494,POINT (-122.2567392 37.7567618)
101497,407062983.41099995,-122.2607065,37.7582297,8.702435613761575e-05,0.0008136187728769911,POINT (-122.2607065 37.7582297)
101503,106646633.05799998,-122.2565965,37.7570461,2.2799554256561813e-05,0.0002436991818005847,POINT (-122.2565965 37.7570461)
101547,3749292684.201,-122.2405185,37.7603774,0.000801546185998027,0.005714197080943528,POINT (-122.2405185 37.7603774)
101653,5829567.743999998,-122.2712213,37.7789826,1.24627981456617e-06,1.694360727658505e-05,POINT (-122.2712213 37.7789826)
101684,4633270.052,-122.3080891,37.8958305,9.905281480234483e-07,1.3694078938661371e-05,POINT (-122.3080891 37.8958305)
101700,513255372.48,-122.3044553,37.887538,0.00010972679940083482,0.0010004359504807228,POINT (-122.3044553 37.887538)
