last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
100061,2688394502.168,-121.8011545,37.2383606,0.000582658522537053,0.004339587809997685,POINT (-121.8011545 37.2383606)
100080,568282698.0,-121.9225254,37.4487905,0.00012316449722428373,0.0011087255379158612,POINT (-121.9225254 37.4487905)
100090,155585196.18,-121.7658976,37.2398894,3.372014057526568e-05,0.0003472302899922012,POINT (-121.7658976 37.2398894)
100154,112250875.12100004,-122.0459865,37.315569,2.4328248327672697e-05,0.00025846020595253315,POINT (-122.0459865 37.315569)
100155,6205914429.444002,-122.0504774,37.3155604,0.001345014256477325,0.008892360900842704,POINT (-122.0504774 37.3155604)
100160,42225643.294,-122.0437039,37.975354,9.151607368270532e-06,0.00010617311439601646,POINT (-122.0437039 37.975354)
100218,9338618.52,-121.9369317,37.3448704,2.023968455899012e-06,2.6535138035410694e-05,POINT (-121.9369317 37.3448704)
100252,106958001.175,-121.9646105,37.3296499,2.3181118280031152e-05,0.00024739289251513464,POINT (-121.9646105 37.3296499)
100256,70470651.50200003,-121.9636374,37.3299569,1.527317722650699e-05,0.00016937056077844794,POINT (-121.9636374 37.3299569)
100286,208113862.0,-121.7513165,37.2329247,4.5104732677668055e-05,0.00045134156206701474,POINT (-121.7513165 37.2329247)
100325,7819268490.707998,-121.824389,37.3208259,0.0016946781517527996,0.010812491354689204,POINT (-121.824389 37.3208259)
100328,3849854746.7189994,-122.2582986,38.0186585,0.000834383003274486,0.0059147892729337695,POINT (-122.2582986 38.0186585)
100329,228055795.96799996,-122.2613533,38.0216935,4.942676866344178e-05,0.0004900673209855379,POINT (-122.2613533 38.0216935)
100418,352392188.54999995,-121.8740945,37.9042026,7.637432369712184e-05,0.0007240182014001561,POINT (-121.8740945 37.9042026)
100419,814992974.496,-121.779063,37.7523735,0.00017663427075712823,0.0015263725503357848,POINT (-121.779063 37.7523735)
10046,210254503.35000002,-122.1781653,37.7188929,4.556867609269398e-05,0.00045551770137918066,POINT (-122.1781653 37.7188929)
100476,1103057837.974,-122.3925533,37.7838975,0.00023906686672233178,0.0019935229631071467,POINT (-122.3925533 37.7838975)
100504,2455612204.752,-121.9648453,37.5127166,0.0005322073743235711,0.00401203323323037,POINT (-121.9648453 37.5127166)
100538,2358050694.0810003,-122.0907848,38.0164219,0.0005110627671544201,0.0038733539846279763,POINT (-122.0907848 38.0164219)
100553,164172479.538,-122.2636437,37.8337412,3.5581271383986034e-05,0.00036448355454195795,POINT (-122.2636437 37.8337412)
100563,166263467.04799998,-121.6969286,37.9330304,3.6034453270884525e-05,0.0003686697541291231,POINT (-121.6969286 37.9330304)
100580,10200333.672,-121.6961722,37.9270464,2.210728872536978e-06,2.8788527636826676e-05,POINT (-121.6961722 37.9270464)
100604,2148980111.7509995,-121.8215711,37.343396,0.00046575068348957,0.0035731740763530395,POINT (-121.8215711 37.343396)
100614,208543731.93799996,-121.8585513,37.3183496,4.519789883418123e-05,0.0004521805690802575,POINT (-121.8585513 37.3183496)
100615,131151587.19300002,-121.8549678,37.320115,2.8424619214418975e-05,0.00029755615978606576,POINT (-121.8549678 37.320115)
100622,5882732.234999999,-121.8932387,37.7047325,1.274970645030727e-06,1.7304650516097233e-05,POINT (-121.8932387 37.7047325)
100677,1044495319.4480002,-121.837517,37.3436085,0.00022637455147883203,0.0019000339650936697,POINT (-121.837517 37.3436085)
100766,5538085.949999999,-121.8594779,37.3288776,1.2002750990258366e-06,1.636330214786111e-05,POINT (-121.8594779 37.3288776)
100796,262434263.33599997,-122.2285192,38.0714093,5.68776494726287e-05,0.0005559567331101155,POINT (-122.2285192 38.0714093)
100870,1403325961.3439994,-122.1314383,37.4230027,0.0003041442878324589,0.002462962978862442,POINT (-122.1314383 37.4230027)
100981,1594972113.4830003,-122.38666,37.599787,0.0003456799567103606,0.0027550682841639552,POINT (-122.38666 37.599787)
101026,9108959.006000001,-122.2479246,37.7641521,1.9741941117668892e-06,2.5931731193694618e-05,POINT (-122.2479246 37.7641521)
101239,1472207102.4430003,-122.2859641,37.7760536,0.0003190729688244207,0.0025685663513797773,POINT (-122.2859641 37.7760536)
101254,596207328.8610001,-122.2389668,37.7354594,0.00012921663136856271,0.0011570083337994275,POINT (-122.2389668 37.7354594)
101255,1147232179.7790003,-122.2371783,37.7348307,0.00024864081753549997,0.00206359476419149,POINT (-122.2371783 37.7348307)
101293,303570151.4549999,-122.2445078,37.7553714,6.579307307408949e-05,0.0006335212373005268,POINT (-122.2445078 37.7553714)
101371,407077582.293,-122.2481808,37.7578472,8.822634567416361e-05,0.000823646308140312,POINT (-122.2481808 37.7578472)
101450,2925731.0760000004,-122.2517831,37.7696464,6.340967237911626e-07,9.049235138543269e-06,POINT (-122.2517831 37.7696464)
101486,112968813.02399999,-122.246503,37.7673459,2.448384775234715e-05,0.0002599571784245979,POINT (-122.246503 37.7673459)
