last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
101984,1125915867.6480005,-122.2657469,37.8495034,0.006707250632118138,0.03356687949872559,POINT (-122.2657469 37.8495034)
104453,73967084.64600001,-122.2947149,37.8436149,0.00044063307881448386,0.0034049031305422367,POINT (-122.2947149 37.8436149)
104583,6336791.849999997,-122.2947671,37.842591,3.774922475362187e-05,0.00038445870157789854,POINT (-122.2947671 37.842591)
104795,513557536.9919999,-122.0170532,37.5632041,0.0030593397016547876,0.017712219046072293,POINT (-122.0170532 37.5632041)
105015,111653871.13699998,-122.0259742,37.5675904,0.0006651389497924802,0.004865833692966628,POINT (-122.0259742 37.5675904)
108935,4843927328.147999,-122.2052029,37.755127,0.028856005645896347,0.10230715412102603,POINT (-122.2052029 37.755127)
108979,1535197158.1499999,-122.1867986,37.7594208,0.009145401006682262,0.042933122963481854,POINT (-122.1867986 37.7594208)
10993,707621179.396,-122.4765527,37.660487,0.004215406087773358,0.023054095302548084,POINT (-122.4765527 37.660487)
110712,2036017.0320000001,-122.18781,37.7382258,1.212886052792947e-05,0.000137297764558399,POINT (-122.18781 37.7382258)
110825,55862408.160000004,-122.2299974,37.8372943,0.000332780790473716,0.002664917412636722,POINT (-122.2299974 37.8372943)
111400,3109754.4000000013,-122.2530295,37.8201562,1.8525275968180118e-05,0.00020185834447665208,POINT (-122.2530295 37.8201562)
11149,752709667.9850001,-122.3336411,37.9365195,0.004484005014460097,0.024246085245519834,POINT (-122.3336411 37.9365195)
112418,473795915.10999995,-122.2716203,37.8171288,0.002822473723329786,0.01656832033834528,POINT (-122.2716203 37.8171288)
113569,2643195618.3549995,-122.2650668,37.8269256,0.015745914940392347,0.0653640376858847,POINT (-122.2650668 37.8269256)
11399,165968014.756,-121.9886544,37.548863,0.0009886964948890783,0.006840912810301794,POINT (-121.9886544 37.548863)
114484,57044644.964999996,-122.3521559,37.9495946,0.0003398235534238591,0.002714199278465346,POINT (-122.3521559 37.9495946)
115091,2009951644.554,-122.3172165,37.9759911,0.011973585083780347,0.05298374019637634,POINT (-122.3172165 37.9759911)
