last_link,Charging Opportunity,endX,endY,Probability,Entropy,geometry
10000,1457426238.0600002,-121.9768227,37.7592993,0.0003380558422618403,0.002701843526348554,POINT (-121.9768227 37.7592993)
100109,4097314356.490999,-122.1286448,37.7695187,0.0009503884447962515,0.006613410826705508,POINT (-122.1286448 37.7695187)
100223,9594027.028,-121.7725908,37.243253,2.2253729231268843e-06,2.8964532775389872e-05,POINT (-121.7725908 37.243253)
100252,2875727.5760000004,-121.9646105,37.3296499,6.670365075314763e-07,9.485539998554527e-06,POINT (-121.9646105 37.3296499)
100286,1176485242.6079998,-121.7513165,37.2329247,0.00027289045525067556,0.0022394591765478042,POINT (-121.7513165 37.2329247)
100312,6242940041.5599985,-121.9418004,38.0202285,0.0014480749000024857,0.009466818996525269,POINT (-121.9418004 38.0202285)
100325,6227140826.789,-121.824389,37.3208259,0.0014444102089759298,0.00944652105462553,POINT (-121.824389 37.3208259)
100418,1906759918.1900003,-121.8740945,37.9042026,0.00044228058566645715,0.0034159833240295597,POINT (-121.8740945 37.9042026)
10047,255995046.35799992,-122.1778517,37.7189827,5.937907439254553e-05,0.0005778515404049278,POINT (-122.1778517 37.7189827)
100476,857843149.1040002,-122.3925533,37.7838975,0.000198980147828904,0.001695769607809225,POINT (-122.3925533 37.7838975)
100504,3883465555.6549997,-121.9648456,37.5127173,0.0009007853605403181,0.006316526336483303,POINT (-121.9648456 37.5127173)
100505,6151948.587000001,-121.9638674,37.5105095,1.4269690683613215e-06,1.9206943578602746e-05,POINT (-121.9638674 37.5105095)
100533,176131144.39400005,-122.2631892,37.8377285,4.0854323060570725e-05,0.000412853276490235,POINT (-122.2631892 37.8377285)
100553,1525458594.8400002,-122.2636437,37.8337412,0.00035383621938949166,0.0028118219372655507,POINT (-122.2636437 37.8337412)
100718,406817151.31499994,-121.841874,37.3116307,9.436286457791427e-05,0.0008745892775245267,POINT (-121.841874 37.3116307)
100766,55913825.81500001,-121.8594779,37.3288776,1.2969435424143567e-05,0.00014594395559244824,POINT (-121.8594779 37.3288776)
100769,3688081.9980000006,-121.8536031,37.3326836,8.554653632586057e-07,1.195223717670768e-05,POINT (-121.8536031 37.3326836)
100796,1105420538.6660001,-122.2285192,38.0714093,0.00025640671307640303,0.0021201618936929037,POINT (-122.2285192 38.0714093)
100870,6685127528.446,-122.1314383,37.4230027,0.0015506420553158648,0.010031237128291928,POINT (-122.1314383 37.4230027)
100877,45063433.46100001,-121.9922735,37.9472021,1.0452643541087118e-05,0.00011987776931196024,POINT (-121.9922735 37.9472021)
100923,1703040303.464,-122.2665586,37.7778756,0.00039502700662212244,0.0030956514264791077,POINT (-122.2665586 37.7778756)
101030,261126782.93099996,-122.2600169,37.7694244,6.0569401205764326e-05,0.0005882331088701669,POINT (-122.2600169 37.7694244)
101058,31113438.720000014,-122.2431889,37.7619339,7.216886493104803e-06,8.544134656814788e-05,POINT (-122.2431889 37.7619339)
101100,4959046860.735,-122.2291091,37.7651359,0.0011502707440983295,0.007784753955385022,POINT (-122.2291091 37.7651359)
101101,989942884.4409999,-122.2322034,37.7670054,0.00022962120953461286,0.0019240143745740247,POINT (-122.2322034 37.7670054)
101180,2146497428.0819998,-122.2794672,37.7754525,0.0004978886594830613,0.0037865100129132255,POINT (-122.2794672 37.7754525)
101181,1499245566.5359998,-122.2820141,37.7756882,0.00034775600268271826,0.002769532097161218,POINT (-122.2820141 37.7756882)
101292,283337069.328,-122.2411914,37.7532858,6.572116592547252e-05,0.0006329007114938895,POINT (-122.2411914 37.7532858)
101293,12250338.652,-122.244508,37.7553715,2.8415150234341715e-06,3.628948048363378e-05,POINT (-122.244508 37.7553715)
101344,1752887516.0519998,-122.2820141,37.7756882,0.00040658926685580124,0.003174529887082881,POINT (-122.2820141 37.7756882)
10136,1964662.2179999996,-121.7876577,38.0041204,4.55711255583051e-07,6.654025261793706e-06,POINT (-121.7876577 38.0041204)
101371,60564225.08400001,-122.2481811,37.7578468,1.40481141254604e-05,0.00015695989376134092,POINT (-122.2481811 37.7578468)
101379,343090325.96299994,-122.2456951,37.7608053,7.958117267718383e-05,0.0007511454420993036,POINT (-122.2456951 37.7608053)
101426,1127429003.496,-122.268888,37.7728439,0.0002615116644768247,0.002157218002193161,POINT (-122.268888 37.7728439)
101486,101854716.28500003,-122.246503,37.7673459,2.3625608626272673e-05,0.0002516878453096984,POINT (-122.246503 37.7673459)
101487,81851905.59999998,-122.2489262,37.7684017,1.8985876722774825e-05,0.00020641094286631033,POINT (-122.2489262 37.7684017)
10152,19282452.1,-121.8692825,37.3667757,4.472641849934043e-06,5.509190600726163e-05,POINT (-121.8692825 37.3667757)
101530,21305280.24899999,-122.2559175,37.7583992,4.941844925742123e-06,6.037833372065775e-05,POINT (-122.2559175 37.7583992)
101546,4209449231.735,-122.2403711,37.760281,0.0009763985773899921,0.006768043119057625,POINT (-122.2403711 37.760281)
101583,31499115.720000006,-122.2768662,37.771738,7.306345815073349e-06,8.641045175130434e-05,POINT (-122.2768662 37.771738)
101648,2050661016.9919994,-122.2489111,37.7373262,0.0004756590208061101,0.003639176461569251,POINT (-122.2489111 37.7373262)
101720,42087918.113,-122.3074118,37.8938075,9.762460860919282e-06,0.00011262917953573369,POINT (-122.3074118 37.8938075)
101721,735314189.519,-122.3074566,37.8939415,0.0001705590658199022,0.001479843606836731,POINT (-122.3074566 37.8939415)
101757,1432210173.3,-122.2971856,37.8847665,0.00033220687523465275,0.002660894904218377,POINT (-122.2971856 37.8847665)
10176,15455810.100000001,-122.3238023,37.9768703,3.585036940291078e-06,4.495185246549733e-05,POINT (-122.3238023 37.9768703)
101773,48938041.43400001,-122.2960154,37.8904349,1.1351374349920705e-05,0.00012924869775681844,POINT (-122.2960154 37.8904349)
101843,66885245.504,-122.2964621,37.865347,1.5514300081383486e-05,0.0001718014552916552,POINT (-122.2964621 37.865347)
101967,830297246.247,-122.2718851,37.8486854,0.00019259076554113797,0.0016476030226973998,POINT (-122.2718851 37.8486854)
101984,457087997.52000016,-122.2657469,37.8495034,0.00010602338832261384,0.0009703102358656383,POINT (-122.2657469 37.8495034)
102109,3296537.7660000003,-122.2553518,37.8567459,7.646451133722603e-07,1.0769150149899683e-05,POINT (-122.2553518 37.8567459)
102124,670750755.678,-122.2834439,37.8526316,0.00015558331923564363,0.0013642057540579318,POINT (-122.2834439 37.8526316)
102151,87492788.88000005,-122.257114,37.8565176,2.0294302150094908e-05,0.0002192833927505015,POINT (-122.257114 37.8565176)
102190,3654725.1740000006,-122.2601386,37.8561263,8.477281145814375e-07,1.1851837429524948e-05,POINT (-122.2601386 37.8561263)
102194,8931742.332000002,-122.2527672,37.8847636,2.071753340278267e-06,2.711327480614105e-05,POINT (-122.2527672 37.8847636)
102207,288983595.2219999,-122.2619054,37.8683604,6.70309001796673e-05,0.0006441908705813605,POINT (-122.2619054 37.8683604)
10233,2268265112.1900005,-121.9964139,37.3788848,0.0005261331606018268,0.0039722823285538245,POINT (-121.9964139 37.3788848)
102389,8342510.399999999,-122.2609301,37.8658359,1.9350786380820306e-06,2.545666112891723e-05,POINT (-122.2609301 37.8658359)
102412,3397320181.696,-122.292142,37.8605779,0.0007880219975901849,0.005631193022024347,POINT (-122.292142 37.8605779)
102441,8537041.405,-122.2742635,37.8630798,1.9802008823671716e-06,2.600461633004674e-05,POINT (-122.2742635 37.8630798)
10245,4150026.414,-122.009731,38.2878339,9.626152172621293e-07,1.333569779426699e-05,POINT (-122.009731 38.2878339)
102465,780222228.144,-122.2765034,37.8627907,0.00018097566490755815,0.0015594940859681404,POINT (-122.2765034 37.8627907)
102489,2470324.808,-122.289161,37.8611467,5.730017148177477e-07,8.235396740084941e-06,POINT (-122.289161 37.8611467)
102543,5746366.079999999,-122.2630676,37.8911935,1.3328925844680007e-06,1.8031582948304555e-05,POINT (-122.2630676 37.8911935)
102657,2184319.334,-122.2933118,37.8809921,5.066616017611399e-07,7.344273986284194e-06,POINT (-122.2933118 37.8809921)
10270,687478619.9820002,-122.0074179,37.3767235,0.00015946341423383575,0.0013942996235444915,POINT (-122.0074179 37.3767235)
102798,100529958.34200001,-122.2601516,37.8750816,2.3318325725417212e-05,0.00024871958133022875,POINT (-122.2601516 37.8750816)
102803,872001094.6119998,-122.27075,37.8836554,0.00020226413988861535,0.0017204458475042381,POINT (-122.27075 37.8836554)
102928,3809524514.5,-122.2734813,37.8758199,0.0008836344404507747,0.006213246505076496,POINT (-122.2734813 37.8758199)
10298,89079079.325,-122.0757002,37.6176109,2.066224856031611e-05,0.00022288785444464547,POINT (-122.0757002 37.6176109)
102981,2013012051.6599998,-122.2739585,37.879441,0.00046692619278831786,0.00358101542772921,POINT (-122.2739585 37.879441)
10302,2055994288.026,-121.9083574,37.6797345,0.00047689609434323107,0.003647402394487697,POINT (-121.9083574 37.6797345)
103025,3270779733.8059993,-122.2663352,37.8744949,0.0007586704348321364,0.005450245223781791,POINT (-122.2663352 37.8744949)
10303,1923264435.4740005,-121.9110613,37.6784704,0.0004461088744304873,0.0034417065556250734,POINT (-121.9110613 37.6784704)
10310,66346001.235000014,-121.9146552,37.6775671,1.5389220217455475e-05,0.00017054092664399627,POINT (-121.9146552 37.6775671)
10311,227734596.50399998,-121.9110613,37.6784704,5.282395007228532e-05,0.0005202390953343536,POINT (-121.9110613 37.6784704)
10312,6326156332.57,-121.916326,37.6771429,0.0014673772513755054,0.00957357807921728,POINT (-121.916326 37.6771429)
10313,720295878.1230001,-121.9212835,37.675658,0.00016707550845298982,0.0014530665070198888,POINT (-121.9212835 37.675658)
103157,1557929587.564,-122.279556,37.8558472,0.00036136799596090936,0.002864063153786251,POINT (-122.279556 37.8558472)
103187,14975834.655999998,-122.2824145,37.8751198,3.4737047172604245e-06,4.366547182031329e-05,POINT (-122.2824145 37.8751198)
103211,742890025.224,-122.2867252,37.8524879,0.0001723163111975483,0.0014933239546344329,POINT (-122.2867252 37.8524879)
103229,74690625.67199999,-122.290013,37.8627183,1.732478921487092e-05,0.00018993811209388125,POINT (-122.290013 37.8627183)
10327,12041640.073,-122.062485,37.6933723,2.7931065537221082e-06,3.57192412941612e-05,POINT (-122.062485 37.6933723)
103287,762063451.632,-122.2889089,37.8592884,0.00017676366410237162,0.0015273612530443455,POINT (-122.2889089 37.8592884)
103322,637216101.4350001,-122.2702054,37.8817769,0.00014780482212270075,0.0013035820584444994,POINT (-122.2702054 37.8817769)
103335,23871309.150000002,-122.2686925,37.8752496,5.5370455875268816e-06,6.702067380266565e-05,POINT (-122.2686925 37.8752496)
103358,800070977.673,-122.2671867,37.8620722,0.00018557966171003245,0.0015945053387824114,POINT (-122.2671867 37.8620722)
103359,2894748106.8399997,-122.2673065,37.8638991,0.0006714483956980722,0.004905651259421222,POINT (-122.2673065 37.8638991)
10337,30132756.368000004,-122.0712153,37.988106,6.9894133010906505e-06,8.29721216659445e-05,POINT (-122.0712153 37.988106)
103481,3796822.053,-122.2668319,37.8863014,8.806880537252982e-07,1.2279048105028367e-05,POINT (-122.2668319 37.8863014)
103484,22596387.276,-122.2668442,37.8840929,5.241322362105321e-06,6.372890699436562e-05,POINT (-122.2668442 37.8840929)
103489,146216697.0,-122.2668442,37.8840929,3.3915547398731794e-05,0.0003490465032770892,POINT (-122.2668442 37.8840929)
103659,5109526.812,-122.2367568,37.8540333,1.1851751703670133e-06,1.6172449974139262e-05,POINT (-122.2367568 37.8540333)
10366,22801973.985,-122.1283858,38.0218222,5.289009021130581e-06,6.426082312866967e-05,POINT (-122.1283858 38.0218222)
103757,66333605.98200001,-122.2506599,37.8643583,1.5386345088969696e-05,0.000170511939780601,POINT (-122.2506599 37.8643583)
104025,801778393.1999999,-122.3197421,37.9355744,0.00018597570356724454,0.001597511676695914,POINT (-122.3197421 37.9355744)
104049,267804715.43999994,-122.3179004,37.9354364,6.21183743475562e-05,0.0006017076906497103,POINT (-122.3179004 37.9354364)
104089,1243360567.02,-122.3118519,37.9290949,0.00028840245409510824,0.0023508127144180394,POINT (-122.3118519 37.9290949)
104097,815020.3039999999,-122.3127012,37.927941,1.890472177144091e-07,2.9266908356588508e-06,POINT (-122.3127012 37.927941)
104183,7466682.107999999,-122.2920108,37.9023276,1.731926764459305e-06,2.297621852542205e-05,POINT (-122.2920108 37.9023276)
104202,420345746.4360001,-122.3156194,37.9243128,9.750087629941099e-05,0.0009004838894446204,POINT (-122.3156194 37.9243128)
104274,3236547317.999999,-122.3085907,37.9188813,0.0007507300891352184,0.0054011008798354665,POINT (-122.3085907 37.9188813)
104346,6557738.85,-122.3226053,37.9311954,1.521093742089386e-06,2.037669484788288e-05,POINT (-122.3226053 37.9311954)
10437,475249659.466,-122.0303999,37.9758528,0.00011023605841575171,0.0010045686892018561,POINT (-122.0303999 37.9758528)
10444,1723905054.2399988,-122.0385226,37.9780045,0.00039986666897549996,0.003128708525072732,POINT (-122.0385226 37.9780045)
104453,73967084.64600001,-122.2947149,37.8436149,1.7156960981394757e-05,0.00018826516141329147,POINT (-122.2947149 37.8436149)
104456,37947669.760000005,-122.2947149,37.8436149,8.802113703995798e-06,0.00010246116892166719,POINT (-122.2947149 37.8436149)
104518,3310304.8720000004,-122.2812023,37.8353542,7.678384486456345e-07,1.0810924623645847e-05,POINT (-122.2812023 37.8353542)
104527,465200341.31999993,-122.2813765,37.835893,0.00010790507889769022,0.0009856328966738775,POINT (-122.2813765 37.835893)
104537,79252536.339,-122.2909399,37.8450328,1.8382942631203522e-05,0.00020044921227827805,POINT (-122.2909399 37.8450328)
104545,360629695.4550001,-122.2934353,37.8340162,8.364949954788178e-05,0.0007853747045401322,POINT (-122.2934353 37.8340162)
104583,6336791.849999997,-122.2947671,37.842591,1.4698442021609353e-06,1.9740528176986906e-05,POINT (-122.2947671 37.842591)
104591,42814231.849999994,-122.2932721,37.8383914,9.930932235796348e-06,0.00011440291132376059,POINT (-122.2932721 37.8383914)
104682,2650283404.686,-121.9586401,37.5297887,0.0006147438307384299,0.004545603327445979,POINT (-121.9586401 37.5297887)
104752,5673292939.191,-121.9433335,37.5463165,0.0013159429773333122,0.008728915296088087,POINT (-121.9433335 37.5463165)
104783,1405528680.8360002,-121.9897575,37.5494242,0.0003260179963931912,0.0026174543847603975,POINT (-121.9897575 37.5494242)
104794,3712057.8,-122.0194456,37.5643804,8.610266463804203e-07,1.20243579917738e-05,POINT (-122.0194456 37.5643804)
104795,4624870439.154,-122.0170532,37.5632041,0.001072757187177611,0.00733500208486253,POINT (-122.0170532 37.5632041)
104810,1876403823.12,-121.9808402,37.5446303,0.00043523936806059776,0.003368584883455167,POINT (-121.9808402 37.5446303)
