trip_id,DRIVEALONEFREE,DRIVEALONEPAY,SHARED2FREE,SHARED2PAY,SHARED3FREE,SHARED3PAY,WALK,BIKE,WALK_LOC,WALK_LRF,WALK_EXP,WALK_HVY,WALK_COM,DRIVE_LOC,DRIVE_LRF,DRIVE_EXP,DRIVE_HVY,DRIVE_COM,TAXI,TNC_SINGLE,TNC_SHARED
1074185,-1.6347571062442552,-1.6484022406979715,-1000.627631654267,-1000.6354288739548,-1000.6247814734761,-1000.6302395272576,-195.82941613939946,-1087.965321569907,-1998.6255067262334,-1998.6255067262334,-1998.6255067262334,-1998.6255067262334,-1998.6255067262334,-1998.3337717325812,-1998.3324667262334,-1998.3360440356855,-1998.3324667262334,-1998.3324667262334,-18.11800841075609,-14.895406860063918,-13.62404804730737
1074186,-0.7806954010380232,-0.7864809946450739,-999.7735699490607,-999.7768760025505,-999.7707197682698,-999.7730340057126,-9.914626083818773,-1000.6651233512557,-1000.721154006206,-1998.6329698025193,-1999.8916540064743,-1998.6329698025193,-1998.6329698025193,-1998.572531288285,-1998.3399298025192,-1998.664801092763,-1998.3399298025192,-1998.3399298025192,-9.543291054396164,-9.644521842117802,-9.667873333642309
1074189,-0.5989108719728945,-0.6033855889841212,-999.5915304049436,-999.5940873860928,-999.5885782181318,-999.5903681049363,-1.230964213160374,-999.4698270078397,-1000.3381073611356,-1998.6329698025193,-1999.3298198605455,-1998.6329698025193,-1998.6329698025193,-1998.3399298025192,-1998.3399298025192,-1998.3399298025192,-1998.3399298025192,-1998.3399298025192,-8.741850094069433,-8.976988889410812,-9.247499455100758
1074190,-2.1636210098352753,-2.1815664061049045,-1001.1629849728223,-1001.1732394849763,-1001.1627305580171,-1001.1699087165249,-111.37824579283365,-1045.743467934767,-1998.6329698025193,-1998.6329698025193,-1998.8529698025193,-1998.6329698025193,-1998.6329698025193,-1998.3399298025192,-1998.3399298025192,-1998.3399298025192,-1998.3399298025192,-1998.3399298025192,-20.461969889044013,-16.936688021460693,-13.263374685585415
1929609,-0.7068677425347334,-0.7106729263458519,-999.7068677425348,-999.7090421332839,-999.7068677425348,-999.7083898160591,-41.40058903685449,-1010.7535145021521,-1998.6307196932685,-1998.6307196932685,-1998.6307196932685,-1998.6307196932685,-1998.6307196932685,-1998.7955273946993,-1998.3376796932685,-1998.9215149745219,-1998.3376796932685,-1998.3376796932685,-15.14179828960071,-13.284380472270358,-10.167535625549485
1929613,-0.4743928651544355,-0.47955929282648363,-999.4743928651544,-999.4773451095384,-999.4743928651544,-999.4764594362233,-28.22012143126367,-1004.1632809377753,-1001.310914112838,-1998.6307196932685,-2000.310914112838,-1998.6307196932685,-1998.6307196932685,-1998.3376796932685,-1998.3376796932685,-1998.3376796932685,-1998.3376796932685,-1998.3376796932685,-13.267819769568817,-11.964381306475028,-9.506987202542284
1929937,-0.4165559094937172,-0.4213602311344063,-1.6121559094937172,-1.6149012361455395,-0.6001559094937172,-0.6020776381499928,-11.0541747604701,-1000.8769327409121,-1000.9142659044448,-1998.6242635833883,-1999.7981659060902,-1998.6242635833883,-1998.6242635833883,-999.9405829456254,-1998.331223583388,-1998.9733925393027,-1998.331223583388,-1998.331223583388,-75.202924700915,-74.61038034202515,-74.25169036083852
1929941,-1.3211332832933032,-1.3340167080481626,-2.4103622689550557,-2.4177242259578327,-1.355813863219757,-1.3609672331217006,-22.259140351900765,-1001.9974291331622,-1001.5133090840451,-2000.9509396053163,-2000.4188090862506,-1998.6242635833883,-1998.6242635833883,-1998.331223583388,-1998.331223583388,-1998.331223583388,-1998.331223583388,-1998.331223583388,-78.30824862246901,-77.6637540607104,-76.00589535712638
1929942,-0.7332674928283917,-0.7391397889429492,-1.8496364371846203,-1.8529920349643676,-0.805944014927112,-0.8082929333729351,-18.422702917928948,-1001.6046855754569,-1001.3093939187772,-2000.2380034703176,-2000.4188439175136,-1998.6141525196554,-1998.6141525196554,-1998.3211125196553,-1998.3211125196553,-1998.3211125196553,-1998.3211125196553,-1998.3211125196553,-76.91473871914364,-76.38016780112262,-74.85617812219108
2342233,-3.1519682533860185,-1002.151968253386,-1002.151968253386,-2001.151968253386,-1002.151968253386,-2001.151968253386,-216.51946911617043,-1098.3038578230453,-1998.6125262557389,-1998.6125262557389,-1998.6125262557389,-1998.6125262557389,-1998.6125262557389,-1998.539992313478,-1998.3194862557389,-1998.9810044289566,-1998.3194862557389,-1998.3194862557389,-30.887515005036267,-24.61188268901958,-16.211088157383262
