1. Record Type,2. Sample Number,3. Phone,4. Month,5. Day,6. Year,7. Day of Week,8. Advance Letter,9. Address,10. City,11. State,12. Zip Code,13. HH County,14. HH Study Area,15. HH Zone,16. Longitude,17. Latitude,18. Number Persons,19. Number Employed,20. Vehicles Available,21. Vehicles Owned / Leased ,22. Bikes,23. Residence,24. Other Residence,25. Tenure,26. Previous Residence,27. Previous Zip Code,28. HH Factors ,29. Other Factors,30. Income,31. Day Visitors,32. Overnight Visitors,33. Delivery Vehicle,34. Number of Delivery Drivers,35. HH Vehicle Use by Non HH Member,36. GPS House,37. Total HH Trips
1,27,,2,7,2018,3,1,,Austin,TX,78620,5,AU,,-97.700,30.370,1,1,1,1,0,4,,3,1,78724,3,,5,0,0,,,2,1,4
1,47,,8,1,2017,2,1,,AUSTIN,TEXAS,78753,5,AU,,-97.678,30.352,1,1,1,1,0,4,,5,,,3,,7,0,0,,,2,2,6
1,128,,8,3,2017,4,1,,AUSTIN,TEXAS,78739,5,AU,,-97.870,30.189,3,1,2,2,0,1,,2,1,78745,4;5;6,,22,0,0,,,2,2,8
1,150,,8,21,2018,2,1,,AUSTIN,TX,78704,5,AU,,-97.769,30.252,3,1,1,1,3,1,,1,1,78704,3;4;5;6;96,PROXIMITY TO STORES,25,2,0,,,2,2,26
1,151,,8,4,2017,5,1,,AUSTIN,TEXAS,78759,5,AU,,-97.772,30.406,3,1,2,2,4,1,,5,,,1;3;6,,23,1,0,,,2,2,8
1,203,,8,4,2017,5,1,,AUSTIN,TEXAS,78747,5,AU,,-97.788,30.144,2,2,2,2,0,1,,5,,,6,,16,2,2,,,2,2,5
1,208,,8,2,2017,3,1,,AUSTIN,TEXAS,78758,5,AU,,-97.702,30.382,2,2,2,2,0,1,,1,1,78753,1;3;6;8,,19,0,0,,,2,2,4
1,221,,8,2,2017,3,1,,AUSTIN,TEXAS,78726,5,AU,,-97.849,30.408,3,2,2,2,0,4,,5,,,6,,22,0,0,,,2,2,6
1,224,,8,4,2017,5,1,,AUSTIN,TEXAS,78759,5,AU,,-97.741,30.411,1,1,3,3,2,1,,5,,,3,,14,0,0,,,2,2,7
1,279,,8,4,2017,5,1,,AUSTIN,TEXAS,78704,5,AU,,-97.790,30.254,2,0,2,2,0,1,,5,,,3;6,,21,0,0,,,2,2,3
1,289,,8,4,2017,5,1,,AUSTIN,TEXAS,78731,5,AU,,-97.748,30.323,4,2,2,2,6,1,,5,,,3;4;6,,25,2,0,,,2,2,9
1,311,,8,2,2017,3,1,,AUSTIN,TEXAS,78701,5,AU,,-97.750,30.267,2,2,1,1,0,2,,4,1,78701,3;6,,23,0,0,,,2,2,12
1,324,,8,4,2017,5,1,,AUSTIN,TEXAS,78756,5,AU,,-97.742,30.317,2,0,2,2,0,1,,5,,,7,,20,1,0,,,2,2,8
1,349,,8,2,2017,3,1,,AUSTIN,TEXAS,78757,5,AU,,-97.750,30.339,2,2,2,2,0,1,,5,,,3,,23,0,0,,,2,2,4
1,380,,8,2,2017,3,1,,AUSTIN,TEXAS,78758,5,AU,,-97.711,30.364,1,1,1,1,0,1,,1,1,78758,1,,10,1,0,,,2,1,6
1,516,,8,1,2017,2,1,,AUSTIN,TEXAS,78741,5,AU,,-97.704,30.222,4,1,1,1,0,4,,5,,,1;7,,5,0,0,,,2,2,2
1,518,,8,3,2017,4,1,,AUSTIN,TEXAS,78751,5,AU,,-97.733,30.316,2,1,1,1,0,4,,2,1,78731,98,,15,0,0,,,2,2,4
1,564,,10,18,2017,3,1,,Austin,Texas,78704,5,AU,,-97.761,30.263,1,0,1,1,0,2,,5,,,96,0,21,0,0,,,2,1,8
1,615,,4,11,2018,3,1,,Austin,TX,78734,5,AU,,-97.920,30.417,1,1,1,1,0,1,,2,2,1945,96,LOVE...MOVED CLOSER TO GIRLFRIEND,7,0,0,,,2,1,10
1,659,,1,10,2018,3,1,,Austin,TX,78751,5,AU,,-97.730,30.312,2,2,2,2,2,3,,5,,,6,,24,0,0,,,2,1,9
1,714,,5,23,2018,3,1,,AUSTIN,TX,78702,5,AU,,-97.701,30.261,2,0,0,0,0,1,,5,,,6,,6,0,0,,,3,2,2
1,861,,11,14,2017,2,1,,AUSTIN,TX,78704,5,AU,,-97.773,30.242,2,1,2,2,2,2,,2,1,78723,3;6,,13,0,0,,,2,2,13
1,917,,4,10,2018,2,1,,Manchaca,TX,78652,5,AU,,-97.829,30.137,2,2,3,3,2,1,,2,1,78749,1;6,,23,0,0,,,2,1,11
1,922,,8,20,2018,1,1,,Pflugerville,TX,78660,5,AU,,-97.636,30.471,3,2,2,2,2,1,,3,2,78728,1,,23,0,0,,,2,2,8
1,947,,12,6,2017,3,1,,Austin,TX,78730,5,AU,,-97.829,30.335,2,1,2,1,0,1,,3,2,999999,6,,22,0,0,,,2,2,5
1,989,,10,18,2017,3,1,,AUSTIN,TX,78704,5,AU,,-97.786,30.245,2,2,3,3,0,3,,4,1,78704,1;96,0,19,0,0,,,2,2,13
1,1137,,4,5,2018,4,1,,Austin,TX,78724,5,AU,,-97.644,30.302,3,1,0,0,0,1,,5,,,1,,5,0,0,,,3,2,8
1,1265,,3,28,2018,3,1,,CEDAR PARK,TX,78613,5,AU,,-97.851,30.480,2,0,1,1,0,1,,5,,,4,,2,0,0,,,2,2,3
1,1274,,8,2,2017,3,1,,AUSTIN,TEXAS,78725,5,AU,,-97.661,30.281,2,1,1,1,0,1,,5,,,1;8,,7,1,0,,,2,2,2
1,1436,,5,4,2018,5,1,,Austin,TX,78730,5,AU,,-97.840,30.390,2,2,2,2,0,4,,1,2,999998,96,LOCATION,13,0,0,,,2,2,4
1,1437,,3,23,2018,5,1,,Austin,TX,78736,5,AU,,-97.914,30.240,1,0,2,2,0,1,,5,,,6,,13,0,0,,,2,2,2
1,1595,,10,18,2017,3,1,,Austin,Texas,78705,5,AU,,-97.749,30.284,1,1,1,1,2,4,,1,2,99998,96,0,12,1,1,,,2,1,5
1,1831,,11,27,2017,1,1,,Austin,TX,78741,5,AU,,-97.718,30.229,2,1,1,1,1,4,,1,2,76549,1;5;6,,3,0,0,,,2,2,4
1,1868,,12,18,2017,1,1,,Austin,TX,78727,5,AU,,-97.684,30.424,3,2,2,2,1,1,,5,,,1;3;6;8,,25,0,0,,,2,2,12
1,1885,,1,22,2018,1,1,,Lakeway,TX,78738,5,AU,,-97.990,30.355,2,2,2,2,2,1,,5,,,1;6;8,,24,0,0,,,2,2,9
1,1933,,1,19,2018,5,1,,Austin,TX,78758,5,AU,,-97.714,30.405,2,2,2,2,3,4,,1,2,92008,3,,18,1,1,,,2,2,8
1,2880,,1,24,2018,3,1,,Austin,TX,78739,5,AU,,-97.889,30.187,2,0,1,1,0,1,,5,,,6,,12,0,0,,,2,2,6
1,2886,,11,1,2017,3,1,,West Lake Hills,TX,78746,5,AU,,-97.799,30.294,5,1,2,2,5,1,,3,1,78746,6;8,,25,0,0,,,2,2,22
1,2977,,2,12,2018,1,1,,PFLUGERVILLE,TX,78660,5,AU,,-97.612,30.473,4,2,1,1,0,1,,5,,,1;2,,20,0,0,,,2,2,10
1,3162,,12,6,2017,3,1,,Austin,TX,78617,5,AU,,-97.637,30.160,3,2,3,3,2,1,,5,,,1;5;6,,20,0,0,,,2,2,8
1,3217,,8,2,2017,3,1,,MANOR,TEXAS,78653,5,AU,,-97.547,30.353,4,2,2,1,2,1,,5,,,8,,22,0,0,,,2,1,14
