,0:,10,11,12,13,14,15,16,17,18,19,20,21,22,23,4:,5:,6:,7:,8:,9:,1:,2:,3:
1 North Lamar/South Congress,19.590773095623355,14.59812216586165,14.624033480302975,14.457701438904442,13.974102686153833,13.442420371759354,12.668473502113775,12.37284134468532,12.651964988117882,14.031948568319054,15.064081558371504,16.21506157229334,17.096433712312628,17.142888932734156,17.192730325808302,12.99429302417222,13.182830784366294,14.792531637269478,14.00007954237329,14.242730725903288,14.384455764412335,,,
10 South 1st/Red River,13.413042689932581,11.819361322434807,11.612199751272666,11.441121577938093,11.325772803959474,10.917496596043181,10.37917574557869,9.823292187517772,10.143274142931503,11.585694757155764,12.412958039637147,12.919483703794663,13.330634902448589,13.733309719559035,13.728750877747352,11.924942791799221,12.797398132237237,11.153908557674542,10.896128757681659,11.568125421633308,12.12556925828656,,,
103 Menchaca Flyer,,,,,,,,4.75986040358706,9.004136165964766,11.974818933580563,,,,,,,,13.360125322471898,11.606637401125944,10.59621709872567,,,,
105 South 5th Flyer,,,,,,,9.473328165706508,9.660763121189364,8.874707968606508,11.807599370342555,,,,,,,,10.010419074934958,10.389912614944679,10.44160417825087,8.973868726734418,,,
111 South Mopac Flyer,,,,,,,,11.916239177857753,14.496834238428589,16.491811427203164,,,,,,,,23.214975259088796,15.077793646669392,14.952145366280481,,,,
135 Dell Limited,,,,,,,,,,26.035767451309727,26.035767451309727,,,,,,25.62913630844035,25.62913630844035,28.879351262720913,,,,,
142 Metric Flyer,,,,,,,,11.316103744197532,12.25820382805452,15.56076362293448,,,,,,,,13.158379698866332,11.91224891252108,12.671546598208446,,,,
150 150 ROUND ROCK HOWARD LIMITED,,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,21.91322428811177,23.06655188222292,23.276188261873614,,,,,,19.06489928378108,21.91322428811177,21.91322428811177,21.91322428811177,,,
152 Round Rock Tech Ridge LIMITED,,,,,,,,20.32897778803066,19.952515236400462,,,,,,,,,22.542282758711107,21.5487164553125,19.782376360381644,,,,
17 Cesar Chavez,12.93833450769779,10.982061908930874,10.982061908930874,10.982061908930874,10.982061908930874,10.671970731897215,10.00785636057524,9.06996159822387,9.028097775630053,11.167907616951801,11.634461626293103,11.701320710673551,12.567707211289877,12.567707211289877,12.59014954559575,,11.596190370943456,11.234964331836242,11.09438826991915,11.101011611491705,10.988922174096672,,,
