,route_id,numPassengers,Trips,Rate,Trips_By_Route,,,route_id,Trips_By_Route,,,route_id,Trips_By_Route,
0,1,46590,3495.99328,0.043473311,3496,,,0,1120,,,1,3496,2492
1,2,14571,1093.37021,0.013596257,1093,,,1,2492,,,2,1093,910
2,3,88330,6628.055085,0.082421069,6628,,,2,910,,,3,6628,2343
3,4,22034,1653.374456,0.020560012,1653,,,3,2343,,,4,1653,1726
4,5,24003,1801.123131,0.022397293,1801,,,4,1726,,,5,1801,414
5,6,11265,845.2965078,0.010511416,845,,,5,414,,,6,845,1042
6,7,81201,6093.113336,0.075768971,6093,,,6,1042,,,7,6093,4487
7,10,104670,7854.166486,0.097667987,7854,,,7,4487,,,10,7854,4974
8,17,16341,1226.186439,0.015247851,1226,,,10,4974,,,17,1226,1112
9,18,29981,2249.696813,0.027975388,2250,,,17,1112,,,18,2250,670
10,19,32678,2452.072728,0.03049197,2452,,,18,670,,,19,2452,748
11,20,77305,5800.767557,0.072133598,5801,,,19,748,,,20,5801,4977
12,30,20817,1562.053919,0.019424424,1562,,,20,4977,,,30,1562,670
13,50,4025,302.0256053,0.003755743,302,,,30,670,,,50,302,141
14,51,781,58.60422304,0.000728754,59,,,50,141,,,51,59,36
15,103,1895,142.1959061,0.001768232,142,,,51,36,,,103,142,123
16,105,3564,267.4333559,0.003325582,267,,,52,11,,,105,267,150
17,111,1151,86.3680675,0.001074003,86,,,103,123,,,111,86,139
18,135,210,15.75785767,0.000195952,16,,,105,150,,,135,16,#N/A
19,142,2598,194.9472106,0.002424204,195,,,111,139,,,142,195,120
20,150,413,30.99045341,0.000385372,31,,,142,120,,,150,31,#N/A
21,152,102,7.653816582,9.51766E-05,8,,,171,144,,,152,8,#N/A
22,171,638,47.87387234,0.00059532,48,,,201,281,,,171,48,144
23,201,672,50.42514454,0.000627046,50,,,217,326,,,201,50,281
24,214,348,26.11302128,0.00032472,26,,,228,170,,,214,26,#N/A
25,217,782,58.67926046,0.000729687,59,,,233,69,,,217,59,326
26,228,2987,224.136766,0.002787181,224,,,243,790,,,228,224,170
27,233,449,33.69180044,0.000418964,34,,,271,783,,,233,34,69
28,237,1222,91.69572414,0.001140253,92,,,300,5742,,,237,92,#N/A
29,243,3510,263.3813353,0.003275195,263,,,310,965,,,243,263,790
30,271,752,56.42813794,0.000701694,56,,,311,1982,,,271,56,783
31,300,54706,4104.99696,0.051046383,4105,,,318,802,,,300,4105,5742
32,310,4676,350.8749641,0.004363194,351,,,322,461,,,310,351,965
33,311,21799,1635.740663,0.020340732,1636,,,323,502,,,311,1636,1982
34,315,6866,515.2069083,0.006406691,515,,,324,1112,,,315,515,#N/A
35,318,19653,1474.710365,0.018338291,1475,,,325,2583,,,318,1475,802
36,322,9848,738.9684872,0.009189207,739,,,333,2177,,,322,739,461
37,323,4328,324.7619428,0.004038474,325,,,335,625,,,323,325,502
38,324,17611,1321.483959,0.016432893,1321,,,337,1450,,,324,1321,1112
39,325,40764,3058.825286,0.038037048,3059,,,345,169,,,325,3059,2583
40,333,32808,2461.827592,0.030613273,2462,,,350,1160,,,333,2462,2177
41,335,18840,1413.704945,0.017579678,1414,,,383,1536,,,335,1414,625
42,337,32069,2406.374941,0.029923709,2406,,,465,62,,,337,2406,1450
43,339,6201,465.3070257,0.005786177,465,,,466,82,,,339,465,#N/A
44,345,5853,439.1940044,0.005461457,439,,,490,21,,,345,439,169
45,350,17759,1332.589497,0.016570992,1333,,,494,7,,,350,1333,1160
46,383,35624,2673.13296,0.033240894,2673,,,495,24,,,383,2673,1536
47,392,8117,609.0787176,0.007574004,609,,,496,7,,,392,609,#N/A
48,465,258,19.35965371,0.000240741,19,,,498,19,,,465,19,62
49,466,839,62.95639325,0.000782874,63,,,499,43,,,466,63,82
50,490,5,0.375187087,4.66552E-06,0,,,550,1665,,,490,0,21
51,550,1999,149.9997975,0.001865275,150,,,720,109,,,550,150,1665
52,640,1057,79.31455026,0.000986291,79,,,725,11,,,640,79,#N/A
53,641,415,31.14052825,0.000387238,31,,,730,27,,,641,31,#N/A
54,642,4156,311.855507,0.00387798,312,,,761,63,,,642,312,#N/A
55,656,3553,266.6079443,0.003315318,267,,,771,10,,,656,267,#N/A
56,661,1541,115.6326603,0.001437913,116,,,772,26,,,661,116,#N/A
57,663,5747,431.2400382,0.005362548,431,,,774,4,,,663,431,#N/A
58,670,550,41.27057961,0.000513207,41,,,775,31,,,670,41,#N/A
59,671,358,26.86339545,0.000334051,27,,,776,67,,,671,27,#N/A
60,672,484,36.31811005,0.000451622,36,,,801,7735,,,672,36,#N/A
61,680,215,16.13304476,0.000200617,16,,,803,4513,,,680,16,#N/A
62,801,56304,4224.906753,0.052537483,4225,,,935,134,,,801,4225,7735
63,803,47837,3589.564939,0.044636892,3590,,,980,283,,,803,3590,4513
64,935,648,48.62424652,0.000604651,49,,,981,193,,,935,49,134
65,980,1689,126.7381981,0.001576013,127,,,982,398,,,980,127,283
66,981,597,44.79733823,0.000557063,45,,,985,733,,,981,45,193
67,982,6963,522.4855378,0.006497203,522,,,987,171,,,982,522,398
68,985,2016,151.2754336,0.001881137,151,,,,,,,985,151,733
69,987,721,54.10197799,0.000672768,54,,,,,,,987,54,171
70,990,333,24.98746002,0.000310724,25,,,,,,,990,25,#N/A
,,1071692,,,,,,,,,,,,
