taz,parkingType,chargingType,reservedFor,pricingModel,feeInCents,parkingZoneId,numStalls
4.8491E+12,Public,NoCharger,Any,FlatFee,0,1,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,2,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,3,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,4,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,5,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,6,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,7,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,8,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,9,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,10,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,11,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,12,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,13,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,14,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,15,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,16,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,17,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,18,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,19,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,20,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,21,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,22,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,23,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,24,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,25,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,26,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,27,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,28,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,29,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,30,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,31,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,32,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,33,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,34,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,35,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,36,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,37,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,38,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,39,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,40,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,41,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,42,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,43,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,44,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,45,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,46,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,47,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,48,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,49,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,50,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,51,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,52,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,53,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,54,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,55,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,56,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,57,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,58,35
