GEOID,Unnamed: 0,membership_type,geometry,index_right,area
484530004012,10038,9764,10038,10038,10038
484530006012,119966,119344,119966,119966,119966
484530006035,40091,39992,40091,40091,40091
484530006042,45109,45029,45109,45109,45109
484530006043,45211,45095,45211,45211,45211
484530007001,29446,29349,29446,29446,29446
484530008041,578,578,578,578,578
484530008042,6423,6399,6423,6423,6423
484530009012,8944,8920,8944,8944,8944
484530009022,15855,15726,15855,15855,15855
484530009023,3463,3436,3463,3463,3463
484530009024,31699,31524,31699,31699,31699
484530010005,3220,3220,3220,3220,3220
484530011001,240862,239266,240862,240862,240862
484530011002,45791,45630,45791,45791,45791
484530012002,83661,83257,83661,83661,83661
484530013031,47901,47684,47901,47901,47901
484530013051,43583,43356,43583,43583,43583
484530013053,23073,22961,23073,23073,23073
484530014011,28862,28641,28862,28862,28862
484530016021,1197,1177,1197,1197,1197
484530016023,1589,1576,1589,1589,1589
484530016053,432,428,432,432,432
484530019011,1235,1226,1235,1235,1235
484530019111,33092,32959,33092,33092,33092
484530021112,209,209,209,209,209
484530023041,3418,3417,3418,3418,3418
484530023042,5239,5238,5239,5239,5239
