GEOID,Unnamed: 0,driver,geometry,index_right,area
480219501001,7,7,7,7,7
480219501002,6,6,6,6,6
480219501003,4,4,4,4,4
480219501004,3,3,3,3,3
480219501005,4,4,4,4,4
480219502001,3,3,3,3,3
480219502002,4,4,4,4,4
480219502003,5,5,5,5,5
480219502004,3,3,3,3,3
480219503001,5,5,5,5,5
480219503002,13,13,13,13,13
480219503003,8,8,8,8,8
480219503005,8,8,8,8,8
480219504001,10,10,10,10,10
480219504002,13,13,13,13,13
480219504003,15,15,15,15,15
480219504004,7,7,7,7,7
480219504005,5,5,5,5,5
480219505011,11,11,11,11,11
480219505012,4,4,4,4,4
480219505013,2,2,2,2,2
480219505021,15,15,15,15,15
480219505022,5,5,5,5,5
480219505023,3,3,3,3,3
480219506001,3,3,3,3,3
480219506002,7,7,7,7,7
480219506003,11,11,11,11,11
480219507001,17,17,17,17,17
480219507002,1,1,1,1,1
480219507003,2,2,2,2,2
480219507004,19,19,19,19,19
480219508011,2,2,2,2,2
480219508013,7,7,7,7,7
480219508021,9,9,9,9,9
480219508022,4,4,4,4,4
480539601001,5,5,5,5,5
480539601002,5,5,5,5,5
480539601003,10,10,10,10,10
480539602001,6,6,6,6,6
480539602002,1,1,1,1,1
480539603001,8,8,8,8,8
480539603002,2,2,2,2,2
480539603003,9,9,9,9,9
480539603004,7,7,7,7,7
480539603005,7,7,7,7,7
480539604002,14,14,14,14,14
480539604003,10,10,10,10,10
480539605001,8,8,8,8,8
480539605002,2,2,2,2,2
480539605003,5,5,5,5,5
480539605004,5,5,5,5,5
480539606001,6,6,6,6,6
480539606002,4,4,4,4,4
480539607001,11,11,11,11,11
480539607002,6,6,6,6,6
480539607003,4,4,4,4,4
480539607004,10,10,10,10,10
480539607005,6,6,6,6,6
480539608001,2,2,2,2,2
480539608002,10,10,10,10,10
480539608003,7,7,7,7,7
480559601011,4,4,4,4,4
480559601012,2,2,2,2,2
480559601013,3,3,3,3,3
480559601021,2,2,2,2,2
480559601022,10,10,10,10,10
480559602001,5,5,5,5,5
480559602002,13,13,13,13,13
480559602003,2,2,2,2,2
480559602004,1,1,1,1,1
480559603001,6,6,6,6,6
480559603002,17,17,17,17,17
480559603003,6,6,6,6,6
480559604001,15,15,15,15,15
480559604002,13,13,13,13,13
480559605001,3,3,3,3,3
480559605002,1,1,1,1,1
480559605003,2,2,2,2,2
480559605004,4,4,4,4,4
