GEOID,Unnamed: 0,driver,geometry,index_right,area
482090101001,1,1,1,1,1
482090102002,1,1,1,1,1
482090102003,2,2,2,2,2
482090103041,1,1,1,1,1
482090103042,1,1,1,1,1
482090106001,2,2,2,2,2
482090106002,1,1,1,1,1
482090107014,1,1,1,1,1
484530001013,1,1,1,1,1
484530002031,2,2,2,2,2
484530002042,2,2,2,2,2
484530002043,4,4,4,4,4
484530002051,1,1,1,1,1
484530003042,1,1,1,1,1
484530003051,1,1,1,1,1
484530004022,2,2,2,2,2
484530005004,2,2,2,2,2
484530006012,4,4,4,4,4
484530006031,1,1,1,1,1
484530006034,1,1,1,1,1
484530007001,3,3,3,3,3
484530008032,1,1,1,1,1
484530008033,1,1,1,1,1
484530008041,1,1,1,1,1
484530008042,1,1,1,1,1
484530009022,1,1,1,1,1
484530009023,1,1,1,1,1
484530010005,1,1,1,1,1
484530011001,18,18,18,18,18
484530011002,2,2,2,2,2
484530012002,3,3,3,3,3
484530013033,1,1,1,1,1
484530013051,6,6,6,6,6
484530013052,2,2,2,2,2
484530013053,3,3,3,3,3
484530013054,1,1,1,1,1
484530014011,1,1,1,1,1
484530014021,1,1,1,1,1
484530014022,2,2,2,2,2
484530014023,1,1,1,1,1
484530015011,1,1,1,1,1
484530015014,2,2,2,2,2
484530015041,1,1,1,1,1
484530015051,1,1,1,1,1
484530016031,1,1,1,1,1
484530017072,1,1,1,1,1
484530017191,1,1,1,1,1
484530017193,1,1,1,1,1
484530017223,1,1,1,1,1
484530017384,2,2,2,2,2
484530017491,1,1,1,1,1
484530017502,2,2,2,2,2
484530017512,1,1,1,1,1
484530017543,2,2,2,2,2
484530017771,1,1,1,1,1
484530017812,1,1,1,1,1
484530017863,1,1,1,1,1
484530018041,1,1,1,1,1
484530018052,1,1,1,1,1
484530018061,1,1,1,1,1
484530018213,2,2,2,2,2
484530018222,1,1,1,1,1
484530018232,1,1,1,1,1
484530018572,1,1,1,1,1
484530019103,1,1,1,1,1
484530019111,1,1,1,1,1
484530019141,1,1,1,1,1
484530019174,2,2,2,2,2
484530020021,1,1,1,1,1
484530020022,1,1,1,1,1
484530020041,1,1,1,1,1
484530021051,1,1,1,1,1
484530021052,2,2,2,2,2
484530022071,1,1,1,1,1
484530023042,2,2,2,2,2
484530023071,1,1,1,1,1
484530023152,1,1,1,1,1
484530023162,1,1,1,1,1
484530024024,2,2,2,2,2
484530024131,1,1,1,1,1
484530024133,1,1,1,1,1
484530024221,1,1,1,1,1
484530024223,1,1,1,1,1
484530024312,1,1,1,1,1
484530025002,2,2,2,2,2
484910203133,1,1,1,1,1
484910204032,1,1,1,1,1
484910204054,2,2,2,2,2
484910204102,2,2,2,2,2
484910205043,1,1,1,1,1
484910205093,1,1,1,1,1
484910206021,1,1,1,1,1
484910206022,2,2,2,2,2
484910206023,1,1,1,1,1
484910206033,1,1,1,1,1
484910207011,2,2,2,2,2
484910207012,1,1,1,1,1
484910207031,1,1,1,1,1
484910207032,1,1,1,1,1
484910207034,1,1,1,1,1
484910207061,1,1,1,1,1
484910207072,3,3,3,3,3
484910207083,1,1,1,1,1
484910208042,1,1,1,1,1
484910215022,1,1,1,1,1
484910215031,2,2,2,2,2
484910215041,1,1,1,1,1
484910215051,2,2,2,2,2
484910215052,4,4,4,4,4
484910215053,2,2,2,2,2
484910215071,1,1,1,1,1
484910215082,1,1,1,1,1
484910215083,1,1,1,1,1
