taz,coord-x,coord-y,area
4849100000123,2965472,3664299,0
4845300000055,2956926,3631039,0
4845300001536,2947914,3635487,0
4802100001207,3006428,3645482,0
4820900000708,2959828,3585137,0
4805300001762,2904920,3690826,0
4805500001259,2993912,3568783,0
4802100001203,3016092,3637855,0
4845300000537,2965261,3622825,0
4845300000393,2970566,3636308,0
4845300000236,2967644,3647587,0
4849100000117,2955137,3657386,0
4849100001008,2972301,3675858,0
4820900000578,2960591,3613685,0
4805300001824,2904556,3656535,0
4820900000899,2959517,3584579,0
4849100001949,2962422,3669294,0
4845300000048,2970704,3640050,0
4820900000693,2940826,3604273,0
4845300000012,2945072,3646445,0
4849100001703,2938678,3676717,0
4820900000820,2960708,3611282,0
4849100000974,3013867,3671666,0
4820900000587,2960199,3585743,0
4845300001448,2969448,3641913,0
4849100001533,2962360,3660365,0
4845300001662,2960707,3622727,0
4849100000552,2957100,3657938,0
4802100001149,3012484,3626253,0
4845300000499,2977647,3627743,0
4845300000183,2962409,3654707,0
4849100001052,2991820,3679303,0
4845300000232,2965424,3646702,0
4845300000335,2958810,3637720,0
4849100001482,2978067,3673904,0
4849100001063,2957771,3659769,0
4849100001710,2948269,3662105,0
4845300000451,2965907,3632675,0
4845300001607,2966733,3632793,0
4849100001024,2960059,3692211,0
4802100001386,3019200,3620472,0
4849100001071,2955045,3660979,0
4849100000935,2962718,3683569,0
4849100001735,2974375,3663475,0
4845300001478,2957128,3652898,0
4849100001422,2948542,3665787,0
4845300000011,2933633,3638786,0
4845300000268,2975624,3642721,0
4805300001809,2897058,3665711,0
4802100001209,3000201,3653025,0
4845300000210,2956722,3647425,0
4805300001844,2904308,3651748,0
4849100000937,2965818,3685968,0
4849100001014,2976616,3680759,0
4845300000443,2972765,3631629,0
4845300000022,2949743,3640077,0
4805300001790,2923327,3681704,0
4820900000689,2943512,3613534,0
4849100001018,2983438,3689250,0
4845300000613,2991399,3661208,0
4845300001571,2956182,3625514,0
4845300001901,2970769,3625927,0
4849100001123,2987054,3691214,0
4849100000854,2947596,3666989,0
4845300000618,2988085,3646090,0
4805300001807,2890467,3669610,0
4845300000078,2958278,3627583,0
4820900001692,2959478,3585407,0
4820900000738,2954403,3581142,0
4845300000291,2969763,3640728,0
4820900000728,2960246,3584531,0
4849100001968,2953596,3663250,0
4820900001083,2933359,3608165,0
4845300000024,2955565,3641087,0
4805500001295,2995436,3605000,0
4845300000532,2971711,3622412,0
4849100001036,2994562,3692452,0
4805500001262,2983356,3577187,0
4849100000989,3000817,3686677,0
4849100001944,2965197,3666015,0
4845300001582,2978686,3648302,0
4845300001558,2967991,3637882,0
4845300000615,2991959,3638361,0
4805300001787,2915981,3684213,0
4845300001884,2965363,3616680,0
4849100001403,2966432,3664370,0
4845300001528,2971962,3640609,0
4820900000279,2921347,3600001,0
4820900001088,2962472,3612501,0
4849100000110,2954540,3662197,0
4845300001637,2968532,3634897,0
4805300001829,2920300,3656465,0
4802100001171,3010565,3624152,0
4849100001954,2967430,3668575,0
4805500001234,3000452,3577650,0
4849100000995,2991135,3678872,0
4849100000164,2959660,3655924,0
4845300001439,2970299,3634132,0
4805300001831,2925209,3649703,0
4845300000487,2962567,3629369,0
4849100000146,2973143,3666029,0
4820900000832,2960626,3599287,0
4849100001427,2946770,3699106,0
4845300001676,2968206,3643651,0
4845300000392,2970046,3636040,0
4849100001062,2957519,3660356,0
4849100000657,2997201,3672708,0
4845300000172,2969292,3656307,0
4845300001603,2961340,3652716,0
4820900000585,2963721,3607943,0
4849100001106,3011120,3684212,0
4845300001109,2927238,3653941,0
4849100000148,2967854,3660739,0
4845300000085,2959312,3626425,0
4845300001864,2962980,3626773,0
4802100001215,3003619,3652246,0
4820900000902,2958735,3583650,0
4820900000793,2959262,3591367,0
4820900001912,2957404,3581392,0
4849100000648,2992387,3688317,0
4849100000139,2963172,3659648,0
4845300000206,2972789,3651179,0
4820900000916,2957591,3583800,0
4849100001017,2979135,3687725,0
4845300001463,2961198,3617837,0
4820900000812,2955673,3611533,0
4845300001442,2971114,3633645,0
4805500001307,2994356,3566085,0
4845300001332,2980016,3620069,0
4845300000328,2966255,3639722,0
4845300001870,2974720,3641053,0
4845300000226,2977468,3647434,0
4845300001579,2966851,3646231,0
4845300000333,2970133,3638308,0
4845300000488,2963604,3628451,0
4849100001343,2977405,3671335,0
4849100001066,2953568,3665183,0
4805300001823,2901018,3656436,0
4820900000682,2957260,3584095,0
4820900000802,2957918,3580724,0
4805500001856,2975978,3580204,0
4845300001488,2972063,3612937,0
4845300000340,2963714,3638265,0
4845300001460,2966769,3620053,0
4849100000961,2970018,3674798,0
4845300001565,2972018,3628908,0
4805300001819,2903063,3662808,0
4845300000606,2985154,3623615,0
4849100000882,3007273,3689479,0
4845300000630,2989521,3657796,0
4845300000195,2961421,3648870,0
4845300000529,2967309,3623621,0
4845300000517,2969153,3625076,0
4802100001162,3015372,3626139,0
4820900000590,2968191,3602272,0
4845300000594,2979126,3664288,0
4845300000497,2973483,3626653,0
4845300000480,2967824,3628869,0
4845300001516,2971101,3621968,0
4849100000990,3001345,3690719,0
4849100000111,2958503,3662253,0
4849100000003,2950393,3663223,0
4805500001315,2982473,3591066,0
4845300000566,2958204,3617175,0
4845300001697,2964505,3643520,0
4820900000677,2951893,3592051,0
4845300000600,2970117,3620477,0
4820900000697,2937663,3622905,0
4845300000622,2984956,3649572,0
4849100000881,2968474,3704504,0
4845300000253,2973803,3644255,0
4849100000969,2983949,3695087,0
4845300000287,2966073,3641587,0
4849100000929,2952058,3662815,0
4820900000726,2960677,3583674,0
4845300000357,2965557,3635721,0
4820900001089,2969156,3606262,0
4820900000739,2956499,3586395,0
4845300001656,2964582,3623209,0
4820900001922,2961173,3586154,0
4849100000891,2988546,3673503,0
4845300001902,2985248,3653730,0
4820900001861,2963889,3609013,0
4845300001557,2967167,3637263,0
4849100000112,2961229,3664699,0
4805300001766,2925787,3713541,0
4845300000203,2968189,3652391,0
4849100000496,2964706,3681963,0
4849100001708,2940547,3676226,0
4845300001642,2967032,3634322,0
4849100000983,3000952,3669825,0
4820900000700,2957909,3585752,0
4845300000293,2971098,3640614,0
4849100001058,2959248,3663471,0
4802100001208,2997814,3638943,0
4845300000354,2965037,3637348,0
4849100000888,2994109,3676674,0
4805300001834,2916406,3645985,0
4805300001816,2922089,3669938,0
4845300001653,2967217,3626894,0
4820900000692,2951687,3616269,0
4849100000946,2948327,3695817,0
4849100001426,2943158,3685132,0
4845300000212,2960005,3648510,0
4845300000576,2951792,3650040,0
4845300000413,2969304,3635092,0
4849100000850,2932378,3671083,0
4849100001120,2987753,3675856,0
4845300000043,2939378,3627760,0
4845300000320,2969126,3639814,0
4845300000269,2976908,3642906,0
4849100000876,2957438,3703729,0
4845300000018,2939246,3636233,0
4845300000220,2969299,3650178,0
4845300001316,2968620,3659403,0
4845300000160,2974403,3658666,0
4805500001278,2985684,3587698,0
4820900001092,2970762,3601946,0
4849100001011,2975403,3670675,0
4845300000395,2971951,3636897,0
4849100000567,2953075,3666826,0
4845300001098,2990538,3652082,0
4849100001430,2992318,3678352,0
4845300000464,2963228,3632136,0
4845300001599,2963768,3649290,0
4849100001948,2964904,3667091,0
4845300000316,2965731,3640645,0
4802100001193,3001080,3658555,0
4805500001242,2982616,3589654,0
4845300000332,2969339,3638672,0
4802100001225,3002688,3651576,0
4849100001534,2961415,3661317,0
4845300000398,2979857,3662296,0
4845300000353,2964877,3636520,0
4845300000369,2963570,3636171,0
4820900001076,2940565,3607498,0
4845300001897,2970385,3639448,0
4845300001725,2966867,3639641,0
4820900000299,2959456,3600793,0
4845300000432,2960627,3633910,0
4845300001555,2970543,3637552,0
4849100001892,2976079,3666087,0
4845300001567,2964062,3617481,0
4845300000526,2964262,3624258,0
4802100001931,2997920,3633550,0
4845300000204,2969700,3651631,0
4820900000768,2921034,3613248,0
4849100000944,2943098,3697242,0
4845300000227,2979568,3646826,0
4849100001404,2964309,3665512,0
4845300000849,2967302,3634396,0
4849100001122,2983262,3697178,0
4820900000827,2960867,3598302,0
4802100001174,3014604,3625819,0
4802100001381,3032854,3635727,0
4849100000128,2966240,3665495,0
4849100000865,2945894,3688056,0
4845300001675,2967822,3643479,0
4802100001164,3015347,3627093,0
4849100000156,2966275,3658488,0
4845300000062,2956606,3629006,0
4845300000234,2967308,3646334,0
4820900001932,2966557,3606795,0
4845300000525,2961470,3623919,0
4845300001616,2966714,3631396,0
4849100000150,2973466,3663361,0
4845300001920,2968182,3641709,0
4802100001145,3002382,3629833,0
4820900000589,2960669,3601304,0
4802100001183,3038677,3619390,0
4820900000730,2960529,3586337,0
4845300000251,2971292,3644541,0
4805500001264,2987688,3587238,0
4820900001741,2930352,3616600,0
4845300000059,2952831,3629173,0
4805300001784,2927676,3682939,0
4845300001869,2973642,3636260,0
4805300001798,2905497,3681817,0
4805500001254,2964008,3583844,0
4845300001421,2958773,3621176,0
4845300000376,2967774,3635770,0
4849100001942,2957253,3668605,0
4849100001107,3007275,3676545,0
4845300000073,2952960,3625587,0
4845300000075,2955078,3625582,0
4849100000938,2962471,3686789,0
4820900000714,2958363,3586305,0
4820900001664,2961135,3593696,0
4802100001146,3037791,3639640,0
4820900000683,2956396,3583450,0
4849100000001,2947427,3664510,0
4845300000045,2951851,3630669,0
4845300000095,2959056,3640944,0
4820900000838,2958004,3587123,0
4845300000449,2963275,3633944,0
4849100001738,2975867,3678267,0
4820900000813,2957687,3609437,0
