,modename,startHour,All Trips,modename,startHour,Work Trips
0,Bike,2,7.738146380565147e-05,Bus,11.0,0.002916833989995866
1,Bike,6,0.0003097766766455862,Bus,12.0,0.00353762423041226
2,Bike,7,0.0014583411837581547,Bus,15.0,0.002913461034811382
3,Bike,8,0.0020891120598041366,Bus,18.0,0.0006249883873198108
4,Bike,9,0.0008112081696612962,Car,5.0,0.006236956569790078
5,Bike,10,0.0008221143107045739,Car,6.0,0.016273111865916283
6,Bike,11,0.0006778830858543966,Car,7.0,0.03656318427051128
7,Bike,12,0.0011253040147366806,Car,8.0,0.045367030101398254
8,Bike,13,0.00033559009804115666,Car,9.0,0.056142601502630576
9,Bike,14,0.0007106886231296596,Car,10.0,0.0898998515483994
10,Bike,15,0.00032414289943108037,Car,11.0,0.08997828990217475
11,Bike,16,0.0014083847744323138,Car,12.0,0.11546620723132786
12,Bike,17,0.0011056605840296819,Car,13.0,0.08624501012013627
13,Bike,18,0.0017461247361220962,Car,14.0,0.04482763095212692
14,Bike,19,0.0005422799204635426,Car,15.0,0.06963198163964991
15,Bike,20,6.690885968132236e-05,Car,16.0,0.04858833942582654
16,Bike,22,0.00032246493370540825,Car,17.0,0.05621217153890648
17,Bus,4,8.295618421432921e-05,Car,18.0,0.022350427710686686
18,Bus,6,0.004901813948244405,Car,19.0,0.021136814551782897
19,Bus,7,0.0073057904077372575,Car,20.0,0.01442239453130325
20,Bus,8,0.004286102554576857,Car,21.0,0.00643448886021928
21,Bus,9,0.0021889353637116024,Car,22.0,0.007019848557908834
22,Bus,10,0.0012622967258607428,Car,23.0,0.0007006610538084021
23,Bus,11,0.0008018211671542604,Other,9.0,0.00353762423041226
24,Bus,12,0.002010537642700177,Other,16.0,0.0009864567580790088
25,Bus,13,0.0013303088466716966,Rail,7.0,0.0027136519196848344
26,Bus,14,0.005818544395853616,Rail,9.0,0.002913461034811382
27,Bus,15,0.006973287147230997,Rail,18.0,0.0027136519196848344
28,Bus,16,0.005625132932802216,Rental Car,8.0,0.00136637266061108
29,Bus,17,0.0020495967646228107,Rental Car,12.0,0.003270354582934234
30,Bus,18,0.0006957209121095292,Rental Car,21.0,0.002012491913069585
31,Bus,19,0.0008132830716268184,Ridehail,9.0,0.0020770588468976554
32,Bus,20,0.0006915946196570257,Ridehail,12.0,0.002012491913069585
33,Bus,21,0.00032805997005875697,Ridehail,16.0,0.0007006610538084021
34,Bus,22,0.00015288116048269604,Ridehail,19.0,0.0037832596506555422
35,Bus,23,0.00030208635534934963,Ridehail,20.0,0.0020770588468976554
36,Car,0,0.0020587938801001162,Ridehail,22.0,0.009615578130238726
37,Car,1,0.0006848357580603823,Walk,6.0,0.0013661465105399102
38,Car,2,7.738146380565147e-05,Walk,7.0,0.007517337863990773
39,Car,4,0.002574091089978519,Walk,8.0,0.004415029126415614
40,Car,5,0.010187530705788192,Walk,10.0,0.02616130224680782
41,Car,6,0.034428453042893575,Walk,11.0,0.003719203284372891
42,Car,7,0.07825562982699032,Walk,12.0,0.02287038580028741
43,Car,8,0.061832241016771934,Walk,13.0,0.0072861942141022465
44,Car,9,0.0399742831863596,Walk,14.0,0.00378252904239424
45,Car,10,0.03914271035102416,Walk,15.0,0.0019327055922183476
46,Car,11,0.051920012768411766,Walk,16.0,0.003270960029256619
47,Car,12,0.059838370146588216,Walk,17.0,0.005813612418612046
48,Car,13,0.04951463919115529,Walk,18.0,0.012462770729469034
49,Car,14,0.046794445910748994,Walk,19.0,0.003576025206312197
50,Car,15,0.057476115755101524,Walk,20.0,0.009842062977637957
51,Car,16,0.08118796079358126,Walk,22.0,0.0027136519196848344
52,Car,17,0.0826646072932521,,,
53,Car,18,0.05500711748331681,,,
54,Car,19,0.03265918180412494,,,
55,Car,20,0.02234865269968324,,,
56,Car,21,0.012683815281589416,,,
57,Car,22,0.008258643905003415,,,
58,Car,23,0.005501032990681789,,,
59,Other,6,0.0001159332793618543,,,
60,Other,7,0.0004964193229948986,,,
61,Other,9,0.000456418558906965,,,
62,Other,10,0.0001290446202238806,,,
63,Other,11,0.0006272670043217231,,,
