,modename,startHour,All Trips,modename,startHour,Work Trips
0,Bike,0,0.00015376643521658974,Bike,9.0,0.0009625352941287732
1,Bike,4,0.00028062941736342806,Bike,13.0,0.0022256510718772827
2,Bike,5,2.4435281351577455e-05,Bike,14.0,0.0022256510718772827
3,Bike,6,0.00045852816837595097,Bike,15.0,0.0009625352941287732
4,Bike,7,0.0012825850535834813,Bike,21.0,0.003116813041051542
5,Bike,8,0.0032465241481932253,Bus,6.0,0.0005222281188014874
6,Bike,9,0.0008618504539052913,Bus,8.0,0.0033805294558896908
7,Bike,10,0.0010102769386927319,Bus,10.0,0.0037458992837146403
8,Bike,11,0.0010040311426700796,Bus,11.0,0.0029480633229977174
9,Bike,12,0.0011054795124094683,Bus,14.0,0.0004901922966455798
10,Bike,13,0.0009562867283940595,Bus,17.0,0.0026543069809168186
11,Bike,14,0.0009869185776354874,Car,4.0,0.0027353474987252464
12,Bike,15,0.002604537139713292,Car,6.0,0.031404690911364205
13,Bike,16,0.0012825083584217106,Car,7.0,0.06639650804909247
14,Bike,17,0.0024307779252859653,Car,8.0,0.059372874459410946
15,Bike,18,0.0012241653211403636,Car,9.0,0.059150684794111535
16,Bike,19,0.0015093510049709648,Car,10.0,0.08031179875798722
17,Bike,20,0.0003377706059751309,Car,11.0,0.07706798565244034
18,Bike,21,0.0003276678719353493,Car,12.0,0.0590893549725112
19,Bus,0,0.00015376643521658974,Car,13.0,0.09230204278727486
20,Bus,4,6.485683512073892e-05,Car,14.0,0.05623760143652794
21,Bus,5,0.0005288053382697346,Car,15.0,0.0439221371501503
22,Bus,6,0.0015737013703523495,Car,16.0,0.024058798940277144
23,Bus,7,0.006586369703227334,Car,17.0,0.02646845569598175
24,Bus,8,0.0039563264084998915,Car,18.0,0.012604236525996232
25,Bus,9,0.0030103783938214444,Car,19.0,0.002322778375311923
26,Bus,10,0.0018163160696014636,Car,20.0,0.013307125417286915
27,Bus,11,0.0020089635171971518,Car,21.0,0.012712712262116876
28,Bus,12,0.0011245028695197094,Other,9.0,0.0011091300480939946
29,Bus,13,0.0016801515366697975,Other,12.0,0.0011091300480939946
30,Bus,14,0.003146533839640782,Other,15.0,0.0011091300480939946
31,Bus,15,0.002731379307072683,Other,23.0,0.0011091300480939946
32,Bus,16,0.004414826468766263,Rail,7.0,0.0037680421514070836
33,Bus,17,0.0034692084016017272,Rail,9.0,0.0014791669884456047
34,Bus,18,0.0014941898535997637,Rail,10.0,0.0027613047628176515
35,Bus,19,0.0016442932806511282,Rail,11.0,0.010314383222325673
36,Bus,20,0.0005935543175771027,Rail,12.0,0.0045823741784831295
37,Bus,21,0.0003901008862100218,Rail,13.0,0.0049345838218112165
38,Bus,22,0.00031942460280869186,Rail,15.0,0.006895476306884881
39,Bus,23,4.8208706845376227e-05,Rail,16.0,0.005003485375861358
40,Car,0,0.0016038841035859576,Rail,19.0,0.0011855964411846421
41,Car,1,0.0011087235218202945,Rental Car,18.0,0.0018038108061106727
42,Car,2,8.854208537777873e-05,Ridehail,7.0,0.0029844531640013205
43,Car,3,0.00011557554897199788,Ridehail,8.0,0.0020506261742012527
44,Car,4,0.004668101866494608,Ridehail,9.0,0.0020506261742012527
45,Car,5,0.007948369608711545,Ridehail,11.0,0.000726222474972872
46,Car,6,0.020262472911739174,Ridehail,12.0,0.0020506261742012527
47,Car,7,0.061916509663792994,Ridehail,13.0,0.0033211060714156866
48,Car,8,0.061330302866929205,Ridehail,14.0,0.0020506261742012527
49,Car,9,0.032201930943319315,Ridehail,15.0,0.003529793162646857
50,Car,10,0.03229545857112264,Ridehail,16.0,0.0027541596574497565
51,Car,11,0.03862785873344406,Ridehail,17.0,0.004075321098881009
52,Car,12,0.039392950594199186,Ridehail,18.0,0.004337005492557584
53,Car,13,0.04115076505851096,Ridehail,19.0,0.0005728969349983999
54,Car,14,0.05254557853954719,Ridehail,21.0,0.004337005492557584
55,Car,15,0.060768690198314844,Ridehail,22.0,0.0005728969349983999
56,Car,16,0.05679113119827903,Walk,8.0,0.004824779272838239
57,Car,17,0.060116883014562916,Walk,9.0,0.009098203240133971
58,Car,18,0.041688699742666376,Walk,10.0,0.014098772498831753
59,Car,19,0.02778925782008663,Walk,11.0,0.01331178229387137
60,Car,20,0.018542606722969368,Walk,12.0,0.021488813082221146
61,Car,21,0.01296360595077884,Walk,13.0,0.04085282611722063
62,Car,22,0.004750863533284508,Walk,14.0,0.027993662019673862
63,Car,23,0.002235346363538893,Walk,15.0,0.014132464790415222
64,Other,5,0.0001183512191257407,Walk,16.0,0.008919097872040187
65,Other,6,0.00022748626616979795,Walk,17.0,0.010783020582532943
66,Other,7,0.0006707025201561721,Walk,18.0,0.004942028333725323
67,Other,8,0.0007178040398595612,Walk,20.0,0.0021384507744531675
68,Other,9,0.00023590559949076143,Walk,22.0,0.0021384507744531675
69,Other,10,6.459795013100162e-05,,,
70,Other,11,0.000539333374826468,,,
71,Other,12,0.00024086143932135337,,,
72,Other,13,3.605774744471004e-05,,,
73,Other,14,1.802887372235502e-05,,,
74,Other,15,0.0002755857387481542,,,
75,Other,16,0.0003133983220411257,,,
76,Other,17,0.0012338639573466778,,,
77,Other,18,0.0001538514247099767,,,
78,Other,23,3.5183503700987284e-05,,,
