Hour,Non-Commuter,Commuter
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.019894089394870078,0.022333323704891335
6,0.06412436450099923,0.09892125864238463
7,0.18792755055030633,0.18307126050511532
8,0.18572198186763314,0.10040277239871201
9,0.1490112020157705,0.03628805355646516
10,0.16459794745422549,0.021561586766118083
11,0.21779908150715946,0.017714543843045893
12,0.24846493530372285,0.0291228525483809
13,0.1967414928858547,0.02445743883473201
14,0.16800083551846356,0.052995989017068396
15,0.19498560784525454,0.08170310301323072
16,0.2671433784451784,0.10866800497727402
17,0.26865294738116924,0.10036177314888303
18,0.20366879401823906,0.0462607944931476
19,0.13478924151283447,0.018176392830093906
20,0.10003667949522495,0.0
21,0.047146372285955314,0.0
22,0.029666194469744913,0.0
23,0.0,0.0
24,0.0,0.0
