hours,bike,bike_transit,car,drive_transit,ride_hail,ride_hail_pooled,ride_hail_transit,walk,walk_transit
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,136.5,0,55951.0,2993.0000000000705,2348.5,0,0,15685.333333333336,9042.833333333347
6,248.5,0,126731.0,5720.333333332701,5275.416666666666,1.5,0,39559.3333333342,23670.83333333253
7,538.8333333333334,0,273273.33333333296,9418.00000000014,11466.083333333385,26.833333333333307,0,133962.41666668534,52516.91666667494
8,519.0,2.1666666666666665,289636.4999999995,7019.249999998603,16068.333333333518,96.7499999999997,1.5,173324.00000005632,58024.50000001477
9,286.0,4.083333333333334,165278.50000000035,2804.6666666667916,13309.666666666742,95.49999999999972,2.0,83225.7499999751,32350.416666661713
10,254.5,7.083333333333334,178969.50000000044,1798.833333333294,14706.583333333492,105.083333333333,0,71347.916666656,23750.666666664638
11,329.0,7.166666666666666,184760.50000000067,1764.8333333333028,14964.333333333494,142.41666666666637,1.3333333333333333,71786.91666666215,22619.24999999918
12,336.0,3.5833333333333335,194465.16666666712,1789.4166666666338,15759.833333333463,122.0833333333328,0,76012.8333333306,23282.9999999994
13,386.0,7.166666666666665,209908.66666666715,1707.2499999999773,16440.08333333341,121.58333333333287,2.0,77475.83333333037,24955.249999999385
14,337.5,3.25,208075.6666666671,1976.9166666666497,17290.999999999774,126.33333333333279,1.5,80075.33333333103,26876.74999999954
15,357.0,2.8333333333333335,225384.33333333366,2707.5833333333635,18173.999999999804,104.66666666666649,1.0,95005.24999999827,31988.583333332852
16,400.5,2.5833333333333335,224810.0000000002,3647.8333333333617,17554.749999999935,61.58333333333343,1.0,89074.24999999859,32848.08333333317
17,415.5,0.8333333333333333,261737.3333333334,5033.999999999922,17003.083333333263,63.00000000000005,0.3333333333333333,99234.08333333222,36406.083333333714
18,410.5,2.333333333333333,254945.50000000032,5079.33333333325,16696.749999999847,78.16666666666667,0,100553.66666666519,34176.6666666664
19,273.0,5.5,163011.00000000015,2488.500000000016,11175.166666666708,51.50000000000004,0,73989.49999999856,21248.833333332983
20,213.5,0.25,141045.33333333378,1999.3333333333285,9223.083333333432,95.91666666666657,0,69070.4999999989,15729.166666666764
21,206.0,3.583333333333334,133342.83333333407,1679.8333333333305,7303.3333333332575,136.49999999999972,0,66858.49999999937,12790.666666666739
22,106.0,2.4166666666666665,84219.99999999978,735.0000000000008,3771.083333333348,81.0,0,52210.50000000033,6660.166666666644
23,86.0,0.75,72388.33333333321,436.3333333333333,2287.250000000007,51.666666666666714,0,48834.50000000021,4039.916666666672
24,36.0,0,49979.16666666671,0,954.1666666666671,24.499999999999993,0,41075.083333333394,0
25,37.0,0,43249.66666666668,0,328.66666666666646,6.166666666666665,0,37295.33333333335,0
26,25.0,0,39386.66666666667,0,86.99999999999999,1.0,0,34340.833333333336,0
27,26.0,0,35681.333333333336,0,34.166666666666664,0.3333333333333333,0,32302.0,0
28,20.5,0,33143.5,0,9.166666666666666,1.0,0,30448.499999999996,0
29,22.0,0,29335.833333333332,0,12.333333333333334,0.3333333333333333,0,27711.0,0
30,0,0,0.5,0,0,0.5,0,0.5,0
