,0
0,SF:7628772
1,VT:2223873
2,SF:7679401
3,VT:2222849
4,SF:7634384
5,SF:7677955
6,VT:2222916
7,SF:7679574
8,SF:7679173
9,SF:7631674
10,SF:7679328
11,VT:2223916
12,VT:2222865
13,VT:2223893
14,SF:7678174
15,VT:2222844
16,SF:7679468
17,VT:2223901
18,VT:2223829
19,VT:2223849
20,VT:2223812
21,SF:7677939
22,VT:2222910
23,SF:7679454
24,VT:2223889
25,VT:2223912
26,VT:2223838
27,VT:2222857
28,VT:2223871
29,VT:2222809
30,VT:2222843
31,VT:2222836
32,VT:2223861
33,VT:2223890
34,SF:7631663
35,SF:7678244
36,VT:2223894
37,VT:2222835
38,SF:7679457
39,VT:2223803
40,SF:7679340
41,VT:2222829
42,SF:7679469
43,VT:2223844
44,VT:2223837
45,VT:2223899
46,VT:2222825
47,VT:2222800
48,VT:2222912
49,VT:2222827
50,SF:7679546
51,VT:2223860
52,VT:2223878
53,VT:2222884
54,SF:7678237
55,VT:2223903
56,VT:2223870
57,SF:7679506
58,VT:2222883
59,SF:7679508
60,VT:2222853
61,VT:2222847
62,SF:7679470
63,VT:2223796
64,SF:7678197
65,VT:2223892
66,VT:2222872
67,SF:7679333
68,VT:2222878
69,BA:62R11
70,VT:2223898
71,VT:2223914
72,SF:7679336
73,VT:2223913
74,SF:7679323
75,SF:7679331
76,VT:2222907
77,SF:7677821
78,SF:7677986
79,VT:2223883
80,SF:7677983
81,SF:7679521
82,VT:2222930
83,VT:2223888
84,SF:7678198
85,VT:2223813
86,VT:2223886
87,SF:7679529
88,VT:2223824
89,VT:2222911
90,VT:2222934
91,SF:7679463
92,VT:2222807
93,VT:2223831
94,BA:63R10
95,VT:2223857
96,VT:2223864
97,BA:19R10
98,SF:7679324
99,SF:7679518
100,VT:2222932
101,BA:64R10
102,VT:2222846
103,VT:2222880
104,SF:7679317
105,SF:7679360
106,BA:65R10
107,VT:2223825
108,VT:2223867
109,VT:2223791
110,VT:2222913
111,VT:2223902
112,VT:2222810
113,VT:2223865
114,SF:7631665
115,SF:7679341
116,VT:2222925
117,VT:2223799
118,VT:2223821
119,VT:2223846
120,SF:7678235
121,VT:2222906
122,SF:7677982
123,VT:2222902
124,SF:7677823
125,BA:14R10
126,SF:7679456
127,VT:2222832
128,VT:2222802
129,VT:2222804
130,VT:2222856
131,VT:2222854
132,SF:7679551
133,VT:2222812
134,VT:2222877
135,SF:7679533
136,VT:2222834
137,SF:7677828
138,VT:2223818
139,VT:2222935
140,SF:7634381
141,VT:2223809
142,SF:7678239
143,VT:2223832
144,VT:2223814
145,SF:7678089
146,SF:7679527
147,VT:2222927
148,VT:2223895
149,VT:2223795
150,VT:2223869
151,VT:2223872
152,VT:2223794
153,VT:2223882
154,VT:2223804
155,VT:2222797
156,SF:7678199
157,SF:7678245
158,VT:2223911
159,SF:7679568
160,VT:2222905
161,VT:2223843
162,VT:2223877
163,SF:7628514
164,VT:2222889
165,VT:2222900
166,SF:7677827
167,VT:2222903
168,VT:2223810
169,VT:2222851
170,VT:2222923
171,VT:2222921
172,SF:7631837
173,VT:2222918
174,VT:2222863
175,VT:2223793
176,VT:2223834
177,VT:2222926
178,VT:2223790
179,VT:2222933
180,SF:7676849
181,SF:7679535
182,VT:2222931
183,BA:17R11
184,SF:7679325
185,SF:7631639
186,VT:2222914
187,VT:2222833
188,SF:7679553
189,BA:14DC11
190,VT:2223805
191,SF:7677826
192,VT:2223900
193,VT:2222886
194,SF:7679578
195,VT:2223884
196,SF:7678241
197,SF:7678195
198,VT:2222803
199,SF:7677818
200,SF:7679499
201,SF:7679550
202,VT:2222839
203,VT:2222901
204,VT:2223823
205,BA:36SFO10
206,VT:2222817
207,SF:7679412
208,VT:2222826
209,VT:2222837
210,VT:2222922
211,VT:2222838
212,VT:2222908
213,SF:7678090
214,VT:2222904
215,SF:7679343
216,VT:2222852
217,VT:2223801
218,SF:7679359
219,SF:7677886
220,BA:58R10
221,SF:7679530
222,VT:2223879
223,VT:2222874
224,SF:7679349
225,VT:2223811
226,VT:2223881
227,VT:2223819
228,VT:2222861
229,VT:2223875
