R_DATE,TPERIOD,STATION,CTGRY,RIDERS
8/1/21 0:00,9AM-4PM,"Euclid Av (A,C)",COLLEGE,1
8/2/21 0:00,4PM-7PM,1 Av (L),STUDENT,14
8/2/21 0:00,6AM-9AM,1 Av (L),STUDENT,5
8/2/21 0:00,7PM-12AM,1 Av (L),STUDENT,3
8/2/21 0:00,9AM-4PM,1 Av (L),STUDENT,28
8/2/21 0:00,12AM-6AM,103 St (1),STUDENT,1
8/2/21 0:00,4PM-7PM,103 St (1),STUDENT,10
8/2/21 0:00,6AM-9AM,103 St (1),STUDENT,10
8/2/21 0:00,7PM-12AM,103 St (1),STUDENT,2
8/2/21 0:00,9AM-4PM,103 St (1),STUDENT,11
8/2/21 0:00,4PM-7PM,103 St (6),STUDENT,27
8/2/21 0:00,6AM-9AM,103 St (6),STUDENT,17
8/2/21 0:00,7PM-12AM,103 St (6),STUDENT,3
8/2/21 0:00,9AM-4PM,103 St (6),STUDENT,25
8/2/21 0:00,4PM-7PM,"103 St (B,C)",STUDENT,1
8/2/21 0:00,6AM-9AM,"103 St (B,C)",STUDENT,8
8/2/21 0:00,7PM-12AM,"103 St (B,C)",STUDENT,2
8/2/21 0:00,9AM-4PM,"103 St (B,C)",STUDENT,3
8/2/21 0:00,12AM-6AM,103 St-Corona Plaza (7),STUDENT,2
8/2/21 0:00,4PM-7PM,103 St-Corona Plaza (7),STUDENT,26
8/2/21 0:00,6AM-9AM,103 St-Corona Plaza (7),STUDENT,86
8/2/21 0:00,7PM-12AM,103 St-Corona Plaza (7),STUDENT,6
8/2/21 0:00,9AM-4PM,103 St-Corona Plaza (7),STUDENT,63
8/2/21 0:00,6AM-9AM,104 St (A),STUDENT,7
8/2/21 0:00,4PM-7PM,"104 St (J,Z)",STUDENT,2
8/2/21 0:00,6AM-9AM,"104 St (J,Z)",STUDENT,5
8/2/21 0:00,9AM-4PM,"104 St (J,Z)",STUDENT,6
8/2/21 0:00,4PM-7PM,110 St (6),STUDENT,9
8/2/21 0:00,6AM-9AM,110 St (6),STUDENT,18
8/2/21 0:00,9AM-4PM,110 St (6),STUDENT,44
8/2/21 0:00,4PM-7PM,111 St (7),STUDENT,12
8/2/21 0:00,6AM-9AM,111 St (7),STUDENT,66
