R_DATE,TPERIOD,STATION,CTGRY,RIDERS
1/2/22 0:00,7PM-12AM,103 St (6),STUDENT,1
1/2/22 0:00,7PM-12AM,103 St-Corona Plaza (7),STUDENT,179
1/2/22 0:00,9AM-4PM,103 St-Corona Plaza (7),COLLEGE,1
1/2/22 0:00,9AM-4PM,103 St-Corona Plaza (7),STUDENT,1
1/2/22 0:00,9AM-4PM,110 St (6),STUDENT,1
1/2/22 0:00,7PM-12AM,"116 St (2,3)",STUDENT,1
1/2/22 0:00,9AM-4PM,116 St (6),STUDENT,1
1/2/22 0:00,9AM-4PM,"121 St (J,Z)",STUDENT,1
1/2/22 0:00,7PM-12AM,"125 St (2,3)",STUDENT,1
1/2/22 0:00,7PM-12AM,"125 St (4,5,6)",STUDENT,9
1/2/22 0:00,9AM-4PM,"125 St (4,5,6)",COLLEGE,1
1/2/22 0:00,9AM-4PM,"125 St (4,5,6)",STUDENT,1
1/2/22 0:00,4PM-7PM,"125 St (A,B,C,D)",STUDENT,1
1/2/22 0:00,7PM-12AM,"125 St (A,B,C,D)",STUDENT,1
1/2/22 0:00,9AM-4PM,"125 St (A,B,C,D)",STUDENT,1
1/2/22 0:00,9AM-4PM,137 St-City College (1),STUDENT,2
1/2/22 0:00,9AM-4PM,"14 St (A,C,E)/8 Av (L)",STUDENT,1
1/2/22 0:00,6AM-9AM,"14 St (F,M,1,2,3)/6 Av (L)",STUDENT,1
1/2/22 0:00,7PM-12AM,"14 St (F,M,1,2,3)/6 Av (L)",STUDENT,1
1/2/22 0:00,9AM-4PM,"14 St (F,M,1,2,3)/6 Av (L)",STUDENT,1
1/2/22 0:00,4PM-7PM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",STUDENT,9
1/2/22 0:00,6AM-9AM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",STUDENT,2
1/2/22 0:00,7PM-12AM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",STUDENT,5
1/2/22 0:00,9AM-4PM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",STUDENT,1
1/2/22 0:00,4PM-7PM,145 St (1),STUDENT,1
1/2/22 0:00,9AM-4PM,"145 St (A,B,C,D)",STUDENT,5
1/2/22 0:00,4PM-7PM,"161 St-Yankee Stadium (B,D,4)",STUDENT,1
1/2/22 0:00,7PM-12AM,"161 St-Yankee Stadium (B,D,4)",STUDENT,1
1/2/22 0:00,9AM-4PM,"161 St-Yankee Stadium (B,D,4)",STUDENT,3
