R_DATE,TPERIOD,STATION,CTGRY,RIDERS
4/3/22 0:00,12AM-6AM,1 Av (L),COLLEGE,1
4/3/22 0:00,4PM-7PM,1 Av (L),COLLEGE,5
4/3/22 0:00,6AM-9AM,1 Av (L),STUDENT,1
4/3/22 0:00,7PM-12AM,1 Av (L),COLLEGE,4
4/3/22 0:00,9AM-4PM,1 Av (L),COLLEGE,7
4/3/22 0:00,4PM-7PM,103 St (1),COLLEGE,2
4/3/22 0:00,4PM-7PM,103 St (1),STUDENT,2
4/3/22 0:00,7PM-12AM,103 St (1),COLLEGE,1
4/3/22 0:00,9AM-4PM,103 St (1),COLLEGE,4
4/3/22 0:00,9AM-4PM,103 St (1),STUDENT,1
4/3/22 0:00,4PM-7PM,103 St (6),COLLEGE,4
4/3/22 0:00,6AM-9AM,103 St (6),COLLEGE,1
4/3/22 0:00,7PM-12AM,103 St (6),COLLEGE,4
4/3/22 0:00,9AM-4PM,103 St (6),COLLEGE,5
4/3/22 0:00,4PM-7PM,"103 St (B,C)",COLLEGE,1
4/3/22 0:00,7PM-12AM,"103 St (B,C)",COLLEGE,1
4/3/22 0:00,9AM-4PM,"103 St (B,C)",COLLEGE,1
4/3/22 0:00,12AM-6AM,103 St-Corona Plaza (7),COLLEGE,1
4/3/22 0:00,4PM-7PM,103 St-Corona Plaza (7),COLLEGE,3
4/3/22 0:00,6AM-9AM,103 St-Corona Plaza (7),COLLEGE,3
4/3/22 0:00,7PM-12AM,103 St-Corona Plaza (7),COLLEGE,4
4/3/22 0:00,9AM-4PM,103 St-Corona Plaza (7),COLLEGE,18
4/3/22 0:00,4PM-7PM,104 St (A),COLLEGE,1
4/3/22 0:00,6AM-9AM,104 St (A),COLLEGE,2
4/3/22 0:00,9AM-4PM,104 St (A),COLLEGE,1
4/3/22 0:00,12AM-6AM,"104 St (J,Z)",COLLEGE,1
4/3/22 0:00,6AM-9AM,"104 St (J,Z)",COLLEGE,1
4/3/22 0:00,9AM-4PM,"104 St (J,Z)",COLLEGE,3
4/3/22 0:00,12AM-6AM,110 St (6),COLLEGE,1
4/3/22 0:00,4PM-7PM,110 St (6),COLLEGE,2
4/3/22 0:00,7PM-12AM,110 St (6),COLLEGE,6
4/3/22 0:00,9AM-4PM,110 St (6),COLLEGE,6
4/3/22 0:00,9AM-4PM,110 St (6),STUDENT,1
4/3/22 0:00,4PM-7PM,111 St (7),COLLEGE,4
4/3/22 0:00,6AM-9AM,111 St (7),COLLEGE,3
4/3/22 0:00,7PM-12AM,111 St (7),COLLEGE,3
4/3/22 0:00,9AM-4PM,111 St (7),COLLEGE,3
4/3/22 0:00,7PM-12AM,111 St (A),COLLEGE,1
4/3/22 0:00,6AM-9AM,111 St (J),COLLEGE,1
4/3/22 0:00,9AM-4PM,111 St (J),COLLEGE,3
4/3/22 0:00,9AM-4PM,111 St (J),STUDENT,1
4/3/22 0:00,4PM-7PM,"116 St (2,3)",COLLEGE,4
4/3/22 0:00,7PM-12AM,"116 St (2,3)",COLLEGE,1
4/3/22 0:00,9AM-4PM,"116 St (2,3)",COLLEGE,5
4/3/22 0:00,9AM-4PM,"116 St (2,3)",STUDENT,1
4/3/22 0:00,12AM-6AM,116 St (6),COLLEGE,1
4/3/22 0:00,4PM-7PM,116 St (6),COLLEGE,4
4/3/22 0:00,6AM-9AM,116 St (6),COLLEGE,3
4/3/22 0:00,7PM-12AM,116 St (6),COLLEGE,3
4/3/22 0:00,9AM-4PM,116 St (6),COLLEGE,10
4/3/22 0:00,12AM-6AM,"116 St (B,C)",COLLEGE,1
4/3/22 0:00,9AM-4PM,"116 St (B,C)",COLLEGE,3
4/3/22 0:00,4PM-7PM,116 St-Columbia University (1),COLLEGE,2
4/3/22 0:00,4PM-7PM,116 St-Columbia University (1),STUDENT,1
4/3/22 0:00,6AM-9AM,116 St-Columbia University (1),COLLEGE,1
4/3/22 0:00,7PM-12AM,116 St-Columbia University (1),COLLEGE,1
4/3/22 0:00,7PM-12AM,116 St-Columbia University (1),STUDENT,1
4/3/22 0:00,9AM-4PM,116 St-Columbia University (1),STUDENT,1
4/3/22 0:00,12AM-6AM,"121 St (J,Z)",COLLEGE,1
4/3/22 0:00,6AM-9AM,"121 St (J,Z)",COLLEGE,1
4/3/22 0:00,7PM-12AM,"121 St (J,Z)",COLLEGE,2
4/3/22 0:00,9AM-4PM,125 St (1),COLLEGE,2
4/3/22 0:00,4PM-7PM,"125 St (2,3)",COLLEGE,2
4/3/22 0:00,4PM-7PM,"125 St (2,3)",STUDENT,1
