R_DATE,TPERIOD,STATION,CTGRY,RIDERS
3/29/20,7PM-12AM,1 Av (L),COLLEGE,1
3/29/20,9AM-4PM,1 Av (L),COLLEGE,1
3/29/20,7PM-12AM,103 St (1),COLLEGE,1
3/29/20,9AM-4PM,103 St (1),STUDENT,1
3/29/20,12AM-6AM,103 St (6),COLLEGE,1
3/29/20,4PM-7PM,103 St (6),COLLEGE,2
3/29/20,6AM-9AM,103 St (6),COLLEGE,1
3/29/20,7PM-12AM,103 St (6),COLLEGE,1
3/29/20,9AM-4PM,103 St (6),COLLEGE,6
3/29/20,6AM-9AM,"103 St (B,C)",COLLEGE,1
3/29/20,7PM-12AM,"103 St (B,C)",COLLEGE,1
3/29/20,12AM-6AM,103 St-Corona Plaza (7),COLLEGE,1
3/29/20,4PM-7PM,103 St-Corona Plaza (7),COLLEGE,1
3/29/20,4PM-7PM,103 St-Corona Plaza (7),STUDENT,1
3/29/20,6AM-9AM,103 St-Corona Plaza (7),COLLEGE,2
3/29/20,7PM-12AM,103 St-Corona Plaza (7),COLLEGE,2
3/29/20,9AM-4PM,103 St-Corona Plaza (7),COLLEGE,4
3/29/20,9AM-4PM,103 St-Corona Plaza (7),STUDENT,1
3/29/20,7PM-12AM,104 St (A),COLLEGE,1
3/29/20,9AM-4PM,"104 St (J,Z)",COLLEGE,4
3/29/20,4PM-7PM,110 St (6),COLLEGE,1
3/29/20,6AM-9AM,110 St (6),COLLEGE,2
3/29/20,7PM-12AM,110 St (6),COLLEGE,2
3/29/20,9AM-4PM,110 St (6),COLLEGE,2
3/29/20,4PM-7PM,111 St (7),COLLEGE,1
3/29/20,6AM-9AM,111 St (7),COLLEGE,2
3/29/20,9AM-4PM,111 St (7),COLLEGE,2
3/29/20,6AM-9AM,111 St (A),COLLEGE,1
3/29/20,9AM-4PM,111 St (A),COLLEGE,1
3/29/20,9AM-4PM,111 St (J),COLLEGE,1
3/29/20,4PM-7PM,116 St (6),COLLEGE,4
3/29/20,6AM-9AM,116 St (6),COLLEGE,3
3/29/20,7PM-12AM,116 St (6),COLLEGE,2
3/29/20,9AM-4PM,116 St (6),COLLEGE,2
3/29/20,9AM-4PM,116 St (6),STUDENT,1
3/29/20,4PM-7PM,"116 St (B,C)",COLLEGE,3
3/29/20,9AM-4PM,"116 St (B,C)",COLLEGE,2
3/29/20,4PM-7PM,116 St-Columbia University (1),COLLEGE,1
3/29/20,9AM-4PM,116 St-Columbia University (1),COLLEGE,1
3/29/20,9AM-4PM,"121 St (J,Z)",COLLEGE,1
3/29/20,12AM-6AM,125 St (1),COLLEGE,1
3/29/20,4PM-7PM,125 St (1),COLLEGE,3
3/29/20,7PM-12AM,125 St (1),COLLEGE,1
3/29/20,12AM-6AM,"125 St (4,5,6)",COLLEGE,1
3/29/20,4PM-7PM,"125 St (4,5,6)",COLLEGE,4
3/29/20,6AM-9AM,"125 St (4,5,6)",COLLEGE,3
3/29/20,7PM-12AM,"125 St (4,5,6)",COLLEGE,7
3/29/20,9AM-4PM,"125 St (4,5,6)",COLLEGE,11
3/29/20,12AM-6AM,"125 St (A,B,C,D)",COLLEGE,1
3/29/20,4PM-7PM,"125 St (A,B,C,D)",COLLEGE,7
3/29/20,6AM-9AM,"125 St (A,B,C,D)",COLLEGE,4
3/29/20,6AM-9AM,"125 St (A,B,C,D)",STUDENT,1
3/29/20,7PM-12AM,"125 St (A,B,C,D)",COLLEGE,3
3/29/20,9AM-4PM,"125 St (A,B,C,D)",COLLEGE,8
3/29/20,9AM-4PM,"125 St (A,B,C,D)",STUDENT,1
3/29/20,9AM-4PM,"135 St (B,C)",COLLEGE,2
3/29/20,12AM-6AM,137 St-City College (1),COLLEGE,1
3/29/20,4PM-7PM,137 St-City College (1),COLLEGE,2
3/29/20,6AM-9AM,137 St-City College (1),COLLEGE,1
3/29/20,7PM-12AM,137 St-City College (1),COLLEGE,2
3/29/20,9AM-4PM,137 St-City College (1),COLLEGE,3
3/29/20,9AM-4PM,"138 St-Grand Concourse (4,5)",COLLEGE,1
3/29/20,7PM-12AM,"14 St (A,C,E)/8 Av (L)",COLLEGE,2
3/29/20,4PM-7PM,"14 St (F,M,1,2,3)/6 Av (L)",COLLEGE,2
3/29/20,7PM-12AM,"14 St (F,M,1,2,3)/6 Av (L)",COLLEGE,5
3/29/20,9AM-4PM,"14 St (F,M,1,2,3)/6 Av (L)",COLLEGE,3
3/29/20,12AM-6AM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",COLLEGE,1
3/29/20,4PM-7PM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",COLLEGE,4
3/29/20,4PM-7PM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",STUDENT,1
3/29/20,6AM-9AM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",COLLEGE,2
3/29/20,7PM-12AM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",COLLEGE,9
3/29/20,7PM-12AM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",STUDENT,3
3/29/20,9AM-4PM,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",COLLEGE,5
3/29/20,12AM-6AM,145 St (1),COLLEGE,1
3/29/20,6AM-9AM,145 St (1),COLLEGE,3
3/29/20,7PM-12AM,145 St (1),COLLEGE,2
3/29/20,9AM-4PM,145 St (1),COLLEGE,3
3/29/20,9AM-4PM,145 St (1),STUDENT,1
3/29/20,12AM-6AM,"145 St (A,B,C,D)",COLLEGE,1
3/29/20,4PM-7PM,"145 St (A,B,C,D)",COLLEGE,3
3/29/20,4PM-7PM,"145 St (A,B,C,D)",STUDENT,1
3/29/20,6AM-9AM,"145 St (A,B,C,D)",COLLEGE,1
3/29/20,7PM-12AM,"145 St (A,B,C,D)",COLLEGE,4
3/29/20,9AM-4PM,"145 St (A,B,C,D)",COLLEGE,4
3/29/20,9AM-4PM,"145 St (A,B,C,D)",STUDENT,2
3/29/20,12AM-6AM,"149 St-Grand Concourse (2,4,5)",COLLEGE,2
3/29/20,4PM-7PM,"149 St-Grand Concourse (2,4,5)",COLLEGE,1
3/29/20,6AM-9AM,"149 St-Grand Concourse (2,4,5)",COLLEGE,7
3/29/20,7PM-12AM,"149 St-Grand Concourse (2,4,5)",COLLEGE,2
3/29/20,7PM-12AM,"149 St-Grand Concourse (2,4,5)",STUDENT,2
3/29/20,9AM-4PM,"149 St-Grand Concourse (2,4,5)",COLLEGE,2
3/29/20,9AM-4PM,"149 St-Grand Concourse (2,4,5)",STUDENT,1
3/29/20,6AM-9AM,"15 St-Prospect Park (F,G)",COLLEGE,1
3/29/20,12AM-6AM,"155 St (B,D)",COLLEGE,1
3/29/20,4PM-7PM,"155 St (B,D)",COLLEGE,1
3/29/20,4PM-7PM,"155 St (B,D)",STUDENT,1
3/29/20,6AM-9AM,"155 St (B,D)",COLLEGE,3
3/29/20,7PM-12AM,"155 St (B,D)",COLLEGE,4
3/29/20,7PM-12AM,"155 St (B,D)",STUDENT,1
3/29/20,9AM-4PM,"155 St (B,D)",COLLEGE,1
3/29/20,6AM-9AM,155 St (C),COLLEGE,1
3/29/20,4PM-7PM,157 St (1),COLLEGE,2
3/29/20,6AM-9AM,157 St (1),COLLEGE,1
3/29/20,7PM-12AM,157 St (1),COLLEGE,1
3/29/20,9AM-4PM,157 St (1),COLLEGE,3
3/29/20,12AM-6AM,"161 St-Yankee Stadium (B,D,4)",COLLEGE,1
3/29/20,4PM-7PM,"161 St-Yankee Stadium (B,D,4)",COLLEGE,4
3/29/20,6AM-9AM,"161 St-Yankee Stadium (B,D,4)",COLLEGE,5
3/29/20,7PM-12AM,"161 St-Yankee Stadium (B,D,4)",COLLEGE,6
3/29/20,9AM-4PM,"161 St-Yankee Stadium (B,D,4)",COLLEGE,11
3/29/20,9AM-4PM,"161 St-Yankee Stadium (B,D,4)",STUDENT,1
3/29/20,9AM-4PM,163 St-Amsterdam Av (C),COLLEGE,1
3/29/20,12AM-6AM,167 St (4),COLLEGE,1
3/29/20,4PM-7PM,167 St (4),COLLEGE,1
3/29/20,6AM-9AM,167 St (4),COLLEGE,3
3/29/20,7PM-12AM,167 St (4),COLLEGE,1
3/29/20,9AM-4PM,167 St (4),COLLEGE,7
3/29/20,9AM-4PM,167 St (4),STUDENT,1
3/29/20,12AM-6AM,"167 St (B,D)",COLLEGE,3
3/29/20,4PM-7PM,"167 St (B,D)",COLLEGE,1
3/29/20,4PM-7PM,"167 St (B,D)",STUDENT,1
3/29/20,6AM-9AM,"167 St (B,D)",COLLEGE,4
3/29/20,9AM-4PM,"167 St (B,D)",COLLEGE,9
3/29/20,6AM-9AM,"168 St (A,C,1)",COLLEGE,1
3/29/20,7PM-12AM,"168 St (A,C,1)",COLLEGE,1
3/29/20,9AM-4PM,"168 St (A,C,1)",COLLEGE,2
3/29/20,9AM-4PM,169 St (F),COLLEGE,2
3/29/20,12AM-6AM,170 St (4),COLLEGE,1
3/29/20,4PM-7PM,170 St (4),COLLEGE,3
3/29/20,6AM-9AM,170 St (4),COLLEGE,2
3/29/20,7PM-12AM,170 St (4),COLLEGE,1
3/29/20,9AM-4PM,170 St (4),COLLEGE,14
3/29/20,12AM-6AM,"170 St (B,D)",COLLEGE,2
3/29/20,4PM-7PM,"170 St (B,D)",COLLEGE,1
3/29/20,6AM-9AM,"170 St (B,D)",COLLEGE,2
3/29/20,7PM-12AM,"170 St (B,D)",COLLEGE,1
3/29/20,9AM-4PM,"170 St (B,D)",COLLEGE,3
3/29/20,6AM-9AM,"174 St (2,5)",COLLEGE,2
3/29/20,9AM-4PM,"174 St (2,5)",COLLEGE,5
3/29/20,9AM-4PM,"174 St (2,5)",STUDENT,1
3/29/20,12AM-6AM,"174-175 Sts (B,D)",COLLEGE,1
3/29/20,7PM-12AM,"174-175 Sts (B,D)",COLLEGE,1
3/29/20,9AM-4PM,"174-175 Sts (B,D)",COLLEGE,4
3/29/20,4PM-7PM,175 St (A),COLLEGE,3
3/29/20,7PM-12AM,175 St (A),COLLEGE,1
3/29/20,9AM-4PM,175 St (A),COLLEGE,1
3/29/20,9AM-4PM,175 St (A),STUDENT,1
