mode,primaryFuelType,primaryFuel
bike,Gasoline,315569569.089
bus,Diesel,1503529560770.1355
bus_empty,Diesel,1791480258282.4036
cable_car,Electricity,0.0
cable_car_empty,Electricity,0.0
car,Electricity,2530498734.6754465
car,Gasoline,4409477232093.666
car_RideHail,Electricity,31492048.753668234
car_RideHail,Gasoline,112346745402.84709
car_RideHail_Pool,Gasoline,907313841.3736475
car_RideHail_empty,Electricity,35300612.06197134
car_RideHail_empty,Gasoline,34341294642.109543
car_emer,Gasoline,200429104488.38513
car_hov2,Electricity,338012951.7980174
car_hov2,Gasoline,737375088853.2683
car_hov2_emer,Gasoline,64827405685.32948
car_hov3,Electricity,331316287.31642354
car_hov3,Gasoline,489118600152.16187
car_hov3_emer,Gasoline,38401639409.80214
ferry,Diesel,0.0
ferry_empty,Diesel,0.0
rail,Diesel,0.0
rail_empty,Diesel,0.0
subway,Electricity,0.0
subway_empty,Electricity,0.0
tram,Electricity,0.0
tram_empty,Electricity,0.0
walk,Food,8192151093.733
