mode,primaryFuelType,primaryFuel
bike,Gasoline,262570833.5418
bus,Diesel,1048838559673.9362
bus_empty,Diesel,1305249373065.964
car,Electricity,1667293799.42502
car,Gasoline,2970195451701.7803
car_RideHail,Electricity,30731081.56173617
car_RideHail,Gasoline,66030779750.647064
car_RideHail_Pool,Gasoline,726811973.031642
car_RideHail_empty,Electricity,21703654.217495464
car_RideHail_empty,Gasoline,25021397171.705605
car_emer,Gasoline,134054250850.79941
car_hov2,Electricity,261367415.8348778
car_hov2,Gasoline,512214737237.85364
car_hov2_emer,Gasoline,45181516944.82739
car_hov3,Electricity,174005577.5643887
car_hov3,Gasoline,334584191867.8742
car_hov3_emer,Gasoline,26197470888.5567
rail,Diesel,0.0
rail_empty,Diesel,0.0
subway,Electricity,0.0
subway_empty,Electricity,0.0
tram,Electricity,0.0
tram_empty,Electricity,0.0
walk,Food,5318015702.177
